% # of instances: 2000

% Class distribution
% c1: 487
% c2: 487
% c3: 522
% c4: 504

@relation Synthetic_3_train

@attribute Dimension_1 numeric
@attribute Dimension_2 numeric
@attribute Dimension_3 numeric
@attribute Dimension_4 numeric
@attribute Dimension_5 numeric
@attribute Dimension_6 numeric
@attribute Dimension_8 numeric
@attribute Dimension_10 numeric
@attribute Dimension_11 numeric
@attribute Dimension_12 numeric
@attribute Dimension_13 numeric
@attribute Dimension_14 numeric
@attribute Dimension_15 numeric
@attribute Dimension_17 numeric
@attribute Dimension_18 numeric
@attribute Dimension_20 numeric
@attribute class {c1,c2,c3,c4}

@data
1.987972,0.744807,2.38581,-2.390434,0.826256,0.505447,0.491048,-0.667124,0.314977,0.617022,0.129745,-0.953411,-0.893681,2.154069,-0.259621,3.050508,c1
0.602952,1.646149,-0.577203,2.190942,0.388439,0.254297,-0.882662,1.169639,1.74202,-0.005717,0.693203,1.911362,-0.44072,-0.542714,-2.976734,0.226603,c3
0.281978,4.091005,0.835225,-0.261739,1.604783,0.861905,0.301082,-0.274012,-0.396651,1.029787,0.659092,2.16662,-1.56834,-1.076693,-0.083457,-7.173783,c2
0.828701,2.693756,-0.800002,1.94434,2.276648,0.45826,3.976261,-0.364837,1.599154,-0.095303,0.779749,0.623877,1.640394,-2.539405,-1.757991,-2.614846,c3
1.25596,0.608755,-0.908469,-1.619511,0.48102,0.86508,-2.60637,1.685686,8.930056,-0.305273,0.759708,-0.822684,-5.221567,1.037017,-0.470619,5.504719,c4
-0.05242,1.932023,3.460695,5.852012,0.647967,0.029869,2.988514,-0.017102,5.534789,0.005122,0.566067,1.831302,-0.900812,-1.676461,-2.372424,-0.107308,c3
1.202324,2.883974,1.1068,-1.108193,1.662071,1.212519,1.916146,-0.784975,0.333017,0.891666,0.991426,2.316058,-1.807727,-1.695092,0.42353,-0.12173,c2
1.599144,-0.26368,-4.36811,-4.021518,0.387071,0.868842,-8.382374,-0.012812,0.090328,0.417077,0.590562,0.711757,-2.44491,1.369687,-1.588361,2.083107,c1
-0.333393,3.796326,-1.860151,-0.092367,2.387938,0.446276,4.401555,-0.131175,-0.713543,0.697879,0.240277,0.8578,-5.83817,-1.197698,2.403482,1.325419,c2
0.963096,3.463468,-0.032315,0.229743,3.061343,0.36707,1.927429,0.222763,0.399955,0.606275,1.007626,3.217697,0.947494,-2.295484,-2.351433,0.391094,c2
1.103504,0.700992,3.038593,1.809616,-0.538903,0.363685,4.293332,-1.065951,2.028722,0.0393,0.579571,-0.067505,3.031764,-1.176789,-1.55646,2.060592,c3
0.422813,2.735277,-0.295435,3.851037,1.393685,-0.346342,5.033347,-0.817764,1.900248,0.073884,0.241972,1.167464,-0.708347,-0.84894,-1.322744,-0.791174,c3
1.364389,0.398812,7.809681,-2.947864,0.47677,0.954448,11.079612,-0.224046,-0.510157,0.545909,0.435084,-0.850014,-0.480291,1.913592,1.825395,-0.894554,c1
-0.779145,4.325783,-0.503287,1.14746,3.369857,0.586428,-0.225833,0.795394,0.873962,0.188981,0.766044,0.564913,-7.474498,-0.118773,5.215371,2.498952,c2
0.989416,3.27507,-1.025372,3.631666,-1.283317,0.951549,1.099847,-0.338234,3.478086,0.208217,0.459371,1.541088,1.150329,0.23462,-2.515242,1.168288,c3
-0.616448,1.503947,3.040925,0.690727,0.455556,0.636509,83.132589,0.10507,-0.556065,0.483025,0.630781,0.170962,-1.229492,2.155584,0.435164,1.527196,c1
-0.942249,3.392782,0.257622,1.377989,2.003424,0.913149,1.851444,0.520487,1.96074,0.161115,0.787866,3.889743,4.300745,-3.479244,8.561052,1.478635,c2
1.771561,-0.134073,-3.447345,-1.926158,-0.29971,0.670455,-1.216699,1.051005,10.365321,-0.124863,0.516568,0.138333,-4.701963,2.029382,-1.082419,4.26363,c4
0.619185,1.334634,2.073703,7.537834,-0.082046,0.960149,-3.919758,1.910395,2.34357,-0.199773,1.365261,-1.687306,-4.567781,2.311151,-0.801559,1.838449,c4
0.069223,1.910656,0.119846,-0.519532,1.527102,1.203421,2.104602,1.668036,1.447185,-0.008411,0.57009,2.651193,-0.835069,-1.639798,-1.185174,-1.010236,c2
1.488766,1.122921,-0.332379,0.233884,0.026183,0.992196,-2.744628,1.029813,-2.990187,0.18858,0.899867,1.189801,-1.495902,1.676192,-0.662119,3.036922,c4
1.206187,1.296227,0.65971,15.864675,0.817404,0.971301,-3.446395,1.030119,3.057992,0.449378,0.581303,0.172248,-0.738645,1.280651,-2.354361,4.102669,c4
0.031854,3.804238,0.37745,-0.400575,0.854467,1.492809,2.268649,1.670421,-0.151238,-0.174194,1.184832,1.825848,-2.331777,0.650024,0.05765,-0.049668,c2
-0.058401,1.538548,5.472818,1.990047,0.831047,0.272726,1.670684,-0.915207,0.145226,0.348998,0.531959,1.994145,-0.813719,-2.374784,1.306067,0.340176,c3
0.972415,3.10317,-0.517421,-0.63977,1.774514,0.94056,2.507822,0.818358,-1.45072,-0.278031,1.046323,0.649773,-5.396575,-2.832502,0.418426,10.328148,c2
-0.12776,3.322097,1.141149,1.285345,0.823708,1.402206,2.538664,0.885357,6.497403,-0.257125,1.254482,1.470019,-4.985196,-3.318957,-0.990405,-1.334943,c2
0.055289,3.086986,0.469675,1.20645,1.356491,0.522934,3.561625,0.745714,0.466704,-0.224291,1.019057,3.357258,1.880638,0.258385,0.733751,-0.566431,c2
1.05693,3.336246,0.016319,-0.022173,2.131069,0.34747,5.557409,1.218145,-0.044704,-0.050962,1.06702,2.037429,-3.023383,0.431513,-1.044979,-0.025671,c2
0.066757,0.381983,6.497399,-4.574538,0.282177,0.542236,9.050043,2.337491,2.702143,0.314976,0.800274,-2.200919,-5.383975,-0.29897,0.443271,1.558436,c4
0.819778,0.61307,-3.974098,-0.92094,0.182405,0.663816,216.182502,-1.35571,-1.242538,-0.238269,1.022145,0.98195,-2.232248,0.906359,0.008782,2.214168,c1
-0.218398,3.243928,-0.333421,1.310685,0.199827,1.277199,1.320558,0.054846,1.620904,-0.109581,0.754457,2.578502,-0.175129,-2.369256,0.558463,2.41631,c2
1.165621,2.409029,-2.86914,3.251062,-1.734189,-0.027202,-2.710569,-0.682801,2.781063,0.595758,0.91181,0.404839,2.507245,0.129329,-3.26256,1.215003,c3
0.100001,3.063022,0.017616,0.175974,1.961233,0.983062,0.329998,-0.008158,1.427561,0.108558,1.219175,1.901517,-3.898964,-2.253355,-2.758864,0.145854,c2
0.663362,4.078504,0.09672,-0.215533,2.75267,1.429215,1.114206,0.698247,0.570504,0.433958,0.630492,2.023682,-1.714199,-0.414045,-1.679649,1.30078,c2
0.827059,3.251358,0.803184,3.858324,1.566637,0.851105,2.634446,-0.680917,1.063205,0.748522,1.505008,2.569947,-1.654731,-2.760089,-2.477764,-0.57716,c3
1.621082,1.353711,1.739177,3.661645,0.241587,0.956219,-2.091697,1.383787,-1.641566,0.881609,0.898161,0.123677,-3.147935,2.062566,-0.833528,4.16513,c4
0.848672,2.285487,1.937779,3.329833,-0.032741,0.064637,-0.758399,-0.267919,6.370761,0.933379,1.335253,2.355405,-3.207485,0.225288,0.008001,1.981814,c3
1.312013,0.72307,-3.69182,0.28873,0.577478,0.53788,2.247925,1.410441,3.425127,1.071477,0.961613,-0.684625,-3.57466,2.182008,0.097375,0.807905,c4
-0.764347,2.452263,-0.163596,-0.732839,1.974206,1.421139,-1.362368,1.238674,-0.229047,0.412995,1.669252,1.659642,-3.683168,-0.019028,0.063046,3.497006,c2
0.800521,1.087805,-1.075754,1.032597,1.932646,0.31908,-1.136209,-0.38968,5.619665,1.190992,0.796808,0.410133,2.180058,0.211588,-1.916731,-0.392593,c3
1.368433,-0.283088,5.258822,-3.450961,0.052959,0.855763,43.061331,-1.963281,-2.098362,0.214454,0.189587,0.715918,-1.247842,2.312408,-0.430671,2.044597,c1
0.140052,1.729056,1.062226,2.462132,-1.731557,0.465804,9.151554,-0.21267,0.08485,1.294557,0.803782,0.54073,3.030836,0.087419,-2.165631,0.900755,c3
-0.343181,2.150028,2.006362,4.176468,0.130814,-0.052403,0.208549,0.03025,-3.497242,1.522724,1.118681,3.056632,-2.745687,0.509284,-1.280438,-0.348756,c3
-1.162396,1.009244,3.545608,-3.29773,0.094874,0.777702,20.702482,-0.191588,1.300545,0.123773,0.31457,-0.31112,-0.770372,0.336356,0.640801,1.48474,c1
0.960655,2.133808,-2.16107,2.98399,1.074934,0.206681,-0.236023,0.403667,-1.222817,1.683155,0.192188,1.415027,1.226499,-1.710197,-2.446578,1.100573,c3
0.201823,0.065218,-1.241932,-2.998221,0.443689,0.832677,89.040947,0.245591,0.361893,-0.129754,0.559542,-0.275132,-0.960455,1.911131,-0.467148,4.137265,c1
0.303421,1.88698,0.459608,2.909752,2.287724,0.10937,-0.036919,0.486385,4.690058,1.740862,0.735718,2.592378,-2.114616,-1.845868,-2.101355,1.877684,c3
1.431392,0.08437,-0.771039,-4.226422,0.679671,0.929602,6.431448,1.173314,7.727015,1.189533,1.432222,-0.979257,-4.201838,0.775861,-1.351929,0.605909,c4
0.178117,2.468604,-1.972715,4.324466,0.14781,0.763497,0.29711,-0.117607,4.737712,1.864645,0.78653,1.347683,0.840073,-0.185991,0.283455,-1.072714,c3
0.037296,3.289056,-0.956727,2.265246,-1.527794,0.05994,0.163986,-0.924283,5.386589,1.932413,0.174657,1.2115,1.947127,0.101549,-3.405506,1.188531,c3
1.060477,1.06454,-4.284809,-12.024456,2.29441,0.777772,7.209183,0.185251,-3.114631,1.292674,1.417821,-0.130402,-2.457598,1.672484,-1.733176,2.453589,c4
-0.701692,2.668923,-0.031603,-0.439876,0.959955,1.266013,0.227908,0.28724,3.571495,0.533072,1.267644,1.132707,-6.561933,-2.802312,-1.152789,-0.641706,c2
-0.311971,0.891132,-0.180516,3.142002,0.038131,-0.097053,1.561016,-1.448464,6.230602,1.932668,0.109343,1.769531,-0.883637,-1.228537,-1.199444,-1.152635,c3
-0.858956,1.507213,1.820912,-1.384808,-0.73292,0.632798,1.326833,1.32637,-4.067494,0.763609,0.871059,1.335094,-4.719362,-1.590562,1.078756,-8.700871,c2
1.208792,0.962102,-5.111317,-3.844874,-0.534828,0.572401,-3.184838,1.729979,6.181306,1.490302,0.88489,-0.629075,-2.957871,1.666178,-0.552694,3.031887,c4
1.073213,1.15613,7.549383,-2.837339,0.987544,0.782109,-8.422726,0.686459,0.035834,-0.60433,1.255603,0.741147,0.00132,0.917272,0.18615,2.739456,c1
0.724863,3.01039,2.313898,2.614181,-0.893859,0.008244,2.073056,-0.736014,-2.092564,1.905452,0.346575,0.80931,1.556559,-1.892031,-2.684226,-1.226554,c3
-0.313521,0.976447,2.292931,-2.181857,0.607146,0.839617,7.228103,0.110928,-0.705306,-0.163461,1.412593,1.783135,-3.760539,1.658641,-0.105835,-1.484274,c1
1.651826,1.767682,-1.268737,-7.667607,0.70807,0.575903,0.444824,1.468952,1.547446,1.536198,0.157645,-1.108162,-3.005421,-0.66773,8.564172,1.640043,c4
-0.819249,-2.019527,-3.550483,-4.522375,0.524773,0.982648,-18.838646,-0.6148,-0.44543,-0.154462,1.115425,-0.564786,-0.112606,2.204365,-0.818507,0.083022,c1
0.094398,2.875437,-0.005694,2.11953,1.363457,0.738099,-1.799727,-0.602566,3.394554,1.875572,0.428364,1.241503,-0.522201,-1.512384,-2.276693,-1.095524,c3
1.015085,2.970042,-0.684164,-0.292184,0.774231,0.126323,-0.528607,0.15389,0.929057,0.953023,0.851962,2.992963,-0.679047,0.205795,0.533582,4.523436,c2
0.349033,3.813573,-0.897159,3.694107,-0.515889,-0.110257,6.617726,-0.11453,6.20649,1.77587,0.490682,0.750058,0.571226,-1.419491,-3.706905,0.949923,c3
0.096132,-0.263827,6.883733,-1.730766,0.805385,0.909654,14.361576,-0.196131,-0.021573,-0.349636,0.995237,-0.288877,-1.046119,2.768863,1.196146,0.172198,c1
0.04145,0.7299,-8.71517,-3.653718,0.494924,0.680474,36.60615,-0.465169,-0.397645,-0.164064,1.326067,0.001708,-0.928541,1.606554,1.67868,2.298889,c1
0.413616,2.797793,0.373779,3.772077,0.057965,0.696598,1.529021,-0.367272,1.511161,1.700843,0.681225,-0.996806,5.05016,-2.932998,-1.131693,-0.736135,c3
0.496195,1.053686,-0.329445,2.246825,1.244682,0.774663,10.663414,0.007191,-3.009584,1.505779,0.662235,-0.500052,3.190223,-1.926142,-2.58203,0.111752,c3
-0.573411,3.460703,0.436683,0.155984,0.87144,0.769653,-0.921996,0.736057,1.230723,1.117686,1.021123,0.167924,-8.504617,-2.132548,-0.887369,-0.02644,c2
0.440327,2.610468,1.143132,0.860088,1.892157,1.497986,3.06859,-0.18677,4.608802,1.289847,1.26841,0.543698,-7.794295,-1.986678,-1.735158,4.559926,c2
0.963734,1.232552,3.051725,-2.473737,-0.494258,0.95051,-4.227055,1.545895,7.360636,1.385343,1.203439,-1.298534,-4.696144,2.284796,-1.077006,4.100122,c4
0.218712,2.042766,-0.900049,3.754142,2.683478,-0.364712,-2.422575,-0.965644,6.173826,1.32865,1.073021,2.225886,-1.613785,-1.835114,-0.5135,0.359701,c3
-0.937954,2.592235,-1.070233,-0.107952,3.297895,0.645751,-0.3965,0.818656,2.107218,1.670769,0.728643,2.175162,-2.571531,-1.139306,2.366831,0.042658,c2
-0.596756,4.906058,-0.308927,1.410062,-1.111344,0.474524,0.552965,0.998048,2.120274,1.73837,0.564273,1.402658,-5.292866,0.071356,-0.682692,-1.325888,c2
-0.030227,1.898569,-2.125484,3.512474,0.095867,-0.229508,2.029283,-0.392985,-2.678394,1.182474,0.404,2.203979,-2.162887,-0.263342,-1.656507,-1.001785,c3
0.886326,0.926164,-3.833367,-2.841236,0.439166,0.988027,4.34013,-0.275861,-0.348018,0.124658,0.73692,-0.473288,1.601173,1.123141,1.170049,-0.334709,c1
-0.572743,-1.598021,5.341153,-2.473811,0.583245,0.602008,16.765158,0.288846,-0.187388,0.298273,0.409711,2.073314,-2.507492,1.865598,0.803109,1.54382,c1
1.599197,0.989824,-8.158385,13.072214,1.2459,0.834554,17.83678,0.417928,6.093096,1.961837,1.36137,-0.068853,-4.56211,1.367672,-1.354908,4.353241,c4
0.022101,0.30141,-1.44191,-2.241663,0.247528,0.56104,10.202364,1.146488,-0.073151,0.235262,1.412964,0.378566,-0.0062,1.341224,-0.986744,2.422025,c1
2.095075,0.015293,2.358365,-2.989934,0.604812,0.646799,32.656952,0.885633,0.352153,0.533639,0.599551,0.525109,-1.65566,1.087947,0.778813,1.62889,c1
1.076644,2.50466,2.06113,14.711176,0.984076,0.791177,-5.291508,-0.111094,-1.470259,1.629963,0.732082,-2.63527,-6.339092,0.704248,3.162063,1.605573,c4
0.630267,-0.312813,-0.376597,-1.713091,0.000953,0.900108,50.83207,0.112312,6.113408,1.861505,0.510326,-0.900554,-3.645503,2.05496,-1.560645,3.372328,c4
0.831799,1.663253,-1.087669,2.987457,2.469712,0.900245,10.739449,-0.036866,7.515867,1.63263,1.116227,-1.489461,-5.702857,-1.512219,-2.956133,1.815526,c4
1.106723,1.407772,-1.186938,3.513877,0.777305,0.930929,-3.298161,0.354283,0.930496,1.469624,0.796491,-1.335454,-4.697406,0.219321,-1.927384,2.5487,c4
-0.061713,-0.299329,0.802,-3.572352,0.456467,0.913447,-1.871887,0.421502,-0.916539,0.675132,0.312131,0.1425,0.232616,1.505376,5.983619,-0.641278,c1
1.002147,0.613849,-0.75425,-4.56337,0.027285,0.670612,3.748203,0.202738,1.778808,1.170906,0.856382,-1.636369,-5.981241,2.246564,-0.857587,3.506546,c4
2.040875,-1.367196,5.793697,-1.607982,0.957767,0.862092,181.394685,1.309903,1.07805,1.080437,0.321776,-0.519848,0.222863,0.902,-0.449101,1.878615,c1
0.357225,4.162946,-0.698128,-0.710913,0.589299,0.049758,0.396607,0.957569,-0.887127,1.660675,0.464777,3.421307,2.019942,1.37171,-1.144609,2.043757,c2
1.666426,1.473276,3.424911,0.900453,0.568876,0.892768,2.67951,0.607439,-3.229178,1.013673,0.933944,-0.460985,-3.32266,-0.512905,-1.903218,2.724729,c4
-1.762029,-2.202328,-7.620852,-4.327568,0.096108,0.714502,-14.655117,0.519476,-0.277006,1.10203,0.48443,-0.231919,-0.566251,1.589351,-0.687306,1.977764,c1
1.028419,0.060492,0.475979,-2.75847,0.623176,0.520421,8.231508,0.710728,0.673088,1.525977,-0.055341,-0.618879,1.413337,0.983471,0.152397,-0.377452,c1
1.133938,-0.607836,-3.197091,-3.516131,0.371457,0.9373,-16.632364,0.311653,0.127009,1.04336,0.245268,0.941083,-2.142144,2.39611,-0.785995,0.820494,c1
0.972116,-0.153377,0.433175,-8.450219,-0.944752,0.855471,9.032806,0.211984,4.918109,1.139713,0.991927,-1.4018,-5.429911,1.056409,-1.166214,4.559934,c4
-0.415783,0.909845,-1.61788,3.672338,-0.696394,0.517801,-1.461674,-1.19301,1.1797,0.944637,0.841248,1.850527,-0.990373,-1.551867,-1.32482,-0.558419,c3
0.284289,-0.109713,-6.003234,-3.033835,0.2295,0.995643,-18.196838,0.407556,0.597221,1.471294,-0.233001,0.78317,-2.666764,2.2172,0.653545,2.898696,c1
0.843594,0.804167,1.40142,-3.47827,0.021292,0.946178,45.28554,-0.346287,-0.3283,1.499524,0.064226,0.510079,-0.955991,1.451331,1.083169,-2.645317,c1
0.880813,2.049217,-0.257139,2.842363,0.70221,-0.061489,-0.583877,-1.561129,0.549155,0.790351,1.211408,0.327158,1.253506,-1.521726,-1.08102,-1.191929,c3
1.049164,2.908502,0.11915,-1.450251,2.69904,0.70879,3.441395,0.600306,2.976544,1.684124,0.507378,2.018531,-4.449595,1.165094,0.534087,4.322577,c2
