@relation 'Synthetic_3_train-weka.filters.unsupervised.attribute.Remove-R3,9,12-13,16'

@attribute Dimension_1 numeric
@attribute Dimension_2 numeric
@attribute Dimension_4 numeric
@attribute Dimension_5 numeric
@attribute Dimension_6 numeric
@attribute Dimension_8 numeric
@attribute Dimension_10 numeric
@attribute Dimension_12 numeric
@attribute Dimension_13 numeric
@attribute Dimension_17 numeric
@attribute Dimension_18 numeric
@attribute class {c1,c2,c3,c4}

@data
1.348329,-0.480152,-2.254042,0.633931,0.675391,176.157002,0.292394,1.243462,-0.271223,0.663888,2.434309,c1
0.45783,1.848897,1.778797,0.065704,0.151948,4.426029,0.338253,1.903397,0.689637,0.549498,-1.56354,c3
-0.076614,2.428285,-0.966274,1.369123,0.746961,3.147174,0.110158,1.747856,0.430558,-2.393435,-1.414988,c2
-0.40269,2.108666,3.235163,-0.136354,-0.071656,2.246968,-0.555412,1.954354,0.254641,-0.603721,-1.570268,c3
0.446151,2.522608,-0.809838,0.991742,0.667775,2.426733,0.878342,1.910345,0.355128,0.345608,0.167078,c2
0.072207,0.819596,2.500311,0.050935,-0.473243,0.724934,-0.28601,1.943301,0.7296,-1.009334,-0.976556,c3
1.055663,3.221441,8.053984,0.393692,0.579912,-1.013682,-0.933153,1.876128,0.399121,-2.662357,-1.564643,c3
0.8485,1.721041,2.817957,0.54474,0.821487,15.74027,0.192618,1.011883,0.714968,-0.887297,-1.361421,c4
-0.458393,3.501744,-0.116222,1.787872,0.418704,0.869656,0.813862,1.852326,0.73481,-2.441006,-0.466942,c2
0.385964,1.832474,-18.37988,0.786633,0.554554,6.211745,0.780859,0.952635,0.68046,-0.08408,-0.678275,c4
0.291229,0.17907,-1.381457,1.675149,0.665616,6.002324,1.398414,0.822745,1.15532,0.322265,-0.248765,c4
-0.366846,2.498516,3.632669,1.564016,0.379513,-1.248975,-0.155113,1.774357,1.176949,-1.465843,-1.807505,c3
0.409609,3.962111,-0.404708,0.19356,0.583471,1.43246,0.652098,1.545129,0.435606,-1.164692,0.506027,c2
0.170682,2.443612,1.711977,0.208573,0.649521,0.856873,0.002669,1.623024,0.511394,-0.032996,-2.749092,c3
0.160308,1.797924,-1.040485,-0.185332,-0.472346,-1.312892,0.003003,1.544063,0.452918,-0.075441,-1.80807,c3
1.13816,2.185018,3.792949,1.559919,0.69315,-3.411196,-0.36046,1.302568,0.870124,-1.160123,-3.806113,c3
0.550278,0.534646,1.226452,1.326875,-0.367053,-0.678954,0.528029,1.16223,1.290992,-0.359037,3.566573,c3
0.159519,3.447123,3.954546,2.222422,0.415835,5.372011,-0.411725,0.913362,0.907658,-0.87906,-2.647526,c3
1.732242,3.24148,-4.267056,2.956517,0.998917,-4.516657,1.01618,0.414132,0.345019,-1.167319,-0.317958,c4
-0.394618,0.486804,4.159964,-0.01631,0.453726,2.103132,-0.316249,0.743148,0.866672,-1.117877,-1.629818,c3
1.127393,1.575619,6.033698,0.528772,0.597259,-2.025481,0.57885,0.185327,0.556613,-0.108408,-0.44146,c4
0.421628,0.096623,-2.036782,0.067348,0.856492,-16.17461,0.172631,1.037582,0.02575,2.399526,1.821393,c1
1.271524,-0.027166,4.101366,0.323435,0.51223,9.839842,0.585712,0.060601,0.297319,1.158355,-1.971748,c4
1.27612,1.449666,6.407852,0.325912,0.619326,0.872244,0.903217,0.205165,0.996015,-1.27893,-0.33825,c4
0.654346,3.380872,2.344793,0.880093,-0.317219,2.774012,-0.288327,0.529149,1.100234,-0.337194,-2.826404,c3
1.138819,0.530162,-1.359836,0.390301,0.677163,11.493642,0.864306,0.059425,0.632614,-1.09427,-1.188935,c4
-0.845334,3.357115,1.145045,1.490605,0.665917,0.444916,-0.253832,1.684037,0.875605,-2.825969,0.102417,c2
1.062357,2.746055,3.153434,1.117293,-0.104532,-0.661171,0.164414,0.418815,0.594562,-0.044669,-1.724169,c3
0.444293,2.335683,3.037557,-0.063723,0.996359,-0.083216,-0.204564,0.282336,0.704908,-0.915178,-0.551014,c3
1.84831,3.376475,0.398481,-0.009656,1.079158,2.00412,0.076627,1.473972,0.538188,-2.292344,-0.637738,c2
0.615231,1.527271,-9.412007,0.908167,0.641713,5.315311,0.793594,0.047773,0.905241,0.807735,-1.015287,c4
0.171696,2.056973,4.268966,0.715368,0.80211,4.752023,-0.4275,0.139622,0.679951,0.125018,-3.789558,c3
0.729358,1.410129,-3.18609,2.459166,0.666439,-3.017945,0.724954,-0.317478,0.796927,0.43206,5.806981,c4
0.65374,1.065951,-1.071756,1.117313,0.724134,-1.263073,1.301865,-0.098932,0.815903,-0.732729,-1.889259,c4
0.33462,-0.561817,-2.358394,0.973758,0.614624,99.109186,0.009404,1.377733,-0.325274,0.513873,-1.696447,c1
-1.184415,0.938939,-1.827568,0.043581,0.79326,4.619681,-0.21752,0.69914,0.620842,0.728902,3.104473,c1
0.41757,0.594203,3.220811,1.416609,0.464283,0.381827,0.380899,0.05182,0.263658,-0.827409,-2.747899,c3
1.196574,2.451594,6.771846,0.50763,0.985373,11.607399,1.607532,-0.23277,1.117394,1.64976,-0.292201,c4
-0.276419,4.307119,-0.278665,0.732771,0.368371,0.20968,0.692821,1.276228,0.705253,0.271429,-2.566202,c2
1.987972,0.744807,-2.390434,0.826256,0.505447,0.491048,-0.667124,0.617022,0.129745,2.154069,-0.259621,c1
0.602952,1.646149,2.190942,0.388439,0.254297,-0.882662,1.169639,-0.005717,0.693203,-0.542714,-2.976734,c3
0.281978,4.091005,-0.261739,1.604783,0.861905,0.301082,-0.274012,1.029787,0.659092,-1.076693,-0.083457,c2
0.828701,2.693756,1.94434,2.276648,0.45826,3.976261,-0.364837,-0.095303,0.779749,-2.539405,-1.757991,c3
1.25596,0.608755,-1.619511,0.48102,0.86508,-2.60637,1.685686,-0.305273,0.759708,1.037017,-0.470619,c4
-0.05242,1.932023,5.852012,0.647967,0.029869,2.988514,-0.017102,0.005122,0.566067,-1.676461,-2.372424,c3
1.202324,2.883974,-1.108193,1.662071,1.212519,1.916146,-0.784975,0.891666,0.991426,-1.695092,0.42353,c2
1.599144,-0.26368,-4.021518,0.387071,0.868842,-8.382374,-0.012812,0.417077,0.590562,1.369687,-1.588361,c1
-0.333393,3.796326,-0.092367,2.387938,0.446276,4.401555,-0.131175,0.697879,0.240277,-1.197698,2.403482,c2
0.963096,3.463468,0.229743,3.061343,0.36707,1.927429,0.222763,0.606275,1.007626,-2.295484,-2.351433,c2
1.103504,0.700992,1.809616,-0.538903,0.363685,4.293332,-1.065951,0.0393,0.579571,-1.176789,-1.55646,c3
0.422813,2.735277,3.851037,1.393685,-0.346342,5.033347,-0.817764,0.073884,0.241972,-0.84894,-1.322744,c3
1.364389,0.398812,-2.947864,0.47677,0.954448,11.079612,-0.224046,0.545909,0.435084,1.913592,1.825395,c1
-0.779145,4.325783,1.14746,3.369857,0.586428,-0.225833,0.795394,0.188981,0.766044,-0.118773,5.215371,c2
0.989416,3.27507,3.631666,-1.283317,0.951549,1.099847,-0.338234,0.208217,0.459371,0.23462,-2.515242,c3
-0.616448,1.503947,0.690727,0.455556,0.636509,83.132589,0.10507,0.483025,0.630781,2.155584,0.435164,c1
-0.942249,3.392782,1.377989,2.003424,0.913149,1.851444,0.520487,0.161115,0.787866,-3.479244,8.561052,c2
1.771561,-0.134073,-1.926158,-0.29971,0.670455,-1.216699,1.051005,-0.124863,0.516568,2.029382,-1.082419,c4
0.619185,1.334634,7.537834,-0.082046,0.960149,-3.919758,1.910395,-0.199773,1.365261,2.311151,-0.801559,c4
0.069223,1.910656,-0.519532,1.527102,1.203421,2.104602,1.668036,-0.008411,0.57009,-1.639798,-1.185174,c2
1.488766,1.122921,0.233884,0.026183,0.992196,-2.744628,1.029813,0.18858,0.899867,1.676192,-0.662119,c4
1.206187,1.296227,15.864675,0.817404,0.971301,-3.446395,1.030119,0.449378,0.581303,1.280651,-2.354361,c4
0.031854,3.804238,-0.400575,0.854467,1.492809,2.268649,1.670421,-0.174194,1.184832,0.650024,0.05765,c2
-0.058401,1.538548,1.990047,0.831047,0.272726,1.670684,-0.915207,0.348998,0.531959,-2.374784,1.306067,c3
0.972415,3.10317,-0.63977,1.774514,0.94056,2.507822,0.818358,-0.278031,1.046323,-2.832502,0.418426,c2
-0.12776,3.322097,1.285345,0.823708,1.402206,2.538664,0.885357,-0.257125,1.254482,-3.318957,-0.990405,c2
0.055289,3.086986,1.20645,1.356491,0.522934,3.561625,0.745714,-0.224291,1.019057,0.258385,0.733751,c2
1.05693,3.336246,-0.022173,2.131069,0.34747,5.557409,1.218145,-0.050962,1.06702,0.431513,-1.044979,c2
0.066757,0.381983,-4.574538,0.282177,0.542236,9.050043,2.337491,0.314976,0.800274,-0.29897,0.443271,c4
0.819778,0.61307,-0.92094,0.182405,0.663816,216.182502,-1.35571,-0.238269,1.022145,0.906359,0.008782,c1
-0.218398,3.243928,1.310685,0.199827,1.277199,1.320558,0.054846,-0.109581,0.754457,-2.369256,0.558463,c2
1.165621,2.409029,3.251062,-1.734189,-0.027202,-2.710569,-0.682801,0.595758,0.91181,0.129329,-3.26256,c3
0.100001,3.063022,0.175974,1.961233,0.983062,0.329998,-0.008158,0.108558,1.219175,-2.253355,-2.758864,c2
0.663362,4.078504,-0.215533,2.75267,1.429215,1.114206,0.698247,0.433958,0.630492,-0.414045,-1.679649,c2
0.827059,3.251358,3.858324,1.566637,0.851105,2.634446,-0.680917,0.748522,1.505008,-2.760089,-2.477764,c3
1.621082,1.353711,3.661645,0.241587,0.956219,-2.091697,1.383787,0.881609,0.898161,2.062566,-0.833528,c4
0.848672,2.285487,3.329833,-0.032741,0.064637,-0.758399,-0.267919,0.933379,1.335253,0.225288,0.008001,c3
1.312013,0.72307,0.28873,0.577478,0.53788,2.247925,1.410441,1.071477,0.961613,2.182008,0.097375,c4
-0.764347,2.452263,-0.732839,1.974206,1.421139,-1.362368,1.238674,0.412995,1.669252,-0.019028,0.063046,c2
0.800521,1.087805,1.032597,1.932646,0.31908,-1.136209,-0.38968,1.190992,0.796808,0.211588,-1.916731,c3
1.368433,-0.283088,-3.450961,0.052959,0.855763,43.061331,-1.963281,0.214454,0.189587,2.312408,-0.430671,c1
0.140052,1.729056,2.462132,-1.731557,0.465804,9.151554,-0.21267,1.294557,0.803782,0.087419,-2.165631,c3
-0.343181,2.150028,4.176468,0.130814,-0.052403,0.208549,0.03025,1.522724,1.118681,0.509284,-1.280438,c3
-1.162396,1.009244,-3.29773,0.094874,0.777702,20.702482,-0.191588,0.123773,0.31457,0.336356,0.640801,c1
0.960655,2.133808,2.98399,1.074934,0.206681,-0.236023,0.403667,1.683155,0.192188,-1.710197,-2.446578,c3
0.201823,0.065218,-2.998221,0.443689,0.832677,89.040947,0.245591,-0.129754,0.559542,1.911131,-0.467148,c1
0.303421,1.88698,2.909752,2.287724,0.10937,-0.036919,0.486385,1.740862,0.735718,-1.845868,-2.101355,c3
1.431392,0.08437,-4.226422,0.679671,0.929602,6.431448,1.173314,1.189533,1.432222,0.775861,-1.351929,c4
0.178117,2.468604,4.324466,0.14781,0.763497,0.29711,-0.117607,1.864645,0.78653,-0.185991,0.283455,c3
0.037296,3.289056,2.265246,-1.527794,0.05994,0.163986,-0.924283,1.932413,0.174657,0.101549,-3.405506,c3
1.060477,1.06454,-12.024456,2.29441,0.777772,7.209183,0.185251,1.292674,1.417821,1.672484,-1.733176,c4
-0.701692,2.668923,-0.439876,0.959955,1.266013,0.227908,0.28724,0.533072,1.267644,-2.802312,-1.152789,c2
-0.311971,0.891132,3.142002,0.038131,-0.097053,1.561016,-1.448464,1.932668,0.109343,-1.228537,-1.199444,c3
-0.858956,1.507213,-1.384808,-0.73292,0.632798,1.326833,1.32637,0.763609,0.871059,-1.590562,1.078756,c2
1.208792,0.962102,-3.844874,-0.534828,0.572401,-3.184838,1.729979,1.490302,0.88489,1.666178,-0.552694,c4
1.073213,1.15613,-2.837339,0.987544,0.782109,-8.422726,0.686459,-0.60433,1.255603,0.917272,0.18615,c1
0.724863,3.01039,2.614181,-0.893859,0.008244,2.073056,-0.736014,1.905452,0.346575,-1.892031,-2.684226,c3
-0.313521,0.976447,-2.181857,0.607146,0.839617,7.228103,0.110928,-0.163461,1.412593,1.658641,-0.105835,c1
1.651826,1.767682,-7.667607,0.70807,0.575903,0.444824,1.468952,1.536198,0.157645,-0.66773,8.564172,c4
-0.819249,-2.019527,-4.522375,0.524773,0.982648,-18.838646,-0.6148,-0.154462,1.115425,2.204365,-0.818507,c1
0.094398,2.875437,2.11953,1.363457,0.738099,-1.799727,-0.602566,1.875572,0.428364,-1.512384,-2.276693,c3
1.015085,2.970042,-0.292184,0.774231,0.126323,-0.528607,0.15389,0.953023,0.851962,0.205795,0.533582,c2
0.349033,3.813573,3.694107,-0.515889,-0.110257,6.617726,-0.11453,1.77587,0.490682,-1.419491,-3.706905,c3
0.096132,-0.263827,-1.730766,0.805385,0.909654,14.361576,-0.196131,-0.349636,0.995237,2.768863,1.196146,c1
0.04145,0.7299,-3.653718,0.494924,0.680474,36.60615,-0.465169,-0.164064,1.326067,1.606554,1.67868,c1
0.413616,2.797793,3.772077,0.057965,0.696598,1.529021,-0.367272,1.700843,0.681225,-2.932998,-1.131693,c3
0.496195,1.053686,2.246825,1.244682,0.774663,10.663414,0.007191,1.505779,0.662235,-1.926142,-2.58203,c3
-0.573411,3.460703,0.155984,0.87144,0.769653,-0.921996,0.736057,1.117686,1.021123,-2.132548,-0.887369,c2
0.440327,2.610468,0.860088,1.892157,1.497986,3.06859,-0.18677,1.289847,1.26841,-1.986678,-1.735158,c2
0.963734,1.232552,-2.473737,-0.494258,0.95051,-4.227055,1.545895,1.385343,1.203439,2.284796,-1.077006,c4
0.218712,2.042766,3.754142,2.683478,-0.364712,-2.422575,-0.965644,1.32865,1.073021,-1.835114,-0.5135,c3
-0.937954,2.592235,-0.107952,3.297895,0.645751,-0.3965,0.818656,1.670769,0.728643,-1.139306,2.366831,c2
-0.596756,4.906058,1.410062,-1.111344,0.474524,0.552965,0.998048,1.73837,0.564273,0.071356,-0.682692,c2
-0.030227,1.898569,3.512474,0.095867,-0.229508,2.029283,-0.392985,1.182474,0.404,-0.263342,-1.656507,c3
0.886326,0.926164,-2.841236,0.439166,0.988027,4.34013,-0.275861,0.124658,0.73692,1.123141,1.170049,c1
-0.572743,-1.598021,-2.473811,0.583245,0.602008,16.765158,0.288846,0.298273,0.409711,1.865598,0.803109,c1
1.599197,0.989824,13.072214,1.2459,0.834554,17.83678,0.417928,1.961837,1.36137,1.367672,-1.354908,c4
0.022101,0.30141,-2.241663,0.247528,0.56104,10.202364,1.146488,0.235262,1.412964,1.341224,-0.986744,c1
2.095075,0.015293,-2.989934,0.604812,0.646799,32.656952,0.885633,0.533639,0.599551,1.087947,0.778813,c1
1.076644,2.50466,14.711176,0.984076,0.791177,-5.291508,-0.111094,1.629963,0.732082,0.704248,3.162063,c4
0.630267,-0.312813,-1.713091,0.000953,0.900108,50.83207,0.112312,1.861505,0.510326,2.05496,-1.560645,c4
0.831799,1.663253,2.987457,2.469712,0.900245,10.739449,-0.036866,1.63263,1.116227,-1.512219,-2.956133,c4
1.106723,1.407772,3.513877,0.777305,0.930929,-3.298161,0.354283,1.469624,0.796491,0.219321,-1.927384,c4
-0.061713,-0.299329,-3.572352,0.456467,0.913447,-1.871887,0.421502,0.675132,0.312131,1.505376,5.983619,c1
1.002147,0.613849,-4.56337,0.027285,0.670612,3.748203,0.202738,1.170906,0.856382,2.246564,-0.857587,c4
2.040875,-1.367196,-1.607982,0.957767,0.862092,181.394685,1.309903,1.080437,0.321776,0.902,-0.449101,c1
0.357225,4.162946,-0.710913,0.589299,0.049758,0.396607,0.957569,1.660675,0.464777,1.37171,-1.144609,c2
1.666426,1.473276,0.900453,0.568876,0.892768,2.67951,0.607439,1.013673,0.933944,-0.512905,-1.903218,c4
-1.762029,-2.202328,-4.327568,0.096108,0.714502,-14.655117,0.519476,1.10203,0.48443,1.589351,-0.687306,c1
1.028419,0.060492,-2.75847,0.623176,0.520421,8.231508,0.710728,1.525977,-0.055341,0.983471,0.152397,c1
1.133938,-0.607836,-3.516131,0.371457,0.9373,-16.632364,0.311653,1.04336,0.245268,2.39611,-0.785995,c1
0.972116,-0.153377,-8.450219,-0.944752,0.855471,9.032806,0.211984,1.139713,0.991927,1.056409,-1.166214,c4
-0.415783,0.909845,3.672338,-0.696394,0.517801,-1.461674,-1.19301,0.944637,0.841248,-1.551867,-1.32482,c3
0.284289,-0.109713,-3.033835,0.2295,0.995643,-18.196838,0.407556,1.471294,-0.233001,2.2172,0.653545,c1
0.843594,0.804167,-3.47827,0.021292,0.946178,45.28554,-0.346287,1.499524,0.064226,1.451331,1.083169,c1
0.880813,2.049217,2.842363,0.70221,-0.061489,-0.583877,-1.561129,0.790351,1.211408,-1.521726,-1.08102,c3
1.049164,2.908502,-1.450251,2.69904,0.70879,3.441395,0.600306,1.684124,0.507378,1.165094,0.534087,c2
1.443485,0.506961,1.452475,0.458547,0.722451,4.493401,0.830196,0.80882,1.268624,1.668424,-0.882177,c4
0.418815,-1.019121,-1.516549,0.379551,0.566597,136.705914,-0.090943,1.422553,0.072818,1.484998,1.385588,c1
1.639195,1.765995,-11.253262,1.643975,0.977248,-1.106194,1.663657,0.895842,1.092604,-0.725207,-0.828361,c4
3.19178,-1.793634,-2.962909,0.087884,0.685023,-0.227142,-0.070317,1.960969,-0.825144,1.909169,-1.4439,c1
0.958344,0.521139,1.247595,-0.329479,0.713289,6.916573,-0.324681,0.588757,1.205063,0.01137,-1.837182,c3
0.25771,-0.440709,2.662215,0.222926,0.812726,3.190372,1.936311,0.721263,0.800595,-0.200293,-0.663242,c4
0.177777,0.534893,-2.607975,0.763176,0.773275,-19.292681,0.157763,1.291831,-0.168612,0.835371,1.047541,c1
-0.719482,4.685284,-0.6586,1.489234,0.876627,0.399725,-0.571881,1.715333,0.805598,-2.920461,-1.961334,c2
-0.314435,2.173691,-0.250225,2.623733,0.602493,1.091553,1.092159,1.685523,0.629988,1.821951,-0.400421,c2
1.998205,2.052977,-0.304652,2.520401,0.836237,-0.095936,0.573795,1.836404,0.404538,0.797582,-1.644315,c2
0.883503,-1.176222,0.723749,1.402982,0.819429,-1.899108,1.735475,0.380285,1.046402,0.934583,9.04956,c4
1.162492,1.872517,-9.118463,0.783957,0.744986,1.322114,0.769968,-0.09545,1.053819,0.628796,-2.278797,c4
0.731972,0.531578,-0.138429,1.852402,0.812171,19.313637,0.343002,-0.009194,1.040609,-0.841377,-0.495631,c4
0.203554,1.904128,0.390184,3.944623,0.465434,-0.083083,1.556695,1.719953,0.45588,-0.337994,-1.951387,c2
-0.479283,3.655272,1.81301,1.722346,1.195765,3.812057,0.954608,1.497929,0.693562,-3.411188,-2.699184,c2
1.702636,0.467521,0.036907,0.384175,0.532262,4.001444,0.270964,-0.026751,0.982594,0.962096,-0.081685,c4
1.51801,2.969999,-0.085608,0.586135,0.86015,0.383187,1.08223,1.362689,0.248835,0.527583,0.616251,c2
0.87143,-0.066025,-3.229404,0.231536,0.740778,26.900731,0.674347,1.261609,-0.239696,2.48234,-0.683663,c1
-0.198573,1.607784,4.331884,-0.544684,0.763136,0.423634,-0.461803,0.423038,0.963405,-1.840801,-2.316033,c3
-0.364694,0.0997,-3.692189,0.154506,0.6297,-13.552625,0.841539,1.288328,-0.377206,2.376193,0.636525,c1
0.610022,2.226009,0.587968,2.173548,0.830397,2.455688,0.952481,1.135984,0.803862,-1.443546,0.578092,c2
0.081062,0.539255,0.340481,0.378992,0.944749,-2.456163,0.889444,-0.21239,0.661864,2.482108,-1.16166,c4
0.576473,2.300863,-0.969362,-2.130785,0.69377,3.669297,1.002721,1.084614,1.204902,-2.855182,0.925061,c2
0.77398,1.943058,0.260186,0.97827,0.376248,3.518772,0.689117,0.734867,0.841496,-0.090443,-0.090004,c2
0.455012,1.187876,-4.312051,0.273153,0.613023,-0.900247,1.260172,-0.064067,0.555223,1.100853,-1.226456,c4
1.286083,1.836856,-5.324708,-0.17715,0.898116,14.559982,0.837075,-0.25332,0.85526,1.824162,-1.340669,c4
-0.287861,2.519484,3.690371,-0.188346,0.736421,-0.647632,0.299517,0.216154,0.538187,0.093191,-2.355053,c3
-0.448942,3.840798,-0.11754,1.838851,-0.338692,0.0018,0.038363,0.148232,0.188654,-1.612247,-2.861556,c3
0.524784,3.274882,0.664718,0.744458,0.771902,1.257763,0.499253,0.646887,0.922845,-3.057793,-0.164744,c2
1.991593,-1.699162,-3.641312,0.279807,0.961229,63.900861,0.397741,1.676004,-0.91859,0.783756,-1.484335,c1
0.343026,2.481719,-1.314746,1.508636,0.428811,1.694108,1.077297,0.583276,0.825067,-2.765092,-1.842385,c2
1.751422,-0.018886,-1.901612,-1.928885,0.751805,7.515816,0.618652,-0.493163,1.216584,-0.611763,0.185204,c4
1.535668,2.157322,7.826185,-0.138027,0.667347,19.534858,0.115397,-0.299166,0.4485,1.95881,-0.662851,c4
0.827169,-1.142596,-2.113467,0.662852,0.732347,29.693182,-0.618553,1.454063,-0.197138,1.354778,-0.300788,c1
1.294517,1.70612,3.909914,2.383511,0.519701,0.8701,-0.163952,0.153349,0.940214,0.419404,-0.673221,c4
-0.593639,-0.368354,-5.433428,0.179453,0.70498,-7.398471,-0.646996,1.031739,0.377024,1.872312,1.229237,c1
0.634828,1.994909,-1.686705,-1.095466,0.964367,-0.404355,1.136864,0.182855,0.332249,-1.158156,-1.783364,c2
0.554014,3.786357,0.173565,3.593669,0.800405,3.024974,0.540102,0.063936,0.986637,1.212394,2.042794,c2
-1.378918,2.508633,-2.554506,0.344498,0.805979,16.113912,0.487626,1.122251,-0.018643,0.78457,-0.507025,c1
1.629799,2.132863,6.990382,2.318799,0.808673,1.576267,0.415227,0.250368,0.61762,-1.534632,-1.790772,c4
-0.175945,0.645701,-1.740763,0.610143,1.260121,1.302565,0.518976,-0.081931,0.922148,0.992407,6.601653,c2
-0.419252,0.881314,2.51712,0.897596,0.208584,14.243131,0.566373,0.065854,0.506437,-0.384654,-0.540164,c3
1.240604,2.099309,-0.86992,0.132986,0.793767,5.230938,0.106318,0.114296,1.800563,0.928281,-0.876257,c4
-0.270703,0.359461,3.244319,2.090982,0.225386,1.135794,-0.13905,-0.035192,0.012355,-0.9734,-0.579651,c3
1.292024,3.504925,0.590902,3.281136,1.088145,1.029021,1.079304,-0.109806,0.75672,1.179526,-0.997534,c2
0.0436,0.469864,2.59007,0.686248,0.124961,-3.268746,-0.498416,-0.078862,0.59779,-1.036624,-1.185552,c3
0.769307,-0.922534,-3.548757,0.398,0.954382,-6.896104,0.327887,0.832948,0.196865,0.538852,1.521285,c1
1.03083,0.045905,2.303454,1.038983,0.994768,3.337139,-0.005553,0.080458,0.766091,0.233491,-0.430737,c4
-0.070345,-0.722892,-5.717738,0.582516,0.512031,110.847501,0.583201,0.22523,0.539462,1.212497,-1.615585,c1
0.973357,3.693853,1.3613,0.301541,1.076137,0.588025,1.093563,-0.162432,0.85164,-2.051485,-0.540756,c2
-0.79817,3.370802,0.801859,1.880312,0.180148,5.258778,1.740152,-0.142416,0.615458,-1.118888,0.048823,c2
0.202198,0.450164,-3.457088,0.159715,0.57216,-11.262076,0.313992,0.032629,1.169178,1.447227,0.60836,c1
1.399984,1.194673,2.569492,2.289378,0.981518,-1.260053,0.898402,0.430373,0.992788,2.056185,-0.068323,c4
0.115045,3.607683,2.146824,0.441753,0.944685,-0.571429,-0.374702,-0.009446,0.624211,-0.418386,-2.028862,c3
1.457441,-0.545367,-1.065079,0.444993,0.811458,-11.733176,-0.300894,0.367859,0.830617,0.915588,0.157826,c1
0.986492,1.293262,-7.379291,0.684605,0.895389,1.418928,1.569219,0.459944,1.294591,0.069691,-1.183549,c4
1.572688,0.982799,2.364099,0.289338,0.879896,13.50779,1.109952,0.941084,0.76241,2.076053,-1.459183,c4
1.139196,-0.579894,-12.987693,0.316836,0.798358,-2.435604,1.172336,0.973442,0.835039,-0.490469,-0.673413,c4
0.767703,1.143355,-2.05773,0.470822,0.548595,-17.586253,-0.101022,-0.341732,0.704166,1.275416,4.810585,c1
-0.676284,2.871944,0.533726,1.144476,0.118066,1.172879,0.426416,-0.040342,0.820724,0.807141,-0.530076,c2
0.796727,2.475233,2.669578,1.239533,0.387436,-0.676051,-0.804583,0.008035,0.320466,-1.612322,-1.440811,c3
-0.160158,-1.639898,-1.152369,0.883894,0.882664,-0.115193,-0.087792,-0.102829,0.470273,0.150638,3.154859,c1
0.074966,2.421268,-2.379935,-1.385706,0.812527,22.305086,1.009197,1.542893,0.31038,1.582668,-1.538813,c4
-0.066075,1.956234,1.717412,1.669767,-0.177351,1.290389,-0.970099,0.138472,0.395296,0.736444,-1.917879,c3
0.782403,4.205887,-2.290895,-1.662626,0.211101,-0.567317,0.522024,-0.149454,0.993562,0.876817,7.003036,c2
0.19749,-1.203325,4.890203,-0.353478,0.604128,14.207839,1.3897,1.392447,0.526504,2.092161,-1.689408,c4
-0.000296,-0.856012,-5.361947,0.103974,0.616799,-19.646042,0.13932,-0.297366,1.040467,1.765639,0.221674,c1
-0.686709,3.277511,-1.689924,1.921367,0.764555,1.054473,-0.315985,0.022129,0.720807,0.255058,-0.490389,c2
0.111301,0.152744,-4.301728,-0.60027,0.854758,-0.33706,1.801928,1.318351,0.573996,-0.701867,-1.636507,c4
0.336736,0.900709,5.605711,0.567048,0.95616,0.98357,1.358941,1.425415,0.762982,-0.424135,0.765801,c4
