Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Cluster
0.815,0.379,0.79,0.000471,0.002,0.000169,C1
0.816,0.362,0.337,0.00031,0.003,0.003,C2
0.855,0.22,0.209,0.000313,0.004,0.003,C2
0.707,0.447,0.441,0.000204,0.003,0.003,C2
0.826,0.306,0.293,0.000284,0.004,0.004,C2
0.835,0.347,0.362,0.000311,0.003,0.003,C2
0.832,0.307,0.337,0.000319,0.003,0.003,C2
0.83,0.261,0.278,0.000289,0.004,0.004,C2
0.71,0.483,0.447,0.000204,0.003,0.003,C2
0.857,0.213,0.193,0.000313,0.003,0.003,C2
0.704,0.439,0.424,0.000299,0.004,0.004,C2
0.704,0.432,0.415,0.000204,0.003,0.003,C2
0.707,0.438,0.435,0.000203,0.003,0.003,C2
0.879,0.195,0.214,0.000307,0.004,0.003,C2
0.821,0.412,0.388,0.000296,0.004,0.004,C2
0.706,0.459,0.429,0.000298,0.004,0.004,C2
0.845,0.221,0.239,0.00032,0.003,0.003,C2
0.831,0.264,0.274,0.000287,0.004,0.004,C2
0.864,0.279,0.295,0.000307,0.004,0.003,C2
0.825,0.255,0.239,0.00033,0.003,0.003,C2
0.704,0.455,0.405,0.000202,0.003,0.003,C2
0.706,0.414,0.409,0.000298,0.004,0.004,C2
0.706,0.415,0.415,0.000204,0.003,0.003,C2
0.71,0.453,0.445,0.000204,0.003,0.003,C2
0.705,0.42,0.411,0.000299,0.004,0.004,C2
0.703,0.455,0.453,0.000297,0.004,0.004,C2
0.809,0.415,0.381,0.000305,0.004,0.003,C2
0.707,0.448,0.441,0.000204,0.003,0.003,C2
0.835,0.262,0.284,0.00032,0.003,0.003,C2
0.704,0.432,0.434,0.000297,0.004,0.004,C2
0.705,0.511,0.49,0.000203,0.003,0.003,C2
0.708,0.449,0.395,0.000203,0.003,0.003,C2
0.704,0.442,0.417,0.000297,0.004,0.004,C2
0.828,0.331,0.312,0.00029,0.004,0.004,C2
0.815,0.307,0.31,0.000295,0.004,0.003,C2
0.814,0.294,0.283,0.000289,0.004,0.003,C2
0.824,0.332,0.345,0.000304,0.004,0.004,C2
0.708,0.478,0.473,0.000206,0.003,0.003,C2
0.705,0.427,0.423,0.000203,0.003,0.003,C2
0.84,0.233,0.207,0.000323,0.003,0.003,C2
0.706,0.409,0.398,0.000204,0.003,0.003,C2
0.71,0.432,0.419,0.000205,0.003,0.003,C2
0.881,0.215,0.187,0.000306,0.004,0.004,C2
0.807,0.412,0.379,0.000292,0.004,0.004,C2
0.704,0.46,0.423,0.000299,0.004,0.004,C2
0.707,0.429,0.435,0.000204,0.003,0.003,C2
0.836,0.239,0.223,0.00033,0.003,0.003,C2
0.797,0.442,0.404,0.000308,0.003,0.003,C2
0.829,0.29,0.315,0.00032,0.003,0.003,C2
0.701,0.503,0.485,0.000204,0.003,0.003,C2
0.827,0.275,0.279,0.000287,0.004,0.004,C2
0.842,0.352,0.307,0.000314,0.003,0.003,C2
0.862,0.22,0.229,0.000314,0.003,0.003,C2
0.839,0.361,0.392,0.000309,0.003,0.003,C2
0.832,0.28,0.247,0.000327,0.003,0.003,C2
0.706,0.41,0.378,0.000203,0.003,0.003,C2
0.708,0.428,0.424,0.000298,0.004,0.004,C2
0.706,0.44,0.426,0.000203,0.003,0.003,C2
0.704,0.469,0.446,0.000202,0.003,0.003,C2
0.705,0.452,0.434,0.000298,0.004,0.004,C2
0.706,0.47,0.439,0.000205,0.003,0.003,C2
0.7,0.509,0.449,0.000202,0.003,0.003,C2
0.817,0.315,0.301,0.000324,0.003,0.003,C2
0.707,0.454,0.451,0.000204,0.003,0.003,C2
0.828,0.276,0.254,0.000326,0.003,0.003,C2
0.864,0.209,0.225,0.00031,0.004,0.003,C2
0.854,0.25,0.226,0.000312,0.003,0.003,C2
0.701,0.511,0.478,0.000202,0.003,0.003,C2
0.708,0.443,0.432,0.000298,0.004,0.004,C2
0.707,0.407,0.392,0.000204,0.003,0.003,C2
0.706,0.462,0.437,0.000299,0.004,0.004,C2
0.705,0.456,0.432,0.000202,0.004,0.003,C2
0.707,0.409,0.415,0.000203,0.003,0.003,C2
0.708,0.414,0.414,0.000204,0.003,0.003,C2
0.803,0.433,0.418,0.000285,0.004,0.004,C2
0.805,0.377,0.356,0.000292,0.004,0.004,C2
0.71,0.456,0.415,0.000204,0.003,0.003,C2
0.702,0.478,0.457,0.000299,0.004,0.003,C2
0.706,0.462,0.454,0.000204,0.004,0.003,C2
0.706,0.422,0.407,0.000202,0.003,0.003,C2
0.708,0.429,0.371,0.000204,0.004,0.003,C2
0.827,0.286,0.254,0.000336,0.003,0.003,C2
0.705,0.435,0.396,0.000298,0.004,0.004,C2
0.703,0.434,0.426,0.000297,0.004,0.004,C2
0.875,0.195,0.215,0.000309,0.004,0.003,C2
0.707,0.43,0.418,0.000204,0.003,0.003,C2
0.855,0.21,0.191,0.000315,0.003,0.003,C2
0.85,0.211,0.203,0.000319,0.003,0.003,C2
0.296,0.777,0.82,0.002,0.000108,0.000505,C3
0.231,0.808,0.841,0.002,0.000249,0.000389,C3
0.339,0.782,0.804,0.002,0.000271,0.000398,C3
0.246,0.83,0.848,0.002,0.000249,0.000372,C3
0.355,0.793,0.823,0.002,0.000154,0.000472,C3
0.399,0.797,0.801,0.002,0.000199,0.000476,C3
0.285,0.819,0.832,0.002,0.00025,0.000371,C3
0.349,0.775,0.802,0.002,0.000157,0.000514,C3
0.241,0.805,0.836,0.002,0.000244,0.000385,C3
0.32,0.795,0.83,0.002,0.00014,0.000479,C3
0.209,0.835,0.868,0.002,0.000236,0.000369,C3
0.351,0.793,0.806,0.002,0.00028,0.000396,C3
0.303,0.792,0.83,0.002,0.000153,0.000488,C3
0.185,0.818,0.854,0.002,0.000245,0.000386,C3
0.329,0.784,0.824,0.002,0.000125,0.000486,C3
0.303,0.779,0.818,0.002,0.000109,0.000506,C3
0.221,0.812,0.84,0.002,0.000244,0.000383,C3
0.361,0.778,0.804,0.002,0.000262,0.000391,C3
0.223,0.817,0.848,0.002,0.000245,0.000381,C3
0.341,0.793,0.813,0.002,0.000164,0.000492,C3
0.349,0.811,0.829,0.002,0.000253,0.000364,C3
0.386,0.78,0.801,0.002,0.000189,0.000491,C3
0.249,0.8,0.833,0.002,0.000255,0.000395,C3
0.361,0.773,0.813,0.002,0.000154,0.000493,C3
0.248,0.792,0.826,0.002,0.000253,0.0004,C3
0.269,0.789,0.823,0.002,0.000252,0.000398,C3
0.269,0.801,0.833,0.002,0.000113,0.000487,C3
0.25,0.793,0.833,0.002,0.000247,0.000395,C3
0.21,0.823,0.85,0.002,0.000248,0.000381,C3
0.32,0.795,0.82,0.002,0.000258,0.000385,C3
0.296,0.793,0.832,0.002,0.000132,0.000484,C3
0.307,0.79,0.818,0.002,0.000251,0.000388,C3
0.381,0.775,0.807,0.002,0.00016,0.000485,C3
0.336,0.796,0.824,0.002,0.00026,0.000382,C3
0.319,0.784,0.819,0.002,0.000252,0.00039,C3
0.388,0.798,0.818,0.002,0.000254,0.000361,C3
0.336,0.81,0.836,0.002,0.000247,0.000364,C3
0.392,0.786,0.806,0.002,0.000277,0.000382,C3
0.331,0.778,0.806,0.002,0.000138,0.00051,C3
0.244,0.821,0.847,0.002,0.00025,0.000377,C3
0.241,0.826,0.857,0.002,0.000239,0.000369,C3
0.254,0.824,0.852,0.002,0.000242,0.00037,C3
0.23,0.798,0.835,0.002,0.000245,0.000394,C3
0.285,0.794,0.82,0.002,0.000115,0.000499,C3
0.29,0.803,0.83,0.002,0.000136,0.000486,C3
0.371,0.793,0.822,0.002,0.000161,0.00047,C3
0.3,0.792,0.817,0.002,0.000253,0.000388,C3
0.278,0.815,0.84,0.002,0.000255,0.00038,C3
0.319,0.812,0.833,0.002,0.000242,0.000362,C3
0.231,0.797,0.829,0.002,0.00025,0.000397,C3
0.27,0.817,0.841,0.002,0.000248,0.000374,C3
0.307,0.787,0.82,0.002,0.000118,0.000495,C3
0.224,0.862,0.254,0.003,0.000308,0.004,C4
0.295,0.849,0.27,0.003,0.00031,0.003,C4
0.398,0.825,0.363,0.003,0.000313,0.003,C4
0.391,0.707,0.419,0.003,0.000204,0.003,C4
0.382,0.811,0.363,0.003,0.000324,0.003,C4
0.404,0.709,0.424,0.003,0.000204,0.003,C4
0.37,0.855,0.331,0.003,0.000302,0.004,C4
0.392,0.704,0.417,0.003,0.000203,0.003,C4
0.432,0.71,0.483,0.003,0.000205,0.003,C4
0.254,0.832,0.274,0.003,0.000318,0.003,C4
0.32,0.829,0.308,0.004,0.000291,0.004,C4
0.217,0.853,0.21,0.003,0.000318,0.003,C4
0.473,0.71,0.466,0.003,0.000299,0.004,C4
0.46,0.705,0.497,0.004,0.000298,0.004,C4
0.329,0.836,0.315,0.004,0.000302,0.004,C4
0.303,0.825,0.293,0.004,0.000294,0.004,C4
0.397,0.708,0.403,0.003,0.000204,0.003,C4
0.279,0.827,0.279,0.004,0.000292,0.004,C4
0.42,0.706,0.431,0.003,0.000203,0.003,C4
0.418,0.706,0.424,0.004,0.000297,0.004,C4
0.49,0.706,0.515,0.003,0.000298,0.004,C4
0.408,0.707,0.403,0.003,0.000204,0.003,C4
0.445,0.701,0.466,0.004,0.000297,0.004,C4
0.417,0.708,0.447,0.004,0.0003,0.004,C4
0.378,0.707,0.4,0.003,0.000204,0.004,C4
0.294,0.842,0.275,0.004,0.000292,0.004,C4
0.354,0.854,0.317,0.003,0.000302,0.004,C4
0.224,0.85,0.249,0.003,0.000317,0.003,C4
0.456,0.707,0.473,0.003,0.000297,0.004,C4
0.3,0.816,0.317,0.004,0.000293,0.004,C4
0.411,0.832,0.388,0.003,0.000308,0.003,C4
0.364,0.822,0.407,0.004,0.0003,0.004,C4
0.475,0.707,0.503,0.003,0.000203,0.003,C4
0.259,0.834,0.288,0.004,0.000284,0.004,C4
0.408,0.707,0.452,0.004,0.0003,0.004,C4
0.267,0.839,0.256,0.004,0.000289,0.004,C4
0.412,0.706,0.435,0.004,0.000298,0.004,C4
0.347,0.827,0.317,0.003,0.000317,0.003,C4
0.378,0.796,0.411,0.003,0.000309,0.004,C4
0.403,0.707,0.405,0.003,0.000204,0.003,C4
0.306,0.828,0.361,0.003,0.000321,0.003,C4
0.338,0.819,0.373,0.004,0.000298,0.004,C4
0.411,0.708,0.416,0.003,0.000204,0.003,C4
0.438,0.708,0.469,0.003,0.000204,0.003,C4
0.365,0.706,0.411,0.003,0.000204,0.004,C4
0.418,0.791,0.435,0.004,0.000296,0.004,C4
0.502,0.714,0.527,0.003,0.000204,0.003,C4
0.345,0.804,0.362,0.003,0.000302,0.004,C4
0.392,0.708,0.407,0.003,0.000204,0.003,C4
0.437,0.85,0.39,0.003,0.000303,0.003,C4
0.437,0.701,0.494,0.003,0.000202,0.003,C4
0.386,0.707,0.411,0.003,0.000203,0.003,C4
0.486,0.706,0.527,0.003,0.000298,0.004,C4
0.379,0.805,0.402,0.003,0.000302,0.004,C4
0.398,0.81,0.378,0.003,0.000318,0.003,C4
0.252,0.854,0.233,0.003,0.000314,0.003,C4
0.251,0.834,0.241,0.003,0.000324,0.003,C4
0.215,0.873,0.254,0.003,0.000307,0.004,C4
0.499,0.713,0.503,0.004,0.000297,0.004,C4
0.397,0.814,0.442,0.004,0.000303,0.004,C4
0.387,0.709,0.43,0.003,0.000204,0.003,C4
0.438,0.705,0.462,0.004,0.000299,0.004,C4
0.232,0.871,0.217,0.003,0.000307,0.004,C4
0.403,0.708,0.424,0.004,0.000297,0.004,C4
0.44,0.706,0.436,0.003,0.000203,0.003,C4
0.311,0.847,0.344,0.003,0.000301,0.003,C4
0.42,0.704,0.454,0.003,0.000202,0.003,C4
0.391,0.706,0.42,0.003,0.000203,0.003,C4
0.233,0.847,0.26,0.003,0.000313,0.003,C4
0.416,0.706,0.451,0.004,0.000299,0.004,C4
0.404,0.707,0.408,0.003,0.000204,0.004,C4
0.427,0.708,0.473,0.004,0.000296,0.004,C4
0.428,0.707,0.447,0.004,0.000297,0.004,C4
0.302,0.835,0.285,0.003,0.000318,0.003,C4
0.271,0.844,0.312,0.003,0.000314,0.003,C4
0.31,0.825,0.296,0.004,0.000292,0.004,C4
0.194,0.856,0.222,0.003,0.000316,0.004,C4
0.429,0.71,0.467,0.004,0.000297,0.004,C4
0.411,0.706,0.421,0.003,0.000203,0.003,C4
0.422,0.704,0.449,0.004,0.000297,0.004,C4
0.309,0.828,0.298,0.004,0.000292,0.004,C4
0.414,0.708,0.415,0.003,0.000203,0.003,C4
0.446,0.704,0.483,0.003,0.000203,0.003,C4
0.389,0.709,0.43,0.004,0.000299,0.004,C4
0.336,0.811,0.328,0.003,0.000298,0.004,C4
0.397,0.704,0.43,0.004,0.000297,0.004,C4
0.441,0.706,0.477,0.003,0.000202,0.003,C4
0.471,0.702,0.501,0.004,0.000297,0.004,C4
0.387,0.84,0.346,0.003,0.000307,0.003,C4
0.441,0.707,0.474,0.004,0.000298,0.004,C4
0.238,0.84,0.232,0.003,0.000324,0.003,C4
0.209,0.866,0.194,0.003,0.000313,0.004,C4
0.415,0.706,0.449,0.003,0.000205,0.003,C4
0.317,0.818,0.304,0.003,0.000299,0.004,C4
0.396,0.708,0.402,0.003,0.000204,0.003,C4
0.237,0.841,0.25,0.003,0.00032,0.003,C4
0.285,0.834,0.322,0.003,0.000317,0.003,C4
0.252,0.847,0.275,0.003,0.000315,0.003,C4
0.451,0.704,0.451,0.004,0.000297,0.004,C4
0.244,0.825,0.251,0.003,0.000332,0.003,C4
0.464,0.706,0.491,0.003,0.000297,0.004,C4
0.452,0.707,0.483,0.003,0.000204,0.003,C4
0.455,0.708,0.491,0.003,0.000204,0.003,C4
0.278,0.829,0.306,0.004,0.000287,0.004,C4
0.371,0.825,0.346,0.004,0.000305,0.004,C4
0.301,0.28,0.829,0.003,0.003,0.000317,C5
0.444,0.405,0.704,0.003,0.003,0.000204,C5
0.348,0.366,0.822,0.003,0.003,0.000339,C5
0.246,0.26,0.831,0.003,0.003,0.000327,C5
0.443,0.408,0.705,0.003,0.003,0.000204,C5
0.53,0.49,0.707,0.003,0.003,0.000202,C5
0.305,0.336,0.833,0.003,0.003,0.000315,C5
0.355,0.302,0.835,0.003,0.003,0.000315,C5
0.367,0.383,0.824,0.003,0.003,0.000318,C5
0.443,0.415,0.707,0.003,0.003,0.000203,C5
0.433,0.417,0.707,0.003,0.003,0.000203,C5
0.289,0.276,0.824,0.003,0.003,0.000328,C5
0.276,0.293,0.825,0.003,0.003,0.000328,C5
0.332,0.356,0.824,0.003,0.003,0.000316,C5
0.305,0.339,0.853,0.003,0.003,0.000309,C5
0.272,0.299,0.835,0.003,0.003,0.000322,C5
0.25,0.221,0.841,0.003,0.003,0.000327,C5
0.438,0.435,0.709,0.003,0.003,0.000205,C5
0.266,0.295,0.853,0.003,0.003,0.000309,C5
0.49,0.473,0.707,0.003,0.003,0.000203,C5
0.478,0.453,0.702,0.003,0.003,0.000203,C5
0.291,0.307,0.834,0.003,0.003,0.000325,C5
0.31,0.333,0.824,0.003,0.003,0.00033,C5
0.426,0.406,0.707,0.003,0.003,0.000203,C5
0.253,0.231,0.858,0.003,0.003,0.000312,C5
0.227,0.243,0.836,0.003,0.003,0.000326,C5
0.363,0.347,0.822,0.003,0.003,0.000323,C5
0.41,0.382,0.817,0.003,0.003,0.000304,C5
0.422,0.392,0.707,0.003,0.003,0.000205,C5
0.417,0.367,0.706,0.003,0.003,0.000204,C5
0.421,0.412,0.705,0.003,0.003,0.000203,C5
0.465,0.456,0.707,0.003,0.003,0.000203,C5
0.469,0.457,0.706,0.003,0.003,0.000204,C5
0.237,0.206,0.844,0.003,0.003,0.000321,C5
0.353,0.314,0.84,0.003,0.003,0.000305,C5
0.219,0.193,0.853,0.003,0.003,0.000318,C5
0.22,0.242,0.866,0.003,0.003,0.000313,C5
0.376,0.349,0.82,0.003,0.003,0.000311,C5
0.359,0.384,0.832,0.003,0.003,0.000317,C5
0.269,0.261,0.829,0.003,0.003,0.000322,C5
0.466,0.438,0.709,0.003,0.003,0.000206,C5
0.428,0.395,0.705,0.003,0.003,0.000204,C5
0.257,0.276,0.834,0.003,0.003,0.000324,C5
0.264,0.244,0.847,0.003,0.003,0.000311,C5
0.411,0.365,0.705,0.003,0.003,0.000204,C5
0.239,0.266,0.843,0.003,0.003,0.00032,C5
0.413,0.386,0.707,0.003,0.003,0.000204,C5
0.241,0.215,0.841,0.003,0.003,0.000326,C5
0.435,0.411,0.707,0.003,0.003,0.000205,C5
0.245,0.225,0.837,0.003,0.003,0.000323,C5
0.407,0.384,0.706,0.003,0.003,0.000203,C5
0.291,0.316,0.839,0.003,0.003,0.000313,C5
0.212,0.195,0.856,0.003,0.003,0.000317,C5
0.407,0.373,0.378,0.004,0.004,0.004,C6
0.206,0.181,0.198,0.004,0.004,0.004,C6
0.392,0.42,0.379,0.004,0.004,0.004,C6
0.327,0.33,0.309,0.004,0.004,0.004,C6
0.212,0.236,0.241,0.004,0.004,0.004,C6
0.208,0.239,0.255,0.004,0.004,0.004,C6
0.371,0.399,0.351,0.004,0.004,0.004,C6
0.333,0.333,0.313,0.004,0.004,0.004,C6
0.408,0.406,0.373,0.004,0.004,0.004,C6
0.382,0.401,0.359,0.004,0.004,0.003,C6
0.325,0.304,0.312,0.004,0.004,0.004,C6
0.217,0.232,0.192,0.004,0.004,0.004,C6
0.372,0.319,0.351,0.004,0.004,0.004,C6
0.239,0.256,0.214,0.004,0.004,0.004,C6
0.414,0.424,0.446,0.004,0.004,0.004,C6
0.232,0.195,0.218,0.004,0.004,0.004,C6
0.205,0.182,0.198,0.004,0.004,0.004,C6
0.309,0.32,0.272,0.004,0.004,0.004,C6
0.308,0.278,0.292,0.004,0.004,0.004,C6
0.399,0.371,0.385,0.004,0.004,0.004,C6
0.273,0.243,0.267,0.004,0.004,0.003,C6
0.328,0.307,0.317,0.004,0.004,0.004,C6
0.225,0.189,0.215,0.004,0.004,0.004,C6
0.29,0.259,0.277,0.004,0.004,0.004,C6
0.272,0.281,0.293,0.004,0.004,0.004,C6
0.206,0.218,0.19,0.004,0.004,0.004,C6
0.257,0.283,0.302,0.004,0.004,0.004,C6
0.21,0.222,0.192,0.004,0.004,0.004,C6
0.263,0.279,0.234,0.004,0.004,0.004,C6
0.223,0.238,0.208,0.004,0.004,0.004,C6
0.286,0.251,0.269,0.004,0.004,0.004,C6
0.268,0.248,0.265,0.004,0.004,0.004,C6
0.272,0.305,0.324,0.004,0.004,0.004,C6
0.344,0.291,0.329,0.004,0.004,0.004,C6
0.255,0.254,0.236,0.004,0.004,0.003,C6
0.275,0.305,0.325,0.004,0.004,0.004,C6
0.331,0.332,0.311,0.004,0.004,0.004,C6
0.303,0.318,0.274,0.004,0.004,0.004,C6
0.339,0.346,0.357,0.004,0.004,0.004,C6
0.28,0.317,0.326,0.004,0.004,0.004,C6
0.225,0.249,0.261,0.004,0.004,0.004,C6
0.33,0.348,0.354,0.004,0.004,0.004,C6
0.257,0.288,0.308,0.004,0.004,0.004,C6
0.361,0.386,0.318,0.004,0.004,0.004,C6
0.268,0.284,0.242,0.004,0.004,0.004,C6
0.362,0.377,0.4,0.004,0.004,0.004,C6
0.218,0.223,0.201,0.004,0.004,0.004,C6
0.35,0.293,0.329,0.004,0.004,0.004,C6
0.234,0.246,0.204,0.004,0.004,0.004,C6
0.275,0.312,0.327,0.004,0.004,0.004,C6
0.293,0.244,0.276,0.004,0.004,0.004,C6
0.275,0.295,0.295,0.004,0.004,0.004,C6
0.304,0.333,0.349,0.004,0.004,0.004,C6
0.363,0.392,0.397,0.004,0.004,0.004,C6
0.195,0.216,0.231,0.004,0.004,0.004,C6
0.707,0.447,0.441,0.000204,0.003,0.003,C7
0.707,0.5,0.465,0.0003,0.005,0.004,C7
0.71,0.483,0.447,0.000204,0.003,0.003,C7
0.704,0.439,0.424,0.000299,0.004,0.004,C7
0.704,0.432,0.415,0.000204,0.003,0.003,C7
0.707,0.438,0.435,0.000203,0.003,0.003,C7
0.705,0.703,0.655,0.000805,0.001,0.003,C7
0.706,0.459,0.429,0.000298,0.004,0.004,C7
0.704,0.455,0.405,0.000202,0.003,0.003,C7
0.706,0.414,0.409,0.000298,0.004,0.004,C7
0.706,0.415,0.415,0.000204,0.003,0.003,C7
0.71,0.453,0.445,0.000204,0.003,0.003,C7
0.705,0.42,0.411,0.000299,0.004,0.004,C7
0.707,0.448,0.441,0.000204,0.003,0.003,C7
0.704,0.432,0.434,0.000297,0.004,0.004,C7
0.705,0.511,0.49,0.000203,0.003,0.003,C7
0.704,0.707,0.659,0.000816,0.001,0.003,C7
0.708,0.449,0.395,0.000203,0.003,0.003,C7
0.704,0.442,0.417,0.000297,0.004,0.004,C7
0.704,0.706,0.655,0.000792,0.001,0.003,C7
0.708,0.478,0.473,0.000206,0.003,0.003,C7
0.705,0.427,0.423,0.000203,0.003,0.003,C7
0.707,0.431,0.377,0.000297,0.005,0.004,C7
0.706,0.409,0.398,0.000204,0.003,0.003,C7
0.71,0.432,0.419,0.000205,0.003,0.003,C7
0.707,0.392,0.394,0.000298,0.005,0.004,C7
0.704,0.46,0.423,0.000299,0.004,0.004,C7
0.707,0.429,0.435,0.000204,0.003,0.003,C7
0.705,0.705,0.65,0.000805,0.001,0.003,C7
0.706,0.41,0.378,0.000203,0.003,0.003,C7
0.708,0.428,0.424,0.000298,0.004,0.004,C7
0.706,0.44,0.426,0.000203,0.003,0.003,C7
0.704,0.469,0.446,0.000202,0.003,0.003,C7
0.705,0.452,0.434,0.000298,0.004,0.004,C7
0.706,0.47,0.439,0.000205,0.003,0.003,C7
0.707,0.454,0.451,0.000204,0.003,0.003,C7
0.704,0.703,0.644,0.000838,0.001,0.004,C7
0.708,0.443,0.432,0.000298,0.004,0.004,C7
0.706,0.462,0.437,0.000299,0.004,0.004,C7
0.705,0.456,0.432,0.000202,0.004,0.003,C7
0.707,0.407,0.392,0.000204,0.003,0.003,C7
0.705,0.401,0.387,0.000299,0.005,0.004,C7
0.707,0.409,0.415,0.000203,0.003,0.003,C7
0.708,0.414,0.414,0.000204,0.003,0.003,C7
0.707,0.708,0.659,0.000881,0.001,0.003,C7
0.71,0.456,0.415,0.000204,0.003,0.003,C7
0.706,0.462,0.454,0.000204,0.004,0.003,C7
0.706,0.422,0.407,0.000202,0.003,0.003,C7
0.708,0.429,0.371,0.000204,0.004,0.003,C7
0.705,0.435,0.396,0.000298,0.004,0.004,C7
0.707,0.43,0.418,0.000204,0.003,0.003,C7
0.706,0.706,0.658,0.000822,0.001,0.003,C7
0.386,0.707,0.411,0.003,0.000203,0.003,C8
0.701,0.706,0.663,0.000815,0.001,0.003,C8
0.486,0.706,0.527,0.003,0.000298,0.004,C8
0.391,0.707,0.419,0.003,0.000204,0.003,C8
0.392,0.704,0.417,0.003,0.000203,0.003,C8
0.7,0.703,0.66,0.000842,0.001,0.003,C8
0.703,0.706,0.651,0.000818,0.001,0.003,C8
0.705,0.703,0.655,0.000805,0.001,0.003,C8
0.438,0.705,0.462,0.004,0.000299,0.004,C8
0.44,0.706,0.436,0.003,0.000203,0.003,C8
0.46,0.705,0.497,0.004,0.000298,0.004,C8
0.42,0.704,0.454,0.003,0.000202,0.003,C8
0.698,0.703,0.664,0.000891,0.001,0.003,C8
0.702,0.707,0.635,0.000846,0.001,0.004,C8
0.704,0.707,0.659,0.000816,0.001,0.003,C8
0.391,0.706,0.42,0.003,0.000203,0.003,C8
0.416,0.706,0.451,0.004,0.000299,0.004,C8
0.404,0.707,0.408,0.003,0.000204,0.004,C8
0.42,0.706,0.431,0.003,0.000203,0.003,C8
0.428,0.707,0.447,0.004,0.000297,0.004,C8
0.418,0.706,0.424,0.004,0.000297,0.004,C8
0.704,0.706,0.655,0.000792,0.001,0.003,C8
0.49,0.706,0.515,0.003,0.000298,0.004,C8
0.408,0.707,0.403,0.003,0.000204,0.003,C8
0.445,0.701,0.466,0.004,0.000297,0.004,C8
0.378,0.707,0.4,0.003,0.000204,0.004,C8
0.411,0.706,0.421,0.003,0.000203,0.003,C8
0.422,0.704,0.449,0.004,0.000297,0.004,C8
0.705,0.705,0.65,0.000805,0.001,0.003,C8
0.446,0.704,0.483,0.003,0.000203,0.003,C8
0.702,0.707,0.66,0.000807,0.001,0.003,C8
0.456,0.707,0.473,0.003,0.000297,0.004,C8
0.703,0.705,0.657,0.000915,0.001,0.004,C8
0.397,0.704,0.43,0.004,0.000297,0.004,C8
0.441,0.706,0.477,0.003,0.000202,0.003,C8
0.471,0.702,0.501,0.004,0.000297,0.004,C8
0.475,0.707,0.503,0.003,0.000203,0.003,C8
0.408,0.707,0.452,0.004,0.0003,0.004,C8
0.441,0.707,0.474,0.004,0.000298,0.004,C8
0.412,0.706,0.435,0.004,0.000298,0.004,C8
0.403,0.707,0.405,0.003,0.000204,0.003,C8
0.704,0.703,0.644,0.000838,0.001,0.004,C8
0.365,0.706,0.411,0.003,0.000204,0.004,C8
