@relation agua-cat4-sem_CAT-weka.filters.unsupervised.instance.Resample-S1-Z65.0-no-replacement

@attribute TRANS numeric
@attribute TEMP numeric
@attribute OD numeric
@attribute PH numeric
@attribute DQO numeric
@attribute COND numeric
@attribute Cl numeric
@attribute FeTotal numeric
@attribute Ca numeric
@attribute Mg numeric
@attribute Na numeric
@attribute K numeric
@attribute NH4 numeric
@attribute NO3 numeric
@attribute PO4 numeric
@attribute PTOTAL numeric
@attribute STS numeric
@attribute CHLOROPHYLL numeric
@attribute TURB numeric
@attribute ORP numeric

@data
2.6,29.8,6.33,7.37,2.34,40.2,2.56,0.2,4,2.04,2.4,1.3,25.12,1.89,5.45,11.61,2.4,4.4,5.23,180.25
3,31.2,4.49,7.07,5.95,43.1,2.73,0.17,4,1.84,4.2,1.6,24.01,1.27,2.32,22.25,4.6,3.57,1.15,153.5
0.8,29.5,6.72,7.57,8.65,55.4,2.56,1.16,4,1.46,2.2,1.5,31.93,39,23.25,47.73,6.8,3.57,22.6,118.3
2.2,29.3,6.02,7.33,6.24,50.9,3.41,0.49,4.48,1.17,2.7,1.9,17.3,22.84,12.88,13.42,0.8,3.57,2.06,211.55
2.7,29.9,4.2,6.74,6.89,38.1,4.33,0.68,3.68,1.65,2.5,1.4,1.87,56.57,18.85,18.75,1.2,1.43,2.86,105.2
0.6,26,3.8,7.77,15.68,65.8,2.39,3.13,2.4,1.65,1.5,1.5,40.37,62.47,37.61,88.49,4,6.75,7.68,150.9
0.9,30.2,0.95,6.97,9.04,90.3,4.08,0.81,4.16,2.14,7,2.3,258.22,16.95,17.14,66.43,8.5,15.29,14.83,101.9
2.3,30.83,5.36,6.92,14.02,57.2,3.58,0.38,3.04,1.75,1.7,3.1,10.71,3.31,6.7,24.09,2.8,5.47,3.29,297.6
3.1,30,5.43,7.26,6.88,53,2.61,0.7,4,2.04,2.6,1.5,42.9,8.08,15.53,18.44,0.5,0.83,1.77,83
1.5,28.6,4.19,7.62,4.39,58.2,3.92,0.84,3.04,1.94,3.4,1.7,35.98,53.02,26.28,75.64,1,4.63,4.12,149
3,29.4,6.64,7.02,5.6,51.8,2.7,0.15,3.68,2.14,2.5,1,19.57,48.53,6.83,7.5,2.2,10.38,3.98,237.5
1.5,30.3,7.43,7.15,4.32,53.3,2.84,0.29,3.2,2.33,4.3,2,44.47,9.81,0.24,29.44,5.8,18.83,16.97,187.6
0.7,29.3,5.92,7.22,6.99,55.3,2.74,1.88,3.36,2.23,1.7,1.2,29.5,36.24,25.18,55.84,18.4,4.52,28.6,201.5
3.2,29.9,6.14,7.02,7.19,46,2.29,0.75,3.2,0.97,2.8,1.9,15.98,15.1,17.46,19.06,1.2,3.81,1.03,221.83
3.1,29.6,6.03,7.6,6.89,54.6,2.94,0.1,4.16,1.36,2.8,1.4,5.21,39.56,14.94,18.41,0.6,4.76,1.79,77.9
3.1,30.2,4.51,6.6,5.54,48.8,2.56,0.41,3.52,2.53,3.8,2.6,1.82,8.19,0.24,15.73,1.8,4.48,3.18,221.83
2.6,29.7,0.91,6.7,5.8,54.4,1.6,5.05,3.2,1.94,2.4,1.7,140.99,128.65,21.97,47.11,1.4,6.74,4.52,146.3
3,30.1,5.6,7,6.62,50.4,3.14,0.34,4.16,0.77,1,0.6,59.51,17.35,5.67,9.1,2.2,5.24,1.87,211.64
1.1,29.1,4.59,7.45,7.2,63.7,2.39,1.93,3.52,1.28,3,2.1,61.25,67.73,5.67,33.67,6.8,10.71,54.3,248.8
4,31.2,5.98,7.47,2.4,40.1,1.63,0.14,4.16,2.04,3,1.3,9.59,22.64,1.28,8.87,1.4,4.52,11.22,190.8
3.5,30.4,4.54,6.85,6.24,37.8,2.38,0.24,4,1.55,2,1.1,13.71,3.08,2,13.14,2.8,3.33,1.2,143.4
2.2,28.9,4.53,6.99,5.12,47.1,3.41,0.51,4.16,1.36,2.5,1.6,33.57,43.94,9.79,32.39,0.4,1.43,2.27,148.2
0.7,29.1,5.28,7.27,8.89,60,4.09,2.9,3.52,2.14,2.2,2.1,32.28,47.85,15.94,52.7,13.4,5.71,28.7,173.8
4,29.5,6.69,6.94,4.39,50.7,3.03,0.53,4.48,2.43,4.5,2.1,0.71,104.24,1.63,11.96,1,4.63,14.63,241
3.2,30.1,5.12,7.1,5.38,50.3,2.13,0.34,3.36,1.06,1,0.6,4.12,26.64,6.7,7.44,0.8,4.52,1.71,149.9
2.6,30.2,3.33,6.71,5.8,50.7,1.6,0.91,3.84,1.46,2.1,1.5,70.94,73.95,19.71,23.74,0.6,2.62,2.92,131.9
2,29.7,4.24,7.08,3.83,92.1,4.77,0.51,3.36,2.14,4.3,1.8,92.81,35.37,0.89,20.9,3.2,8.81,10.01,207.8
3.2,30.9,4.09,6.94,8.32,53.3,2.89,0.61,3.36,1.16,2.3,1.5,48.69,9.98,16.49,17.82,0.8,5.71,1.55,227.98
2.8,30.1,3.8,6.72,6.8,41.2,2.55,0.7,4.16,1.65,2.6,1.6,51.2,33.46,15.2,18.13,1.4,5.47,2.72,102.5
1.8,30.9,5.77,7.3,4.81,43.8,3.11,0.27,4.48,1.8,3.1,1.4,77.34,41.31,2.33,11.89,6.6,8.57,7.17,89.1
2.5,29.2,6.64,7.2,6.89,51.3,4.33,0.65,3.2,1.07,2.2,1.5,10.77,38.67,14.43,19.13,1.2,3.81,3.75,90.8
1.5,30.2,7.95,7.1,3.52,53,2.84,0.31,3.52,2.33,4.2,2,44.47,9.81,4.7,18.81,5.2,20.47,52.3,211.64
1.7,29.5,6.27,7.26,6.89,51.1,2.94,0.46,4,1.94,2,0.9,26.23,62.88,1.28,14.01,3.6,3.2,9.39,220.5
2.6,29.8,1.64,7,7.39,67.1,3.74,4.08,4,1.65,2.5,1,70.62,46.12,1.97,24.27,4.8,6.64,14.46,171
2,31.4,5.44,7.21,1.66,36.4,1.87,0.36,4.16,1.36,4,2.2,40.66,10.15,28.09,17.19,3.2,7.38,2.15,160.4
3.1,30.4,0.26,6.59,6.8,70.4,2.98,6.46,3.36,3.36,3.9,3.9,222.64,15.33,27.95,66.81,6.4,5.63,10,224.4
1.8,30.1,5.76,7.11,5.68,59.9,2.21,1.81,4.48,0.97,1.5,1.3,26.23,34.81,1.97,20.56,3,13.33,2.76,137.3
3.2,30.4,3.17,6.75,9.7,53.6,2.99,0.9,3.2,1.46,2.4,1.6,21.6,24,14.56,21.87,1,4.76,1.44,240
0.6,28.3,5.4,7,4.3,43.2,2.2,1.25,4.64,1.17,2.4,1.5,17.35,19.83,22.75,47.95,15.8,4.99,24.3,173.8
0.8,29.4,4.27,7.27,6.61,53.7,2.16,1.03,3.2,2.04,2,1.7,44.78,38.75,8.42,43.37,8.6,6.19,27.45,155.8
2.5,29.9,4.48,6.78,8.89,55.9,3.18,0.51,3.68,1.26,3.1,1.7,41.34,2.18,19.39,30.59,1.8,9.28,2.31,201.96
2.5,29,7.53,7.86,6.89,54.6,2.94,0.21,4,0.3,1.6,1,15.13,15.24,2.32,6.39,2.2,6.43,1.33,82.6
1.5,29.9,4.86,7.01,5.8,54.8,1.6,0.5,4,1.46,1.3,1.4,13.5,50.17,21.98,25.99,2.8,2.14,8.35,112.3
2,30.4,5.53,7.42,8.16,41.2,2.63,0.36,3.84,2.62,2.6,1.6,98.35,12.42,0.24,44.87,2.4,7.85,2.26,199.95
2.6,29.7,0.49,6.5,6.24,75.8,2.61,3.91,3.5,0.97,3.3,1.8,220.34,7.24,31.62,43.37,5,5.38,4.46,118.2
2.5,30.4,5.53,7.15,7.48,44.2,2.13,0.35,4.32,1.12,2.1,1.1,48.24,49.85,12.95,20.3,1.6,5.95,1.67,77.7
1.6,29.6,7.4,7.13,4.39,57.6,3.03,0.94,4,1.94,3,1.7,12.99,1.73,29.37,35.27,2.6,5.95,4.54,191.13
3.9,30.1,5.9,6.66,6.89,41.3,2.94,0.52,4.32,1.75,2.3,1.2,30.48,62.43,2.33,8.47,0.4,1.43,0.82,108.2
1,30.9,6.78,7.68,9.13,56.2,1.95,0.98,4.16,1.36,2.2,1.8,56.86,6.93,14.56,22.49,5.4,7.14,1.89,93.7
3.1,29.1,2.77,7.16,6.89,53.2,2.94,0.79,3.52,2.24,2.2,1.4,9.61,135.83,7.39,20.76,9.4,4.41,3.51,86.4
3.9,30.2,6.35,6.82,6.89,40.8,2.94,0.44,4.32,1.75,2.3,1.2,65.02,10.42,1.36,10.65,0.4,3.09,1.4,112.4
3,28.6,6.01,6.67,5.41,39.3,1.78,1.17,2.88,2.72,1.5,1,19.57,52.63,9.59,42.13,4.2,5,8.68,173.3
2.3,30.3,6.04,7.35,4.81,58.5,2.39,0.25,3.36,0.97,2.7,1.7,5.21,122.74,1.89,6.44,2.4,7.14,7.06,130.3
1.7,28.7,6.9,7.52,4.39,39.1,2.37,0.13,3.6,0.78,1.7,0.8,19.57,1.77,2.67,11.79,6.4,7.14,2.24,149.4
3.5,30.1,3.62,6.64,4.4,52,2.04,1,4.16,1.36,2.3,1.3,16.98,7.23,16.81,19.06,0.8,2.62,0.95,126.9
3,28.8,6.72,7.48,6.06,54,2.81,0.43,4.1,1.56,2.6,1.3,26.95,79.7,12.63,24.05,1.6,5.06,5.68,120.4
1,30.6,6.28,7,7,56.5,2.19,1.12,4.32,1.26,2.3,1.7,57.85,6.28,15.83,25.92,4.6,6.66,2.53,151.58
3,29,5.02,7,6.4,45.9,2.27,0.33,4.16,1.65,2.1,0.8,46.23,33.07,7.13,12.64,1.6,6.6,3.54,217.4
2.5,30.2,7.47,7.32,6.56,47.6,1.78,0.47,3.84,2.04,2.3,1.4,27.34,10.29,0.59,15.38,5,39.33,27.1,274.5
1.4,29.6,7.37,7.69,5.19,56.2,3.41,0.67,3.76,2.28,2.1,1.1,75.55,14.58,14.26,19.72,6,7.62,6.55,220.1
2.3,30.1,5.79,7.46,8,53.9,2.49,0.49,3.84,2.72,4,2.5,26.23,8.28,5.44,43.84,6.6,7.32,2.2,174.7
1.6,29.6,5.61,7.25,7.84,42.9,3.59,1.42,3.2,1.85,3.6,2.4,169.5,9.42,9.73,18.13,2,6.43,3.61,90.8
2.3,31.6,8.14,7.55,8.96,52.9,2.41,0.54,4,2.62,3.6,2.3,28.45,8.28,4.74,25.67,4.2,7.32,2.73,167.5
0.8,30.9,6.47,7.57,8.65,62.9,2.39,1.08,3.36,1.36,2.2,1.6,74.45,98.53,2.58,7.1,13.4,9.41,14.27,161.6
3,29.5,5.88,7.36,5.25,54.4,2.98,0.68,4,1.46,3.3,1.4,55.86,26.52,17.78,26.85,3.5,6.45,4.09,119.3
3.7,29.2,1.06,6.76,6.89,60.5,2.94,7.87,3.68,1.46,1.4,2,15.11,14.55,9.79,17.39,0.8,3.19,14.17,116.1
3.5,30.3,5.44,7.07,6.48,37.9,2.38,0.32,4.32,1.65,2.1,1.1,25.55,6.95,1.04,14.7,3.2,4.52,2.33,154.4
2.5,29.4,0.29,6.49,12.36,54.5,3.38,3.39,3.36,1.46,4.4,1.8,199.21,11.84,30.66,60.2,8.4,4.7,9.06,188.6
3.8,29.4,4.81,7.12,6.77,72.9,2.31,0.06,3.2,1.46,1.9,1.2,12.91,24.27,1.28,7.4,2.2,4.28,10.91,161.6
2.8,28.3,2.14,7.23,7.36,52.7,2.13,3.18,4,1.26,1.1,1.4,7.41,35.56,18.38,21.5,7.4,0,17.87,122.8
1.9,28.3,1.35,6.91,8,73,2.56,3.84,3.04,1.07,0.9,0.8,76.64,12.71,4.64,37.66,6.8,6.6,20.8,144.8
2.4,30.1,5.21,7.17,4.8,37.5,1.81,0.65,3.76,2.14,2.5,1.1,174.45,5.27,5.22,15.63,3.2,4.28,1.9,145.9
1.1,29,4.5,7.69,5.8,60.7,1.6,1.17,4,1.94,2.4,2,9.6,79.78,8.76,27.03,4,19.04,17.75,141.6
2.6,30.1,7.16,7.63,4.61,57.8,3.74,0.09,4.16,0.87,1.4,1.2,47.31,8.25,2.32,17.52,1.2,7.85,11.42,170.7
3.4,29.5,4.97,6.74,3.33,42.1,1.56,0.27,4.34,2.33,3.1,1.4,9.59,43.22,1.28,3.04,1.14,5.23,8.9,159.4
1,28.5,6.83,7.08,4.39,53.8,2.7,1.49,4.32,1.75,2.4,1.4,12.99,3.15,31.62,51.47,19.8,7.14,11.49,170.29
3.2,30.9,4.18,7.03,3.84,40.3,2.73,0.36,4,0.97,2.3,1.5,16.24,15.25,1.28,9.76,1.4,5.95,10.74,221.83
3,29.9,3.35,7.16,8.16,43,2.63,0.57,3.36,2.04,2.3,1.1,71.73,10.15,4.05,12.64,1.4,4.26,11.39,273.6
0.6,29.5,5.65,6.97,7.34,52.5,2.73,1.44,3.68,2.33,2.1,1.9,37.09,54.27,10.13,40.37,8.8,0.48,27.03,61.3
3.5,29.5,6.72,6.99,2.99,53.2,1.99,0.39,3.84,2.24,1.4,0.8,8.48,23.12,0.24,10.93,1,5.47,5.89,161.3
0.7,29.4,3.19,7.13,6.71,52.4,3.41,0.66,4.32,1.26,1.5,2,8.04,64.47,18.2,29.24,3.4,4.52,8.66,56.2
1.2,29.7,5.91,7.76,8.65,50.7,2.53,0.58,4.48,3.01,2.7,1.9,28.45,87.34,3.01,24.3,6,4.4,18.32,161.6
3.2,30,7,7.26,7.92,46.3,2.45,0.6,3.2,1.46,2.8,1.9,18.97,5.33,14.24,17.82,1,3.57,1.29,114.8
1.9,29.5,5.36,7.77,5.92,63.5,2.04,0.39,3.2,1.94,0.9,0.8,7.41,31.04,2.92,9.42,4.4,6.43,5.02,202.8
2.5,30.2,4.11,7.04,2.45,48.1,1.7,8.83,4.16,3.3,3.5,1.4,24.01,7.46,0.93,15.73,2.8,10.23,2.99,170
1,30.9,4.8,6.89,6.56,37.4,3.89,1.38,4.18,1.66,2.5,1.7,94.62,51.85,18.75,20.93,8.75,11.56,8.47,93.8
2.8,30.2,4.35,6.58,4.24,40.7,1.7,0.62,4.48,1.46,1.8,1.7,5.15,30.46,2.32,8.53,0.75,7.14,1.93,228
1.6,29.4,7.46,7.7,4.94,54.7,2.39,0.6,4.64,1.56,1.7,1,186.55,0,14.94,17.39,8,8.57,5.43,220.1
2.4,30.2,2.43,6.68,8.16,40.1,2.63,1.22,3.68,1.26,3,1.6,174.54,9.25,9.41,17.5,1,4.26,5.04,90
0.5,29.7,6.42,7.43,5.44,41.5,1.7,1.49,4.56,1.94,2.1,1.7,149.89,115.07,12.63,43.06,6.8,4.76,36.8,120.7
1.9,29,6.1,6.57,6.89,57.3,2.94,0.79,3.04,2.04,2.4,2.2,37.38,76.96,8.76,29.96,2.6,1.64,7.53,91.9
2,29.7,3.6,6.8,6,49.1,2.2,0.7,3.36,0.87,1.9,1.3,29.56,3.86,3.37,6.05,3.6,11.19,16.04,341.4
1.4,28.8,6.44,7.92,3.8,57.4,2.39,0.69,4.64,1.07,1.5,1,15.1,15.27,15.75,15.97,6.6,6.66,25.45,154.2
2.5,30.2,6.2,7.22,3.84,44.5,2.27,0.38,4.16,2.62,1.5,1.1,8.48,7.85,2.32,29.78,2,11.12,3.8,186.2
3.5,31.7,6.73,7.67,4.08,52.3,2.04,1.09,4.32,1.26,2.3,1.6,23.96,29.45,14.56,15.95,1,4.05,1.28,135.8
2,30.5,6.17,6.7,9.49,53.8,3.75,0.57,3.52,1.26,2.8,1.4,16.22,15.6,6.87,13.36,3.2,9.04,3.22,110.9
1,28.8,1.63,6.48,7.8,57.4,2.77,3.08,3.36,1.55,2.7,3.6,166.04,43.23,15.82,98.69,15.6,4.72,20.05,181.6
2.4,29.5,6.1,7.72,9.04,60.1,2.73,0.76,3.84,2.04,2.4,1.6,49.75,8.28,4.98,9.52,2.4,9.52,3.46,201.96
3.3,28.2,2.06,6.59,6.77,51.1,2.31,1.25,3.68,1.26,2.6,1.9,12,27.35,22.29,24.36,1.8,1.67,4.78,106.2
3.2,30.1,4.96,7.1,6.24,50.3,2.13,0.36,4.16,2.42,1,0.6,8.51,32.33,8.07,10.1,0.8,4.58,1.56,150.9
0.8,29.3,7.56,7.54,8.65,55.4,2.39,0.98,4,1.46,2.1,1.5,19.97,39.97,21.97,47.42,7.2,4.17,20.9,121.6
2,30.6,5.53,6.97,6.61,49.7,2.53,0.4,4.32,1.16,1.7,1.1,24.56,6.11,9.73,20.62,7.4,5.71,2.53,152.12
1.1,29.1,6.24,7.93,5.8,60.2,1.6,1.17,4,1.85,2.4,2,7.41,45.95,7.04,27.03,4.8,10.23,14.33,186.54
1.6,29.5,5.82,6.64,9.2,56.2,3.41,1.54,3.2,0.68,2.3,1.9,15.7,4.13,2.24,24.37,4.6,7.85,7.04,207.8
2.5,30.2,7.1,7.31,6.48,46.8,1.78,0.54,4,1.94,2.3,1.4,34,14.6,0.93,19.5,5.2,39.33,31.7,248.8
3.2,30.4,6.23,6.8,6.77,47,2.31,0.32,3.84,1.85,3.4,2.3,9.59,8.67,0.93,9.56,1.4,4.69,5.97,189.7
0.9,30.7,5.82,7.27,8.4,55.6,1.87,1.96,4,1.36,2.9,1.8,41.9,36.47,18.42,42.44,3.8,3.57,13.48,170.9
3,30.2,5.79,7.32,3.52,46.3,1.63,0.32,4.32,2.24,1.7,1,10.7,17.04,0.24,24.98,1,6.64,3.68,191.7
2,29.7,2.88,6.8,7.78,47.9,2.79,0.62,5.12,0.19,1.1,1,103.03,6.09,7.04,12.09,3.4,11.12,5.64,173.5
2.6,29.6,6.11,6.76,5.94,44.6,1.99,0.31,4,2.24,3.9,2.2,1.82,14.56,0.93,8.19,1,4.64,9.02,211.55
0.9,30.1,5.33,7.32,8.98,55.4,2.22,1.94,3.52,1.65,2.6,1.8,25.95,33.87,20.36,30.28,4.2,4.76,15.1,160.2
3.2,31.2,4.25,6.94,8.08,53.4,3.18,0.54,3.2,1.26,2.3,1.5,48.69,11.83,16.17,17.19,0.4,4.76,1.53,251.1
3,29.6,5.11,7.64,6.8,51.8,2.39,0.53,4,1.46,1.7,1.6,5.21,1.49,23.53,15.73,0.8,5.71,2.12,193.35
2.6,30.6,4.13,7.5,10.08,53.8,3.75,0.67,4.56,1.51,1.8,2.3,40.88,6.22,3.27,26.03,1.6,5,2.23,187.6
3.2,28.8,5.48,7.2,6.8,52.7,2.98,0.37,3.68,2.14,3.4,1,10.7,15.97,13.56,16.07,1.6,6.75,2.1,229.48
1,30,6.99,7.07,3.23,48.6,2.13,0.64,4.48,2.43,1.9,1.2,11.81,11.22,0.24,30.47,14.8,10.23,10.99,220.1
2,29.5,3.89,6.52,4.91,49.3,2.49,0.56,4,2.53,5.2,1.9,22.9,4.97,0.93,12.64,3.4,10.71,5.3,229.48
0.8,29.9,6.62,6.81,6.43,46.4,1.77,2.56,3.84,2.72,2.3,1.6,34,27.55,6.82,46.58,12.4,5.61,10.97,172.7
2.2,30.5,7.36,7.24,4.39,43.9,3.03,0.4,4.16,2.43,1.2,0.6,12.91,9.91,1.63,16.07,2.4,6.66,4.34,176.8
2.5,30.4,4.47,7.11,7.48,44,2.13,0.45,4.32,1.02,2.2,1.2,59.1,41.84,17.78,24.05,2.2,4.58,2.87,81.7
1.2,31.3,6.88,7.3,3.86,84.2,3.07,0.94,4.32,2.38,1.8,1.3,17.15,11.94,1.6,37.08,9.6,14.28,34.6,266.4
2.5,31.3,4.84,6.77,7.04,38.8,2.72,0.52,3.68,1.26,2.9,1.7,54.16,0.98,2.65,15.95,1.8,8.33,0.78,248.7
2.2,29.3,5.16,6.88,6.46,53.4,2.81,1.16,3.84,1.46,2.7,1.7,18.95,10.81,18.58,23.1,1.6,6.19,2.05,145.9
4,29.2,3.57,6.91,6.89,38.6,4.33,0.44,3.84,2.14,4.4,1.3,7.37,151.58,1.28,9.56,1.2,3.19,9.68,158.2
3.3,32,7.29,7.31,4.16,53.2,2.13,0.16,4.8,1.94,3.7,2,19.57,3.04,1.63,9.9,1.8,5.38,2.99,193.9
2.8,29.1,4.74,7.41,5.92,52.9,2.39,0.62,4,1.07,1.4,1.4,59.84,35.56,9.45,3.57,0.6,3.57,2.41,180.81
2.8,30.7,8.1,7.32,5.04,37.7,1.42,0.1,4.32,2.04,3.1,1.6,19.57,0.98,4.64,6.47,1,5.95,2.32,103.2
2.5,29.8,1.46,6.43,11.6,54.4,3.48,3.79,3.52,1.36,4.5,1.7,193.29,11.22,24.22,41.5,5,1.67,6.01,187.3
0.8,29.8,5.06,7.53,8.65,65.5,2.22,0.86,4.16,1.85,2.2,1.6,110.72,81.34,3.61,9.1,17,8.14,26.7,115.5
2.6,29.6,4.37,6.79,5.46,45.6,1.99,0.4,4,2.24,4.1,2.1,0.71,57.49,1.28,8.53,1,4.64,9.69,194.7
3.2,29.7,0.27,6.94,7.39,83.8,3.41,10.23,3.84,1.55,2.3,1.6,159.39,27.51,7.55,55.31,5,5.91,16,214.17
1,29.4,6.21,6.89,5.88,40.9,2.39,0.94,4,2.24,2.3,1.7,27.34,28.79,13.04,43.15,5.8,17.85,11.14,170.3
2.2,29.3,7.42,7.44,5.92,50.4,3.83,0.48,4.48,1.7,2.7,1.9,32.69,5.32,10.13,16.75,0.4,2.86,1.77,149.6
2,28.9,7.66,7.57,6.89,64.1,2.94,0.6,4,1.46,1.1,1.3,23.89,66.91,7.19,12.41,3.2,3.17,6.97,182.31
3,30,5.36,7.83,7.12,51.7,2.56,0.41,4,1.46,1.7,1.4,15.1,2.9,10.13,10.75,0.4,4.52,1.45,118.2
3,29.5,5.25,7.1,6.24,56.1,2.73,0.84,3.84,1.65,1.8,1.6,48.69,11.83,4.98,2.86,1,2.86,2.69,227.98
1,28.7,6.75,7.14,4.39,54,2.5,1.17,4,1.94,2.4,1.5,13.99,7.26,28.73,47.42,12.8,5.71,7.15,178.2
1.5,29.7,5.96,7.04,7.28,47.9,2.27,1.07,4,1.94,2.3,1.5,58.41,18.36,0.59,33.21,4,8.5,34.1,257.58
3.3,29.7,5.35,7.11,2.8,43.6,1.49,0.44,3.68,2.24,2,1.1,11.81,14.03,0.24,16.76,1.6,8.81,3.29,196.8
3,29.9,6.4,7.05,4.8,58.5,3.41,0.69,2.56,1.99,1.4,1.1,11.81,3.51,1.6,10.76,1,5.95,1.63,169.2
1.2,29.5,7.17,7.4,6.48,47.3,2.12,0.67,4.48,1.65,3.6,1.5,81.78,8.59,8.44,21.56,5,2.38,3.41,243.1
1.5,30.7,5.13,7.29,3.36,47.1,2.61,0.47,4.48,2.54,2.1,1.5,59.1,16.92,16.49,20.93,3.4,4.05,5.86,69
1.6,29.6,5.04,7.1,7.6,56.3,3.92,0.55,2.88,1.65,3.8,1.8,56.86,6.45,19.71,26.54,6.4,12.79,7.29,152.2
3.1,30.3,5.52,7.48,7.28,53.5,2.45,0.78,4.16,1.85,2.4,1.6,36.92,10.07,11.66,12.21,0.6,1.19,1.75,85.5
0.9,30.5,5.66,7.33,8.16,55.3,2.04,1.98,3.68,1.65,2.7,1.9,33.93,36.76,18.75,41.19,5,3.33,14.64,248.8
2.5,30.2,6.53,7.04,3.84,44.4,2.06,0.33,4.32,2.24,1.3,1.1,9.59,8.52,0.59,29.1,2.6,11.12,3.18,209.74
3.5,29.4,6.38,7.33,6.89,44.1,2.94,0.09,4.16,2.62,2,1.2,8.48,45.49,5.68,5.79,2,6.66,11.38,179.63
1.7,30.3,5.83,7.06,3.67,41.3,2.56,0.66,3.52,2.92,2.6,1.7,7.37,34.81,2.32,27.04,4.8,16.42,4.39,154.87
3.2,30.1,5.28,7,5.28,50.3,2.13,0.31,3.52,0.87,1,0.6,5.21,35.47,8.42,9.76,1.2,2.86,1.26,144.9
2.6,29.3,0.56,6.34,8.87,65.4,2.27,6.38,3.2,2.92,3.9,2.5,244.83,23.12,34.87,49.32,7.8,4.64,27.5,155.9
2.5,28.8,5.79,7.11,6.89,51.5,4.33,0.68,3.52,1.26,2.1,1.6,8.04,38.37,15.56,22.74,0.8,2.62,3.68,231.62
2.8,30.1,5.32,6.84,6,53,1.96,0.5,3.36,1.75,2.2,1.4,33.93,4.21,8.12,14.56,1,4.76,1.4,202.8
3,29,6.07,7.24,5.76,51.9,2.7,0.19,3.84,1.94,2.6,1,16.24,52.19,6.83,10.24,1.2,10.38,1.88,207.8
