2;58,5008114771544;
1;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
1;0,0;
1;0,0;
-1;0,0
1;0,0;
4;99,92657274071996;
4;99,85609692170941;
4;99,84555154832849;
7;99,81030931684401;
5;99,77675873516661;
2;97,74353158796738;
32;96,83772233983163;
4;94,24076558220115;
42;93,37589057839637;
2;92,56681560110714;
2;74,77436710860138;
1;0,0;
-1;0,0
-1;0,0
-1;0,0
3;0,0;
0;0,0;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
20;99,82008828957385;
-1;0,0
2;76,82403620978788;
1;0,0;
-1;0,0
1;0,0;
-1;0,0
4;99,92657274071996;
-1;0,0
-1;0,0
5;98,83663745965782;
6;99,92044342932441;
2;91,07231589935725;
-1;0,0
5;99,42446108047746;
-1;0,0
2;59,32039111799241;
1;0,0;
-1;0,0
4;99,92657274071996;
6;99,9066463727876;
13;99,33447858840435;
17;99,2980542122583;
4;98,56813703476493;
32;96,83772233983163;
2;95,91633609208111;
2;88,92360019600576;
2;86,39802802274545;
1;0,0;
-1;0,0
-1;0,0
-1;0,0
2;0,0;
-1;0,0
2;0,0;
1;0,0;
0;0,0;
-1;0,0
-1;0,0
4;99,92657274071996;
4;99,88513969315656;
7;99,5135857932445;
10;99,36331045803355;
32;96,83772233983163;
4;93,86278276533815;
8;85,25422641519903;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
2;0,0;
-1;0,0
1;0,0;
1;0,0;
1;0,0;
-1;0,0
-1;0,0
1;0,0;
1;0,0;
4;99,92657274071996;
6;99,92044342932441;
10;99,84922475187294;
15;99,33865290191775;
64;97,17710255234094;
2;83,50353879125615;
2;69,43568160114751;
2;59,32039111799241;
-1;0,0
-1;0,0
-1;0,0
2;0,0;
1;0,0;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
-1;0,0
1;0,0;
2;0,0;
4;99,92657274071996;
6;99,90200381284272;
16;99,40483197777999;
17;99,2980542122583;
14;97,93063606511282;
3;93,69104984174186;
3;93,33941551949304;
20;89,7467909928829;
2;87,17722757072157;
2;83,52061809259848;
2;57,06689804536978;
2;0,0;
1;0,0;
1;0,0;
-1;0,0
-1;0,0
1;0,0;
-1;0,0
-1;0,0
1;0,0;
4;99,92657274071996;
4;99,84555154832849;
5;99,83065365800098;
22;99,73261745883217;
17;99,2980542122583;
208;96,83772233983163;
20;94,51474927416669;
2;83,77070274173522;
2;83,52061809259848;
1;0,0;
1;0,0;
0;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
1;0,0;
-1;0,0
-1;0,0
4;99,92657274071996;
4;99,898487411482;
10;99,86426867480408;
2;94,15682666245276;
2;87,72135542871241;
2;86,01344718921932;
2;76,82403620978788;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
1;0,0;
1;0,0;
1;0,0;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
2;0,0;
1;0,0;
4;99,92657274071996;
9;99,87754069241976;
12;99,86133976087113;
32;96,83772233983163;
2;95,9610380413899;
3;94,52986968559411;
3;94,20368114964137;
8;92,64949010907728;
2;88,8152909629317;
3;86,76403145272202;
2;84,58500162272593;
2;57,06689804536978;
1;0,0;
-1;0,0
-1;0,0
2;0,0;
-1;0,0
1;0,0;
-1;0,0
1;0,0;
4;99,92657274071996;
6;99,90200381284272;
32;96,83772233983163;
2;95,6029274824331;
8;92,64949010907728;
10;86,41449812498672;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
0;0,0;
1;0,0;
1;0,0;
-1;0,0
2;0,0;
-1;0,0
-1;0,0
0;0,0;
-1;0,0
-1;0,0
4;99,92657274071996;
4;99,88513969315656;
7;99,8482952323366;
16;99,32956030958002;
14;98,23295028158743;
3;96,81333063528547;
2;94,56696850580741;
2;89,95290198991844;
3;67,5510354001294;
2;59,32039111799241;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
1;0,0;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
32;96,83772233983163;
-1;0,0
1;0,0;
26;99,0528134082168;
3;94,07413625963935;
-1;0,0
-1;0,0
3;92,76942042289672;
-1;0,0
3;67,5510354001294;
1;0,0;
-1;0,0
2;79,15861737407556;
1;0,0;
6;99,90200381284272;
-1;0,0
3;92,45838106369935;
2;87,95921194081998;
32;96,83772233983163;
4;99,90975188195183;
32;96,83772233983163;
3;95,28203238087303;
3;95,19291876078228;
2;93,32019745591714;
2;86,04892927537952;
2;84,58500162272593;
2;84,58500162272593;
2;79,45516034907585;
2;74,77436710860138;
2;56,946621042087365;
-1;0,0
2;0,0;
1;0,0;
1;0,0;
2;0,0;
-1;0,0
-1;0,0
1;0,0;
-1;0,0
4;99,90975188195183;
7;99,90541087854194;
4;99,84555154832849;
11;99,81744666867338;
3;90,54634598379292;
4;88,93697852758498;
-1;0,0
1;0,0;
0;0,0;
-1;0,0
-1;0,0
-1;0,0
2;0,0;
-1;0,0
2;0,0;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
-1;0,0
4;99,92657274071996;
4;99,90975188195183;
16;99,32956030958002;
2;93,18699898973213;
5;90,49221286079946;
12;90,34565281077775;
2;83,98913667196241;
2;81,97144746622128;
-1;0,0
2;0,0;
-1;0,0
1;0,0;
1;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
1;0,0;
-1;0,0
-1;0,0
4;99,92657274071996;
6;99,90200381284272;
14;99,81406901975234;
3;96,42970973252748;
2;95,5221311749619;
26;91,63694405586695;
3;91,10347791185545;
10;89,6171827941636;
2;88,92360019600576;
12;77,84142595352772;
2;59,32039111799241;
2;58,5008114771544;
-1;0,0
1;0,0;
1;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
4;99,92657274071996;
128;96,97665334438804;
32;96,83772233983163;
2;95,58605288396103;
2;95,23602311790734;
20;95,07572018184088;
3;94,07413625963935;
8;92,64949010907728;
3;89,8618250875985;
2;69,43568160114751;
3;0,0;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
-1;0,0
1;0,0;
-1;0,0
-1;0,0
-1;0,0
4;99,92657274071996;
5;99,92391434058213;
6;99,920493882994;
4;99,85609692170941;
5;99,7884899012692;
10;99,75219528171088;
17;99,2980542122583;
128;96,97665334438804;
208;96,83772233983163;
2;92,05893749697907;
2;90,83197632527722;
3;67,5510354001294;
1;0,0;
-1;0,0
-1;0,0
1;0,0;
3;0,0;
-1;0,0
1;0,0;
1;0,0;
4;99,92657274071996;
6;99,9066463727876;
7;99,89602228197475;
20;99,82008828957385;
26;99,0528134082168;
32;96,83772233983163;
2;89,9483768746457;
2;83,52061809259848;
3;80,59440624784415;
2;78,0738444433815;
1;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
1;0,0;
-1;0,0
1;0,0;
4;99,92657274071996;
4;99,88513969315656;
17;99,2980542122583;
32;96,83772233983163;
2;95,64819147669988;
3;91,21402770467427;
5;90,2411412950426;
2;83,64657493464449;
2;79,15861737407556;
2;77,82501702633262;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
1;0,0;
1;0,0;
1;0,0;
1;0,0;
-1;0,0
4;99,92657274071996;
22;99,73261745883217;
15;99,33865290191775;
3;96,81333063528547;
5;94,67727151861601;
2;94,5297098729525;
3;81,93104064004484;
3;67,5510354001294;
1;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
0;0,0;
1;0,0;
-1;0,0
2;90,88680042369285;
-1;0,0
2;0,0;
4;98,49504487715058;
2;0,0;
4;99,92657274071996;
32;96,83772233983163;
2;96,55989541923108;
-1;0,0
-1;0,0
-1;0,0
1;0,0;
1;0,0;
-1;0,0
1;0,0;
3;91,36660325008215;
2;0,0;
4;99,92657274071996;
5;99,92182792189223;
17;99,32471991370156;
32;96,83772233983163;
3;94,52986968559411;
2;91,12499219611165;
3;89,55751656796855;
3;85,87409577305954;
2;59,32039111799241;
-1;0,0
-1;0,0
2;0,0;
1;0,0;
3;0,0;
1;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
4;99,92657274071996;
6;99,90955777262309;
14;99,81406901975234;
8;99,28717937610084;
2;84,58500162272593;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
1;0,0;
0;0,0;
-1;0,0
-1;0,0
-1;0,0
2;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
4;99,92657274071996;
6;99,90692748317966;
7;99,89121429442956;
4;99,88043934083544;
5;98,7105375263391;
4;98,56688715722586;
2;97,73949960545788;
116;93,88590901075652;
2;78,0738444433815;
2;77,82501702633262;
1;0,0;
1;0,0;
-1;0,0
1;0,0;
2;0,0;
-1;0,0
1;0,0;
1;0,0;
1;0,0;
-1;0,0
4;99,92657274071996;
6;99,92044342932441;
7;99,84898752809029;
4;94,31630586343289;
12;93,65426464089681;
2;81,97144746622128;
2;72,8062958642207;
1;0,0;
-1;0,0
-1;0,0
2;0,0;
2;0,0;
0;0,0;
-1;0,0
-1;0,0
1;0,0;
1;0,0;
4;0,0;
1;0,0;
1;0,0;
4;99,92657274071996;
4;99,91732068147311;
6;99,90200436556943;
4;99,84555154832849;
16;99,75641717663383;
16;99,32956030958002;
32;96,83772233983163;
2;89,42334394147184;
2;83,52061809259848;
2;76,82403620978788;
3;67,5510354001294;
2;58,5008114771544;
-1;0,0
-1;0,0
1;0,0;
-1;0,0
-1;0,0
-1;0,0
1;0,0;
1;0,0;
4;99,92657274071996;
4;99,898487411482;
19;99,40112208863388;
26;99,0528134082168;
2;97,75266712512253;
2;92,93846636439562;
8;92,64949010907728;
2;91,37197194771683;
9;89,0346127654444;
2;88,92360019600576;
2;88,12523816645134;
2;87,64176051008856;
2;86,17708437147604;
2;85,04607924449643;
2;81,97144746622128;
2;0,0;
-1;0,0
2;0,0;
1;0,0;
-1;0,0
4;99,92657274071996;
8;99,91279727537542;
4;99,898487411482;
208;96,83772233983163;
2;95,67796920570902;
2;93,6128208551208;
3;86,54912707945283;
-1;0,0
-1;0,0
-1;0,0
1;0,0;
1;0,0;
0;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
0;0,0;
4;99,92657274071996;
32;96,83772233983163;
32;96,83772233983163;
32;96,83772233983163;
2;95,87943930153338;
1;0,0;
-1;0,0
-1;0,0
1;0,0;
1;0,0;
-1;0,0
-1;0,0
0;0,0;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
-1;0,0
0;0,0;
2;0,0;
4;99,92657274071996;
6;99,90942436707986;
13;99,33447858840435;
4;98,56316147091704;
9;98,27814313026856;
64;97,17710255234094;
2;95,52001720310092;
3;94,52986968559411;
4;94,15009621102263;
12;90,34565281077775;
3;86,76403145272202;
2;74,77436710860138;
1;0,0;
1;0,0;
-1;0,0
1;0,0;
1;0,0;
0;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
18;94,68455908452306;
-1;0,0
-1;0,0
1;0,0;
2;81,97144746622128;
2;69,43568160114751;
1;0,0;
6;98,75976804826053;
-1;0,0
1;0,0;
1;0,0;
2;0,0;
2;86,6944298365905;
2;87,33794167788793;
1;0,0;
0;0,0;
1;0,0;
4;99,92657274071996;
22;99,79977624513772;
2;96,86734551522007;
32;96,83772233983163;
3;95,98621777327243;
5;94,22478369825352;
10;92,7186573592648;
2;89,38356536008155;
2;86,19353476408114;
4;77,98869774881058;
-1;0,0
1;0,0;
-1;0,0
1;0,0;
1;0,0;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
1;0,0;
3;99,96490761976735;
6;99,92456326694385;
6;99,92456326694385;
7;99,8837144906516;
11;99,81744666867338;
4;97,7296169540675;
32;96,83772233983163;
2;87,90582230346583;
1;0,0;
-1;0,0
2;0,0;
-1;0,0
1;0,0;
0;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
0;0,0;
1;0,0;
3;99,96490761976735;
4;99,81586389013135;
2;99,29935093305798;
6;92,31854656574878;
2;91,66189025773375;
2;85,81223504355656;
2;83,50353879125615;
2;80,09369028237381;
2;72,8062958642207;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
3;0,0;
1;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
3;99,96490761976735;
6;99,9066463727876;
7;99,90278676060157;
12;99,86133976087113;
8;99,81268329568863;
64;97,17710255234094;
11;94,07554295515628;
18;91,70862205145434;
5;91,12797298625779;
2;79,15861737407556;
1;0,0;
2;0,0;
-1;0,0
-1;0,0
1;0,0;
1;0,0;
2;0,0;
-1;0,0
-1;0,0
1;0,0;
3;99,96490761976735;
4;99,92657274071996;
6;99,90955777262309;
7;99,5135857932445;
2;90,9154945538216;
2;89,2594470493579;
2;84,58500162272593;
3;81,93104064004484;
2;58,5008114771544;
-1;0,0
1;0,0;
1;0,0;
2;0,0;
1;0,0;
1;0,0;
1;0,0;
1;0,0;
-1;0,0
1;0,0;
-1;0,0
3;99,96490761976735;
6;99,92456326694385;
6;99,90942436707986;
14;99,75783628962867;
64;97,17710255234094;
2;96,88260156805725;
32;96,83772233983163;
2;94,64314546219532;
3;94,07413625963935;
2;89,79549846639613;
2;88,75937839372492;
3;85,87409577305954;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
1;0,0;
3;99,96490761976735;
3;99,95866058115237;
32;96,83772233983163;
2;96,19168498752694;
14;93,97306412050442;
3;90,54634598379292;
2;85,76593333217171;
2;84,03470180870391;
1;0,0;
-1;0,0
-1;0,0
1;0,0;
1;0,0;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
0;0,0;
-1;0,0
-1;0,0
3;99,96490761976735;
22;99,73261745883217;
8;99,28717937610084;
2;96,87324346555367;
20;91,13322226620694;
3;90,54634598379292;
3;85,5901606159861;
2;84,97073846751589;
4;77,88407944716114;
-1;0,0
1;0,0;
-1;0,0
1;0,0;
1;0,0;
1;0,0;
1;0,0;
-1;0,0
1;0,0;
1;0,0;
2;0,0;
3;99,96490761976735;
4;99,92657274071996;
4;99,90975188195183;
6;98,75976804826053;
32;96,83772233983163;
18;94,68455908452306;
3;93,99319942023304;
2;92,26990456161614;
3;89,57236357953198;
2;83,50353879125615;
2;81,97144746622128;
-1;0,0
1;0,0;
0;0,0;
1;0,0;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
-1;0,0
1;0,0;
32;96,83772233983163;
32;96,83772233983163;
-1;0,0
6;98,81922059558264;
20;89,7467909928829;
1;0,0;
1;0,0;
11;99,83958282661071;
1;0,0;
3;94,52986968559411;
2;72,8062958642207;
2;0,0;
2;89,5693057414163;
-1;0,0
-1;0,0
0;0,0;
6;92,8327293505766;
5;89,25490368549175;
-1;0,0
7;99,86723022279394;
5;99,42446108047746;
32;96,83772233983163;
32;96,83772233983163;
3;94,06478985073939;
31;91,63535536624273;
2;91,35667372146528;
2;88,92360019600576;
2;81,97144746622128;
3;81,47795217830726;
3;0,0;
1;0,0;
2;0,0;
-1;0,0
1;0,0;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
-1;0,0
7;99,86723022279394;
2;99,31906549076697;
15;98,42534532671999;
2;97,74353158796738;
4;95,62322985178159;
2;95,5221311749619;
3;93,93853852702951;
2;93,4593379683022;
5;91,12797298625779;
14;90,01302411027056;
1;0,0;
3;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
1;0,0;
-1;0,0
-1;0,0
4;99,91732068147311;
6;99,90955777262309;
7;99,87156682732171;
5;99,85082418748281;
2;96,86734255161682;
4;92,95398440201484;
4;88,48701615070233;
2;85,97796314326327;
2;78,0738444433815;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
1;0,0;
3;0,0;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
-1;0,0
4;99,91732068147311;
64;97,17710255234094;
11;95,68432431498431;
3;94,74048316961783;
2;94,56696850580741;
20;94,51474927416669;
6;92,71428769186286;
3;92,21294821912097;
2;91,93647935675588;
3;85,87409577305954;
1;0,0;
-1;0,0
-1;0,0
-1;0,0
0;0,0;
-1;0,0
-1;0,0
2;0,0;
-1;0,0
-1;0,0
4;99,91732068147311;
6;99,90692748317966;
7;99,81030931684401;
16;99,32956030958002;
2;95,46198584232887;
3;93,69104984174186;
3;92,55183044314131;
2;83,28367426810944;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
-1;0,0
1;0,0;
1;0,0;
1;0,0;
-1;0,0
-1;0,0
-1;0,0
1;0,0;
4;99,91732068147311;
7;99,87156593021867;
14;99,75783628962867;
32;96,83772233983163;
12;93,65426464089681;
2;85,67099703921298;
2;85,3067806935665;
2;83,50353879125615;
2;59,32039111799241;
-1;0,0
-1;0,0
1;0,0;
3;0,0;
-1;0,0
-1;0,0
-1;0,0
1;0,0;
-1;0,0
0;0,0;
-1;0,0
6;99,92456326694385;
8;99,89800173901827;
4;99,82291382954496;
32;96,83772233983163;
2;91,02079500113481;
3;85,87409577305954;
3;67,5510354001294;
2;56,946621042087365;
-1;0,0
1;0,0;
1;0,0;
2;0,0;
0;0,0;
1;0,0;
3;0,0;
1;0,0;
1;0,0;
1;0,0;
-1;0,0
-1;0,0
6;99,92456326694385;
4;99,90975188195183;
4;98,60422055663096;
3;96,81333063528547;
4;93,1790422898962;
2;90,84368067718896;
2;88,33786274111985;
2;76,82403620978788;
2;58,5008114771544;
-1;0,0
-1;0,0
1;0,0;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
1;0,0;
1;0,0;
-1;0,0
-1;0,0
6;99,92456326694385;
6;99,90955777262309;
32;96,83772233983163;
32;96,83772233983163;
2;96,80783364748152;
9;93,08699217063364;
6;90,6065616613223;
12;90,08356267721517;
2;84,58500162272593;
2;72,8062958642207;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
1;0,0;
1;0,0;
1;0,0;
1;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
2;84,0461128809836;
-1;0,0
17;99,2980542122583;
-1;0,0
-1;0,0
0;0,0;
14;93,97306412050442;
2;94,44691866703332;
-1;0,0
1;0,0;
-1;0,0
17;89,64497654245254;
1;0,0;
6;99,92456326694385;
-1;0,0
-1;0,0
2;0,0;
1;0,0;
6;99,92456326694385;
19;99,40112208863388;
17;99,2980542122583;
6;95,2868524784383;
10;92,7186573592648;
3;89,8618250875985;
2;86,76917946307255;
2;80,09369028237381;
2;72,8062958642207;
-1;0,0
-1;0,0
-1;0,0
2;0,0;
-1;0,0
1;0,0;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
-1;0,0
4;99,92657274071996;
6;99,92456326694385;
11;99,83958282661071;
32;96,83772233983163;
208;96,83772233983163;
6;92,31854656574878;
2;83,81894419722904;
2;81,97144746622128;
3;79,20175994004039;
3;78,51227106009122;
1;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
1;0,0;
1;0,0;
2;0,0;
-1;0,0
4;99,92657274071996;
6;99,90942436707986;
11;99,7673197007609;
2;95,72305915676395;
7;93,41180580256461;
2;85,02059239573546;
2;83,50353879125615;
2;76,82403620978788;
3;67,5510354001294;
-1;0,0
-1;0,0
0;0,0;
-1;0,0
2;0,0;
-1;0,0
-1;0,0
0;0,0;
-1;0,0
1;0,0;
1;0,0;
4;99,92657274071996;
7;99,87156593021867;
7;99,8482952323366;
64;97,17710255234094;
2;96,8313787473776;
2;92,53429907795757;
2;92,22097546319591;
3;85,87409577305954;
2;79,15861737407556;
-1;0,0
-1;0,0
-1;0,0
1;0,0;
1;0,0;
3;0,0;
-1;0,0
3;0,0;
-1;0,0
-1;0,0
-1;0,0
4;99,92657274071996;
6;99,90200381284272;
7;99,81030931684401;
5;99,42446108047746;
2;96,79579331944;
2;96,05331481018071;
3;94,5301723610224;
4;91,55752388566891;
2;87,45147875665795;
2;83,52061809259848;
3;81,47795217830726;
2;80,09369028237381;
1;0,0;
1;0,0;
-1;0,0
-1;0,0
-1;0,0
1;0,0;
2;0,0;
-1;0,0
4;99,92657274071996;
5;99,92182792189223;
4;99,90975188195183;
11;99,7673197007609;
16;99,40483197777999;
32;96,83772233983163;
2;77,82501702633262;
2;57,06689804536978;
-1;0,0
-1;0,0
0;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
1;0,0;
-1;0,0
1;0,0;
-1;0,0
4;99,92657274071996;
4;99,88043934083544;
7;99,8482952323366;
5;99,83065365800098;
5;99,42446108047746;
10;99,36331045803355;
15;99,33865290191775;
13;99,33447858840435;
2;86,90085756410339;
3;83,10728791340652;
1;0,0;
-1;0,0
1;0,0;
-1;0,0
2;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
4;99,92657274071996;
10;99,85249405769227;
2;96,83455531083541;
2;94,5297098729525;
2;84,58500162272593;
2;83,50353879125615;
2;81,97144746622128;
2;81,97144746622128;
8;74,9745824700602;
2;0,0;
-1;0,0
-1;0,0
-1;0,0
0;0,0;
1;0,0;
0;0,0;
1;0,0;
-1;0,0
2;0,0;
-1;0,0
4;99,92657274071996;
4;99,92267261034615;
32;96,83772233983163;
4;95,43345611007913;
5;94,67727151861601;
14;93,97306412050442;
5;88,81745897263109;
2;88,00976445509102;
2;83,52061809259848;
1;0,0;
-1;0,0
3;0,0;
1;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
1;0,0;
-1;0,0
2;0,0;
-1;0,0
208;96,83772233983163;
-1;0,0
1;0,0;
2;87,49627900259912;
-1;0,0
6;95,53564383044377;
-1;0,0
-1;0,0
-1;0,0
1;0,0;
1;0,0;
1;0,0;
-1;0,0
-1;0,0
3;88,1002576723573;
1;0,0;
-1;0,0
7;99,81030931684401;
10;99,40732444730463;
32;96,83772233983163;
2;91,99500733011038;
2;90,30314221379282;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
1;0,0;
-1;0,0
1;0,0;
2;0,0;
-1;0,0
1;0,0;
2;0,0;
1;0,0;
6;99,92044342932441;
9;99,87754069241976;
7;99,8482952323366;
7;99,5135857932445;
3;93,93853852702951;
2;91,8057498128844;
2;89,16930058264865;
10;86,41449812498672;
2;85,06802253533834;
3;67,5510354001294;
-1;0,0
1;0,0;
2;0,0;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
1;0,0;
-1;0,0
-1;0,0
6;99,92044342932441;
6;99,9066463727876;
64;97,17710255234094;
32;96,83772233983163;
3;93,98608941693556;
15;93,26352590742076;
3;92,63758120526848;
2;87,6200698339307;
2;85,29297420937598;
2;80,09369028237381;
2;80,09369028237381;
3;0,0;
2;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
2;0,0;
4;99,92657274071996;
15;98,62864607121698;
14;98,23295028158743;
41;93,04337279322861;
6;92,31854656574878;
3;89,57236357953198;
2;85,59726542719525;
-1;0,0
2;0,0;
-1;0,0
-1;0,0
2;0,0;
0;0,0;
-1;0,0
3;0,0;
-1;0,0
-1;0,0
1;0,0;
-1;0,0
-1;0,0
4;99,92657274071996;
6;99,90942436707986;
6;99,9066463727876;
22;99,73261745883217;
16;99,32956030958002;
26;99,0528134082168;
32;96,83772233983163;
2;92,54970462093868;
18;91,70862205145434;
2;86,49279742981817;
2;85,5172779034299;
8;85,25422641519903;
2;84,58500162272593;
-1;0,0
1;0,0;
-1;0,0
1;0,0;
-1;0,0
1;0,0;
1;0,0;
3;99,97150312243164;
6;99,92044342932441;
4;99,90975188195183;
4;99,898487411482;
11;99,7673197007609;
14;99,75783628962867;
7;99,5135857932445;
2;93,61828891500357;
2;92,94486002973714;
16;90,93007596462749;
3;85,71978394897938;
2;81,97144746622128;
-1;0,0
-1;0,0
3;0,0;
-1;0,0
-1;0,0
-1;0,0
1;0,0;
-1;0,0
3;99,97150312243164;
4;99,89269623319693;
32;96,83772233983163;
2;96,79579331944;
2;94,56696850580741;
6;94,16320386794371;
2;81,97144746622128;
1;0,0;
-1;0,0
-1;0,0
0;0,0;
1;0,0;
-1;0,0
1;0,0;
-1;0,0
-1;0,0
1;0,0;
1;0,0;
1;0,0;
1;0,0;
3;99,97150312243164;
4;99,92267261034615;
6;99,920493882994;
10;99,86426867480408;
26;99,0528134082168;
2;94,5297098729525;
16;93,55954828742658;
3;91,37487208871295;
2;87,67207680723068;
2;87,26105741055802;
3;86,76403145272202;
3;86,71158618577542;
2;86,41098486651654;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
3;99,97150312243164;
6;99,90955777262309;
7;99,87156593021867;
18;94,68455908452306;
3;93,95483866300134;
37;93,86966280428494;
