region-centroid-col	region-centroid-row	vedge-mean	vegde-sd	hedge-mean	hedge-sd	intensity-mean	rawred-mean	rawblue-mean	rawgreen-mean	exred-mean	exblue-mean	exgreen-mean	value-mean	saturation-mean	hue-mean
118	125	0.333333	0.298142	0.888889	0.344265	114.815	0	311.111	0.333333	-344.444	588.889	-244.444	311.111	1	-217.565
83	53	0.555555	0.455419	0.722223	0.490652	123.444	112.333	138.222	119.778	-333.333	443.333	-11	138.222	0.187217	-239.327
70	38	122.222	0.272166	1	0.760116	58	50	743.333	496.667	-24	49	-25	743.333	0.336015	-20.785
96	84	1.5	127.778	161.111	228.519	238.519	235.556	30	18	-0.888889	184.444	-175.556	30	0.398791	-159.887
151	129	805.556	814.157	0.722222	0.827758	32.037	275.556	411.111	274.444	-134.444	272.222	-137.778	411.111	0.338407	-20.788
98	144	0.222222	0.02963	0.333333	0.088889	1	0	3	0	-3	6	-3	3	1	-20.944
146	140	105.556	0.462963	1	0.577778	633.333	788.889	733.333	377.778	466.667	3	-766.667	822.222	0.537017	-0.909267
162	237	227.778	114.342	266.667	256.472	132.222	108.889	10	187.778	-7	-966.667	166.667	187.778	0.472826	199.038
155	27	105.556	0.240737	144.445	0.25185	137.519	132.556	146.556	133.444	-148.889	271.111	-122.222	146.556	0.098472	-214.672
83	198	238.889	149.691	483.333	300.925	597.778	531.111	74	522.222	-20	426.667	-226.667	74	0.296314	-205.057
94	104	661.111	142.075	1	0.516399	557.407	488.889	695.556	487.778	-205.556	414.444	-208.889	695.556	0.303071	-208.549
220	111	255.556	165.552	227.778	159.745	295.926	254.444	382.222	251.111	-124.444	258.889	-134.444	382.222	0.349325	-206.472
157	85	122.222	124.127	0.222222	0.172133	189.259	145.556	268.889	153.333	-131.111	238.889	-107.778	268.889	0.459024	-216.091
18	145	0.388889	0.018519	0.611111	0.374074	392.593	555.556	4	222.222	488.889	0.222222	-511.111	555.556	0.600529	-0.57094
95	191	316.667	278.687	6	518.545	602.593	524.444	762.222	521.111	-234.444	478.889	-244.444	762.222	0.320865	-207.765
112	38	110.556	110.743	111.111	106.805	646.296	582.222	784.444	572.222	-192.222	414.444	-222.222	784.444	0.271659	-203.882
206	133	0.055556	0.136083	0.055556	0.136083	0.37037	0	111.111	0	-111.111	222.222	-111.111	111.111	1	-20.944
222	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0
217	208	2.5	216.667	266.667	244.445	160.741	126.667	144.444	211.111	-102.222	-488.889	151.111	211.111	0.40213	231.093
189	187	122.222	10.037	305.556	238.902	485.185	441.111	598.889	415.556	-132.222	341.111	-208.889	598.889	0.305755	-194.747
222	93	172.222	0.062963	0.166667	0.033333	244.444	1	544.444	0.888889	-433.333	9	-466.667	544.444	0.878395	-207.507
97	130	0.722222	0.507407	105.556	0.685185	585.185	733.333	688.889	333.333	444.444	311.111	-755.556	766.667	0.570106	-0.963048
21	64	162.778	129.485	202.222	176.291	31	246.667	38	303.333	-19	21	-2	38	0.400746	-259.382
96	193	133.333	111.555	183.333	184.692	627.037	547.778	787.778	545.556	-237.778	482.222	-244.444	787.778	0.310288	-208.494
41	150	177.778	194.074	216.667	1.5	207.407	162.222	292.222	167.778	-135.556	254.444	-118.889	292.222	0.441573	-213.488
154	120	0.444444	0.02963	0.444445	0.118518	596.296	777.778	677.778	333.333	544.444	244.444	-788.889	777.778	0.569444	-0.820403
137	66	261.111	304.074	294.444	388.518	284.074	253.333	382.222	216.667	-922.222	294.444	-202.222	382.222	0.430558	-184.499
46	238	105.556	0.827759	216.667	18.227	132.593	966.667	126.667	174.444	-107.778	-177.778	125.556	174.444	0.445509	250.823
254	159	355.556	754.074	148.333	152.7	366.296	313.333	462.222	323.333	-158.889	287.778	-128.889	462.222	0.294845	-231.687
175	14	0.888888	0.807371	122.222	0.779361	113.815	100.111	132.111	109.222	-411.111	548.889	-137.778	132.111	0.24216	-239.111
243	48	122.222	0.207406	127.778	126.297	134.852	127.556	146.111	130.889	-218.889	337.778	-118.889	146.111	0.126968	-227.843
223	175	377.778	312.457	716.667	468.923	578.519	507.778	727.778	50	-212.222	447.778	-235.556	727.778	0.312834	-205.935
252	176	188.889	114.827	505.556	285.514	529.259	463.333	67	454.444	-197.778	422.222	-224.444	67	0.32042	-205.164
186	218	116.667	0.744444	116.667	0.655555	137.037	106.667	126.667	177.778	-911.111	-311.111	122.222	177.778	0.401347	238.268
107	21	0.666662	0.516398	116.667	0.408248	126.778	115.778	141.889	122.667	-33	453.333	-123.333	141.889	0.184022	-237.037
84	51	177.778	162.963	266.667	0.888889	257.407	226.667	351.111	194.444	-922.222	281.111	-188.889	351.111	0.446118	-187.303
156	32	0.777774	0.162964	261.111	104.074	136.296	129.778	146.333	132.778	-195.556	301.111	-105.556	146.333	0.113055	-228.076
14	135	0.277778	0.062963	0.277778	0.062963	288.889	166.667	6	1	-366.667	933.333	-566.667	6	0.832275	-195.855
142	183	1	0.869228	155.556	148.574	431.852	402.222	52	373.333	-888.889	264.444	-175.556	52	0.28154	-188.773
191	47	0.444445	0.385188	111.111	0.38519	135.741	129	146.333	131.889	-202.222	317.778	-115.556	146.333	0.118399	-226.255
113	128	0.222222	0.074074	0.388889	0.151852	0.740741	0	222.222	0	-222.222	444.444	-222.222	222.222	1	-20.944
228	114	0.388889	0.062963	0.833333	0.122222	588.889	7	744.444	322.222	333.333	466.667	-8	744.444	0.56746	-115.184
14	60	0.555555	0.785184	105.556	0.062963	193.333	188.889	247.778	143.333	-133.333	163.333	-15	247.778	0.419248	-162.339
241	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0
199	97	272.222	125.462	0.5	0.182574	478.148	46	541.111	433.333	-544.444	188.889	-134.444	541.111	0.199351	-183.678
228	90	183.333	220.857	222.222	246.456	168.519	128.889	244.444	132.222	-118.889	227.778	-108.889	244.444	0.475549	-212.273
151	187	122.222	0.740741	205.556	104.074	116.296	933.333	966.667	158.889	-688.889	-588.889	127.778	158.889	0.428363	215.664
237	83	0.722222	0.418518	583.333	209.222	988.889	6	17	666.667	-116.667	213.333	-966.667	17	0.676581	-215.026
8	226	288.889	198.513	111.111	0.45542	18	14	157.778	242.222	-12	-666.667	186.667	242.222	0.424404	227.303
37	120	0.833333	0.344444	105.556	0.462963	192.593	0.222222	444.444	111.111	-511.111	755.556	-244.444	444.444	0.962963	-229.808
45	108	25.5	127.954	272.778	15.931	498.148	417.778	611.111	465.556	-241.111	338.889	-977.778	611.111	0.358975	-236.049
23	219	1.5	100.554	172.222	0.928957	133.704	108.889	12	172.222	-744.444	-411.111	115.556	172.222	0.371914	225.533
44	157	0.833334	0.3	294.444	761.852	242.963	192.222	242.222	294.444	-152.222	-0.222222	154.444	294.444	0.350043	26.043
61	92	127.778	106.284	0.555555	0.620633	172.593	128.889	257.778	131.111	-131.111	255.556	-124.444	257.778	0.499695	-211.184
102	179	183.333	153.116	244.444	188.168	491.852	448.889	597.778	428.889	-128.889	317.778	-188.889	597.778	0.282687	-19.704
221	107	116.667	0.211111	0.833333	0.344444	222.222	0.333333	533.333	1	-566.667	933.333	-366.667	533.333	0.94709	-222.635
168	187	3.5	216.795	283.333	160.208	58	525.556	714.444	50	-163.333	403.333	-24	714.444	0.29965	-196.667
42	56	105.556	0.951851	133.333	1.6	227.407	211.111	302.222	168.889	-488.889	224.444	-175.556	302.222	0.440708	-175.941
98	133	0.555555	0.172133	0.388889	0.327731	0.962963	0	277.778	0.111111	-288.889	544.444	-255.556	277.778	1	-212.325
196	95	172.222	112.382	133.333	126.491	762.963	677.778	107.778	533.333	-255.556	944.444	-688.889	107.778	0.512566	-174.926
226	141	0.5	0.433333	0.777778	0.385185	540.741	7	622.222	3	477.778	244.444	-722.222	7	0.574074	-0.843732
71	113	0.722222	0.240741	0.722222	0.151852	548.148	711.111	633.333	3	488.889	255.556	-744.444	711.111	0.580026	-0.851202
144	169	111.111	0.779364	138.889	0.742867	171.111	134.444	18	198.889	-11	266.667	833.333	198.889	0.324965	283.482
16	51	0.722223	0.443054	0.833335	0.722649	122.963	110.667	140.778	117.444	-368.889	534.444	-165.556	140.778	0.213813	-233.046
124	29	1	0.711108	105.555	0.907417	128.444	119.222	142.889	123.222	-276.667	433.333	-156.667	142.889	0.165616	-227.113
158	151	0.388889	0.389682	444.444	404.237	19	152.222	183.333	234.444	-113.333	-2	133.333	234.444	0.352606	250.525
189	107	266.667	0.699206	0.833333	0.72265	277.778	234.444	351.111	247.778	-13	22	-9	351.111	0.332407	-22.015
239	122	0.277778	0.062963	0.333333	0.177778	555.556	7	666.667	3	433.333	333.333	-766.667	722.222	0.581349	-0.953435
104	103	0.944445	0.534027	0.666667	0.596285	588.889	522.222	726.667	517.778	-20	413.333	-213.333	726.667	0.287394	-207.113
138	188	205.556	135.674	111.111	0.750309	603.333	535.556	748.889	525.556	-203.333	436.667	-233.333	748.889	0.299511	-204.721
33	131	0.444444	0.807373	1	109.545	0.740741	0.222222	177.778	0.222222	-155.556	311.111	-155.556	177.778	0.407407	-20.944
233	105	627.778	231.341	0.944445	0.742867	151.852	126.667	197.778	131.111	-755.556	137.778	-622.222	197.778	0.353768	-216.157
143	20	111.112	0.75031	127.778	0.928959	127.333	116.778	142.667	122.556	-316.667	46	-143.333	142.667	0.181475	-232.692
28	188	144.444	14.963	511.111	190.074	29.963	268.889	364.444	265.556	-922.222	194.444	-102.222	364.444	0.275863	-208.357
210	73	133.333	0.966091	1	0.816495	422.593	405.556	473.333	388.889	-511.111	152.222	-101.111	473.333	0.178226	-189.349
5	118	0.222222	0.074074	0.333333	0.088889	0.925926	0	255.556	0.222222	-277.778	488.889	-211.111	255.556	1	-217.128
228	22	111.111	0.860663	138.889	0.975629	496.667	427.778	628.889	433.333	-206.667	396.667	-19	628.889	0.319474	-212.354
166	154	0.111111	0.02963	0.444444	0.074074	0.703704	0.222222	188.889	0	-144.444	355.556	-211.111	188.889	1	-201.751
38	200	344.444	212.568	344.445	120.493	55.963	49	702.222	486.667	-208.889	427.778	-218.889	702.222	0.309826	-208.021
104	139	0.333333	0.516398	0.333333	0.516398	0.666667	0	177.778	0.222222	-2	333.333	-133.333	177.778	1	-215.073
18	142	0.777778	0.651852	0.277778	0.151852	0.555556	0.111111	133.333	0.222222	-133.333	233.333	-1	133.333	0.416667	-215.956
245	18	1	102.222	116.667	0.211111	137.889	131.444	147.889	134.333	-193.333	30	-106.667	147.889	0.111218	-227.511
204	194	261.111	192.546	511.111	341.673	41.037	37	497.778	363.333	-121.111	262.222	-141.111	497.778	0.275415	-20.452
29	81	261.111	375.185	272.222	375.185	204.815	201.111	261.111	152.222	-111.111	168.889	-157.778	261.111	0.412662	-156.634
80	116	1.5	163.333	155.556	0.874074	217.037	212.222	275.556	163.333	-144.444	175.556	-161.111	275.556	0.407364	-163.224
112	120	133.333	103.279	222.222	170.837	215.556	175.556	286.667	184.444	-12	213.333	-933.333	286.667	0.38675	-217.742
244	194	172.222	114.342	227.778	203.761	497.407	444.444	616.667	431.111	-158.889	357.778	-198.889	616.667	0.300853	-202.184
101	72	2.5	474.444	177.778	629.629	264.815	235.556	357.778	201.111	-877.778	278.889	-191.111	357.778	0.436895	-184.616
188	73	105.556	0.928958	227.778	199.351	401.852	356.667	497.778	351.111	-135.556	287.778	-152.222	497.778	0.297096	-205.496
86	33	116.667	0.611111	0.611109	0.196295	109.889	967.778	130.556	102.333	-393.333	62	-226.667	130.556	0.258604	-226.623
184	44	0.500001	0.122222	1	0.755557	99	85	121.444	905.556	-42	673.333	-253.333	121.444	0.300019	-225.454
207	217	0.777778	0.474074	205.556	0.907408	62.963	5	422.222	966.667	-388.889	-622.222	101.111	966.667	0.582612	197.614
27	106	0.611111	0.418518	127.778	0.596296	218.519	0.333333	488.889	133.333	-555.556	811.111	-255.556	488.889	0.95172	-227.407
138	49	105.556	0.92896	177.778	106.805	124.037	113.111	140.444	118.556	-327.778	492.222	-164.444	140.444	0.194622	-230.341
74	129	0.222222	0.02963	0.111111	0.02963	0.518518	0	155.556	0	-155.556	311.111	-155.556	155.556	1	-20.944
4	188	155.556	0.688531	233.333	0.760116	157.407	133.333	14	198.889	-722.222	-522.222	124.444	198.889	0.342408	220.467
170	139	105.556	0.507408	0.722222	0.285185	418.518	188.889	855.556	211.111	-688.889	131.111	-622.222	855.556	0.786175	-212.759
37	61	0.611111	0.490653	0.555556	0.272164	109.074	951.111	128.333	103.778	-418.889	577.778	-158.889	128.333	0.258869	-23.674
92	44	0.722223	0.574135	116.667	104.881	123.815	113.444	138.111	119.889	-311.111	428.889	-117.778	138.111	0.178428	-236.728
143	186	233.333	2.319	277.778	252.689	54.963	491.111	678.889	478.889	-175.556	387.778	-212.222	678.889	0.296251	-202.862
45	149	2.5	332.222	0.666666	0.266666	168.148	134.444	237.778	132.222	-101.111	208.889	-107.778	237.778	0.453341	-206.925
170	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	45	0.888891	0.455421	111.111	0.455419	122.852	110.556	140	118	-368.889	514.444	-145.556	140	0.210174	-235.936
114	193	316.667	246.532	4.5	250.111	578.148	511.111	725.556	497.778	-201.111	442.222	-241.111	725.556	0.314092	-20.338
69	85	311.111	820.741	394.444	944.074	214.444	204.444	281.111	157.778	-3	20	-17	281.111	0.437404	-165.988
104	124	0.611111	0.151852	0.666667	0.311111	618.518	766.667	733.333	355.556	444.444	344.444	-788.889	788.889	0.550044	-0.95784
75	98	394.444	458.407	466.667	392.889	551.852	233.333	104.444	377.778	-955.556	147.778	-522.222	104.444	0.872146	-227.297
116	125	283.333	0.722649	205.555	0.574133	609.259	525.556	764.444	537.778	-251.111	465.556	-214.444	764.444	0.317206	-214.505
63	201	144.444	0.918519	0.944444	0.551852	777.778	622.222	555.556	115.556	-466.667	-666.667	113.333	115.556	0.543201	198.299
57	118	283.333	5.5	122.222	0.874073	194.074	155.556	265.556	161.111	-115.556	214.444	-988.889	265.556	0.418712	-214.718
167	189	377.778	223.772	377.778	154.441	584.074	513.333	724.444	514.444	-212.222	421.111	-208.889	724.444	0.295523	-210.133
67	61	105.556	0.507407	0.833333	0.388889	237.407	226.667	306.667	178.889	-322.222	207.778	-175.556	306.667	0.415751	-170.091
235	81	138.889	0.418518	0.777778	0.296296	348.148	1	744.444	2	-744.444	118.889	-444.444	744.444	0.881217	-224.813
33	114	0.555555	0.074074	0.5	0.211111	161.111	117.778	241.111	124.444	-13	24	-11	241.111	0.510924	-214.907
140	116	177.778	122.323	0.555555	0.501848	468.148	423.333	565.556	415.556	-134.444	292.222	-157.778	565.556	0.264563	-203.862
75	65	2.5	111.056	155.556	0.93492	577.407	504.444	726.667	501.111	-218.889	447.778	-228.889	726.667	0.314783	-207.765
39	111	0.722222	0.374074	0.888889	0.429629	603.704	7	766.667	344.444	288.889	488.889	-777.778	788.889	0.562919	-117.577
214	236	0.5	0.255556	377.778	136.296	165.926	128.889	146.667	222.222	-111.111	-577.778	168.889	222.222	0.419597	230.668
15	189	1.5	0.922221	2	288.889	321.111	283.333	403.333	276.667	-113.333	246.667	-133.333	403.333	0.315363	-203.798
58	232	2.5	145.555	255.556	0.829629	147.037	112.222	135.556	193.333	-104.444	-344.444	138.889	193.333	0.423483	240.285
121	107	155.556	0.874075	131.667	55.889	54	494.444	644.444	481.111	-136.667	313.333	-176.667	644.444	0.252669	-200.361
123	94	0.500001	0.077778	0.833333	0.033333	214.444	168.889	304.444	17	-136.667	27	-133.333	304.444	0.452182	-210.097
26	67	1	0.88889	244.444	318.518	20	195.556	258.889	145.556	-133.333	176.667	-163.333	258.889	0.436939	-16.232
130	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	98	0.611111	0.611616	133.333	0.918937	203.704	0.555556	355.556	2	-444.444	455.556	-0.111111	355.556	0.883333	-25.489
28	204	2	176.383	322.222	208.344	558.889	497.778	692.222	486.667	-183.333	40	-216.667	692.222	0.29685	-203.737
173	90	0.666667	0.266666	0.833333	0.344444	235.185	173.333	344.444	187.778	-185.556	327.778	-142.222	344.444	0.496719	-218.244
24	172	116.667	0.91287	977.778	545.554	42.037	38	503.333	377.778	-121.111	248.889	-127.778	503.333	0.249836	-214.372
23	129	0.5	0.077778	0.388889	0.151852	0.518518	0	155.556	0	-155.556	311.111	-155.556	155.556	0.777778	-20.944
48	139	244.444	168.215	183.333	104.881	482.222	425.556	604.444	416.667	-17	366.667	-196.667	604.444	0.310818	-204.424
68	122	277.778	202.941	155.556	199.629	201.481	142.222	311.111	151.111	-177.778	328.889	-151.111	311.111	0.54583	-206.017
130	32	111.111	104.704	0.833334	0.836659	594.815	542.222	708.889	533.333	-157.778	342.222	-184.444	708.889	0.249001	-204.242
55	209	183.333	129.529	138.889	0.998146	125.185	103.333	103.333	168.889	-655.556	-655.556	131.111	168.889	0.407904	209.922
79	28	427.778	37.619	0.833333	0.658281	624.074	534.444	791.111	546.667	-268.889	501.111	-232.222	791.111	0.324556	-214.451
18	90	105.556	0.374074	0.666667	0.222222	281.481	0.555556	688.889	1	-677.778	122.222	-544.444	688.889	0.926146	-216.432
187	180	405.556	298.453	333.333	319.722	620.741	548.889	775.556	537.778	-215.556	464.444	-248.889	775.556	0.306906	-204.418
38	146	0.5	0.122222	0.666667	0.266667	511.111	566.667	677.778	288.889	166.667	5	-666.667	688.889	0.571429	-125.836
147	51	116.667	1.1	1.5	194.444	126.333	117	140.222	121.778	-28	416.667	-136.667	140.222	0.165549	-230.669
235	22	116.667	0.388882	1	0.488884	137.63	132.111	147.889	132.889	-165.556	307.778	-142.222	147.889	0.109655	-21.462
205	190	127.778	0.998145	161.111	112.382	494.815	447.778	606.667	43	-141.111	335.556	-194.444	606.667	0.290788	-19.876
85	200	4.5	432.435	605.556	432.777	585.926	522.222	726.667	508.889	-191.111	422.222	-231.111	726.667	0.300181	-202.885
2	89	122.222	176.296	255.556	34.963	18.963	187.778	238.889	142.222	-0.555556	147.778	-142.222	238.889	0.402507	-154.421
151	163	205.556	228.519	181.667	419.889	40	345.556	48	374.444	-163.333	24	-766.667	481.111	0.263846	-251.749
254	159	355.556	754.074	148.333	152.7	366.296	313.333	462.222	323.333	-158.889	287.778	-128.889	462.222	0.294845	-231.687
33	104	155.556	0.962963	305.556	504.074	201.852	202.222	248.889	154.444	0.111111	141.111	-142.222	248.889	0.380367	-155.538
214	161	372.222	0.729634	11.5	189.222	404.444	353.333	496.667	363.333	-153.333	276.667	-123.333	496.667	0.298056	-219.894
245	140	0.166667	0.278887	0.611111	0.742867	0.407407	0.222222	0.777778	0.222222	-0.555556	111.111	-0.555556	0.777778	0.240741	-20.944
249	207	272.222	0.928957	0.888889	0.272165	121.481	955.556	103.333	165.556	-777.778	-544.444	132.222	165.556	0.432389	221.726
191	165	0.333333	0.177778	244.444	114.074	142.963	12	141.111	167.778	-688.889	-0.555556	744.444	175.556	0.318129	259.354
187	36	0.388889	0.250924	0.5	0.278887	751.852	477.778	13	477.778	-822.222	164.444	-822.222	13	0.648657	-209.729
198	183	105.555	118.165	338.889	159.745	54.037	488.889	665.556	466.667	-154.444	375.556	-221.111	665.556	0.298622	-197.496
136	92	805.555	447.741	1	0.177777	154.074	116.667	226.667	118.889	-112.222	217.778	-105.556	226.667	0.53355	-211.327
1	189	138.889	0.462963	123.889	845.963	235.926	211.111	293.333	203.333	-744.444	172.222	-977.778	293.333	0.233097	-201.975
122	11	1	0.311116	288.889	505.185	143.444	136.889	150.889	142.556	-196.667	223.333	-266.667	150.889	0.092773	-252.165
34	169	0.833333	0.505525	161.111	0.879815	128.148	106.667	977.778	18	-644.444	-911.111	155.556	18	0.463569	199.318
8	162	161.111	206.296	0.333333	0.133333	837.037	666.667	12	644.444	-511.111	108.889	-577.778	12	0.484805	-204.495
201	92	0.833335	0.211111	0.77778	0.296297	903.333	748.889	115.444	806.667	-463.333	753.333	-29	115.444	0.35122	-22.428
169	136	0.277778	0.062963	0.833333	0.211111	207.407	0.666667	488.889	0.666667	-422.222	844.444	-422.222	488.889	0.877513	-20.944
174	50	1	0.760115	0.944445	0.952579	107.444	946.667	125.778	101.889	-383.333	55	-166.667	125.778	0.247337	-23.373
70	71	211.111	180.741	283.333	207.778	227.778	218.889	296.667	167.778	-266.667	206.667	-18	296.667	0.43357	-166.796
118	167	0.888889	0.518518	205.556	0.996296	145.926	128.889	137.778	171.111	-511.111	-244.444	755.556	171.111	0.248449	230.573
116	245	138.889	0.551851	222.222	394.074	142.222	111.111	131.111	184.444	-933.333	-333.333	126.667	184.444	0.389695	239.543
199	120	3.5	407.778	833.333	539.556	393.333	354.444	477.778	347.778	-116.667	253.333	-136.667	477.778	0.272752	-204.675
121	62	0.555556	0.207408	111.111	0.562963	125.407	116.333	138.778	121.111	-272.222	401.111	-128.889	138.778	0.161658	-231.596
234	58	116.667	0.388888	1	0.533334	931.482	773.333	118.778	833.333	-474.444	768.889	-294.444	118.778	0.348863	-224.632
21	123	0.888888	0.385186	1	0.355555	192.963	156.667	263.333	158.889	-108.889	211.111	-102.222	263.333	0.408913	-211.573
93	29	122.222	122.964	138.889	157.408	128.481	119	142.778	123.667	-284.444	428.889	-144.444	142.778	0.166484	-229.776
86	136	388.889	419.347	211.111	239.134	121.852	666.667	208.889	9	-165.556	261.111	-955.556	208.889	0.695755	-226.899
204	12	0.777777	0.518519	177.778	0.785183	127.444	115.556	143.111	123.667	-356.667	47	-113.333	143.111	0.19252	-240.292
151	163	205.556	228.519	181.667	419.889	40	345.556	48	374.444	-163.333	24	-766.667	481.111	0.263846	-251.749
250	87	0.722222	0.240741	0.611111	0.374074	111.481	666.667	195.556	722.222	-134.444	252.222	-117.778	195.556	0.659329	-213.862
252	27	127.778	0.596293	0.999997	0.577774	136.296	130.333	145.556	133	-178.889	277.778	-988.889	145.556	0.10447	-226.413
170	88	0.722222	0.389681	0.833333	0.459468	223.333	182.222	293.333	194.444	-123.333	21	-866.667	293.333	0.378615	-220.829
111	246	316.667	209.497	583.333	411.366	258.889	211.111	224.444	341.111	-143.333	-103.333	246.667	341.111	0.388973	221.401
212	48	0.555555	0.251852	0.555555	0.074074	122.37	112.222	138.111	116.778	-304.444	472.222	-167.778	138.111	0.187362	-22.786
137	163	144.444	0.785186	188.889	554.076	392.963	337.778	475.556	365.556	-165.556	247.778	-822.222	475.556	0.284813	-239.521
223	141	211.111	180.741	0.777778	0.162963	985.185	6	165.556	7	-115.556	201.111	-855.556	165.556	0.640224	-219.166
73	31	0.555556	0.45542	0.888889	0.344265	126.852	115.556	143.111	121.889	-338.889	487.778	-148.889	143.111	0.192456	-233.483
75	131	0.222222	0.02963	0.333333	0.044444	0.518518	0	155.556	0	-155.556	311.111	-155.556	155.556	1	-20.944
173	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0
176	132	0.5	0.122222	0.944444	0.32963	574.074	744.444	622.222	355.556	511.111	144.444	-655.556	755.556	0.529982	-0.726018
174	96	222.222	0.68853	0.944444	0.879816	551.481	541.111	61	503.333	-311.111	175.556	-144.444	61	0.174579	-172.047
153	192	338.889	178.159	744.444	413.477	534.444	473.333	65	48	-183.333	346.667	-163.333	65	0.272721	-21.642
231	91	0.5	0.278887	0.555555	0.172133	6	455.556	977.778	366.667	-433.333	113.333	-7	977.778	0.620651	-193.491
158	186	0.888889	0.340741	1.5	181.111	120.741	933.333	107.778	161.111	-822.222	-388.889	121.111	161.111	0.428864	231.952
79	104	0.944445	0.374074	1.5	101.111	652.963	597.778	78	581.111	-165.556	381.111	-215.556	78	0.254697	-200.783
184	197	305.556	32.552	455.556	274.604	11.963	888.889	955.556	174.444	-922.222	-722.222	164.444	174.444	0.515187	216.426
225	90	0.388889	0.250924	0.555556	0.45542	659.259	466.667	112.222	388.889	-577.778	138.889	-811.111	112.222	0.651153	-198.747
131	125	0.611111	0.374074	0.5	0.3	137.037	0	388.889	0.222222	-411.111	755.556	-344.444	388.889	1	-213.034
25	116	0.944445	0.151852	477.778	30.963	161.852	17	20	115.556	244.444	114.444	-138.889	212.222	0.447187	-116.284
170	121	216.667	183.485	272.222	192.546	323.704	286.667	405.556	278.889	-111.111	245.556	-134.444	405.556	0.313427	-202.427
140	161	0.277778	0.327731	0.777778	0.620633	157.407	124.444	143.333	204.444	-988.889	-422.222	141.111	204.444	0.390957	234.513
59	87	111.667	848.778	132.222	700.296	171.111	122.222	234.444	156.667	-146.667	19	-433.333	234.444	0.652043	-241.807
209	249	244.444	362.963	277.778	420.741	105.185	755.556	811.111	158.889	-888.889	-722.222	161.111	158.889	0.533307	215.678
97	176	0.777778	0.655461	238.889	130.668	221.852	19	197.778	277.778	-955.556	-722.222	167.778	277.778	0.316041	217.984
80	95	122.222	100.741	0.944444	0.551851	214.074	213.333	266.667	162.222	-0.222222	157.778	-155.556	266.667	0.390436	-156.733
59	99	0.777778	0.82963	1	0.355556	203.704	0.111111	555.556	0.444444	-577.778	105.556	-477.778	555.556	0.986111	-214.974
7	90	127.778	0.854184	244.444	201.843	466.667	255.556	577.778	566.667	-633.333	333.333	3	622.222	0.665344	-304.418
140	19	105.555	0.551851	188.889	198.518	110.296	976.667	130.222	103	-378.889	597.778	-218.889	130.222	0.249895	-226.433
209	249	244.444	238.519	288.889	380.741	855.556	8	755.556	101.111	-166.667	-3	466.667	101.111	0.309022	191.742
104	112	0.611111	0.250924	105.556	0.712325	591.481	522.222	733.333	518.889	-207.778	425.556	-217.778	733.333	0.293681	-207.846
98	104	222.222	362.963	1.5	132.222	187.037	192.222	232.222	136.667	155.556	135.556	-151.111	232.222	0.410009	-144.664
36	145	0.277778	0.196296	127.778	206.296	0.851852	0.333333	144.444	0.777778	-155.556	177.778	-0.222222	144.444	0.251852	-253.095
20	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0
