@relation 'winequality-red-weka.filters.unsupervised.attribute.Remove-R1,4-9'

@attribute volatile numeric
@attribute citric numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute quality numeric

@data
0.705,0.07,0.58,10.7,5
0.32,0.57,0.79,10.7,5
0.705,0.05,0.95,10.5,6
0.63,0.08,0.54,9.5,6
0.67,0.23,0.48,9.5,5
0.69,0.22,0.48,9.5,5
0.675,0.26,0.53,9.2,4
0.32,0.54,0.82,9.6,5
0.41,0.64,0.66,10.5,5
0.41,0.64,0.66,10.5,5
0.785,0,0.55,10.7,6
0.75,0.12,0.52,10.1,5
0.625,0.2,1.12,9.1,4
0.45,0.2,0.56,9.2,5
0.43,0.7,1.28,9.4,5
0.5,0.47,0.57,9.1,5
0.67,0.26,1.14,9.4,5
0.3,0.48,0.78,10.3,6
0.55,0.15,0.59,10.1,5
0.49,0.28,1.95,9.9,6
0.49,0.26,0.64,9.6,5
0.39,0.44,1.22,9.5,5
0.62,0.08,0.53,9,5
0.52,0.26,0.54,9.5,5
0.49,0.28,1.95,9.9,6
0.49,0.29,1.98,9.8,5
0.49,0.26,0.64,9.6,5
1.02,0.04,0.48,10.5,4
0.6,0.17,0.6,12.9,6
0.775,0,0.56,10.7,5
0.5,0.25,0.63,9.2,5
0.9,0.06,0.56,9.8,5
0.545,0.18,0.59,9,6
0.61,0.3,0.61,10.2,6
0.5,0.3,0.56,10.4,6
0.545,0.18,0.59,9,6
0.575,0.22,0.51,9.2,5
0.49,0.24,0.48,9.4,5
0.575,0.22,0.51,9.2,5
0.41,0.68,1.31,9.3,5
0.63,0.31,0.79,9.3,5
0.33,0.53,0.8,9.6,6
0.785,0.52,0.69,9.3,5
0.56,0.19,0.93,9.5,5
0.62,0.09,0.66,9.8,5
0.6,0.1,0.66,9.8,5
0.31,0.44,0.67,9.7,6
0.56,0.19,0.93,9.5,5
0.4,0.31,0.63,10.5,6
0.54,0.28,0.61,10,6
0.56,0.12,0.5,9.4,6
0.55,0.04,0.6,10.9,6
0.69,0.08,0.54,9.2,6
1.07,0.09,0.57,9,5
0.55,0.04,0.6,10.9,6
0.695,0,0.52,9.2,5
0.71,0,0.53,9.5,5
0.5,0.17,0.48,9.5,5
0.62,0.04,0.7,9.4,5
1.33,0,0.49,10.9,5
1.33,0,0.48,10.9,5
0.59,0.16,0.92,10.5,7
0.38,0.15,0.57,9.4,5
0.745,0.56,0.66,9.4,5
0.5,0.09,0.63,13,5
0.5,0.09,0.63,13,5
0.5,0.01,0.58,9.8,6
1.04,0.05,0.55,9.9,6
0.745,0.11,0.82,9.6,5
0.715,0.15,0.77,9.5,5
0.415,0.36,0.64,9.2,5
0.56,0.19,0.54,9.5,5
0.56,0.19,0.54,9.5,5
0.745,0.11,0.82,9.6,5
0.715,0.15,0.77,9.5,5
0.34,0,0.79,14,6
0.39,0.08,0.58,9.4,5
0.34,0,0.79,14,6
0.67,0.55,0.62,9.4,5
0.68,0.02,0.52,10,5
0.49,0.26,0.8,9.3,5
0.49,0.1,0.58,10.2,6
0.4,0.44,0.61,10.5,6
0.33,0.47,0.53,10.3,6
0.52,1,2,9.4,4
0.6,0.03,0.54,10.1,5
0.6,0.03,0.54,10.1,5
0.43,0.42,0.72,10.5,5
0.43,0.42,0.71,10.5,5
0.43,0.42,0.72,10.5,5
0.43,0.42,0.71,10.5,5
0.68,0,0.5,9.3,5
0.6,0.18,0.57,9.3,6
0.95,0.03,0.56,9.6,5
0.68,0.02,1.08,9.2,4
0.53,0.04,0.56,10,6
0.6,0.26,0.49,9.4,5
0.59,0.26,0.49,9.4,5
0.63,0.48,0.62,9.5,5
0.64,0.1,0.52,10.2,5
0.55,0.03,0.48,9,4
0.63,0.07,0.55,10.4,6
0.705,0.24,1.59,9.5,5
0.885,0.03,0.33,9.1,4
0.42,0.17,0.61,9.2,6
0.42,0.17,0.61,9.2,6
0.62,0.05,0.57,11.5,6
0.38,0.21,0.47,9.5,5
0.5,0.04,0.78,9.5,5
0.38,0.21,0.47,9.5,5
0.52,0.42,0.61,10.5,6
0.805,0,0.56,9.6,5
0.61,0.14,0.59,9.5,5
0.61,0.14,0.59,9.5,5
0.61,0.49,1.02,9.3,5
0.73,0.02,0.52,9.3,5
0.61,0.2,0.58,9.3,5
0.62,0.21,0.58,9.3,6
0.31,0.57,0.53,9.7,5
0.39,0.48,0.55,9.2,5
0.705,0.1,0.49,9.7,5
0.5,0.33,0.55,9.5,5
0.49,0.32,0.55,9.5,5
0.5,0.35,0.62,9.4,5
0.37,0.25,0.62,9.8,6
0.63,0.12,0.61,9.5,5
0.55,0.21,0.55,9.7,5
0.55,0.21,0.55,9.7,5
0.59,0.33,0.54,9.4,5
0.58,0.3,0.59,10.2,5
0.3,0.6,0.97,10.1,6
0.835,0.08,0.85,13,7
1.09,0.06,0.43,11.4,4
0.32,0.47,0.82,10.3,7
0.37,0.48,1.03,9.3,5
0.5,0.11,0.79,9.5,5
0.42,0.35,0.55,9.2,5
0.43,0.36,0.56,9.2,6
0.3,0.74,0.77,10.8,7
0.3,0.74,0.77,10.8,7
0.57,0.31,0.53,9.3,5
0.44,0.28,0.67,9.4,5
0.3,0.58,0.88,10.5,7
0.53,0.6,0.86,12.4,6
0.725,0.24,0.56,10,6
0.44,0.64,0.67,10.2,6
0.57,0.26,0.43,10.1,5
0.735,0.08,0.71,9.8,6
0.49,0.49,0.76,10.5,5
0.625,0.16,0.57,11,5
0.725,0.22,0.55,9.1,5
0.49,0.19,0.54,9.7,5
0.53,0.33,0.6,9.5,5
0.34,0.37,0.59,9.4,6
0.53,0.26,0.57,9.4,5
0.61,0.04,0.6,9.5,5
0.645,0.25,0.6,10,6
0.635,0.36,0.57,10.4,4
0.43,0.25,0.58,10.5,6
0.59,0.5,1.61,9.5,6
0.82,0.14,0.63,9.8,5
0.43,0.25,0.58,10.5,6
0.52,0.25,0.5,11,5
0.48,0.04,0.62,12.2,7
0.38,0.06,0.52,9.9,6
0.37,0.2,0.7,9.6,6
0.52,0.25,0.5,11,5
1,0.09,0.55,9,6
0.63,0,0.58,9,6
0.63,0,0.58,9,6
0.645,0,0.58,9.2,6
0.63,0,0.58,9,6
1,0.09,0.55,9,6
0.635,0.37,1.09,9.3,5
0.38,0.56,0.71,10.9,6
0.58,0.1,0.49,9.8,6
0.21,0.44,0.84,9.2,7
0.21,0.44,0.84,9.2,7
0.66,0,0.96,9.9,6
0.68,0.07,0.52,9.5,5
0.6,0.17,0.45,9.3,5
0.53,0.06,0.48,9.8,6
0.66,0,0.96,9.9,6
0.32,0.44,0.78,10,6
0.6,0,0.7,9.9,6
0.35,0.48,0.53,10.5,5
0.775,0.42,0.59,9.5,5
0.6,0,0.7,9.9,6
0.57,0.23,0.57,9.3,5
0.34,0.37,0.62,9.2,5
0.695,0,0.67,9.2,5
0.41,0.76,1.26,9.4,5
0.31,0.47,0.8,10.5,7
0.33,0.23,0.65,9.3,5
0.975,0.04,0.6,9.4,4
0.52,0.03,0.57,10,5
0.37,0.23,0.67,9.3,5
0.56,0.49,0.87,10.9,5
0.26,0.52,0.72,10.2,7
0.87,0,0.72,9.8,4
0.35,0.46,0.86,12.8,8
0.54,0.04,0.91,9.4,6
0.18,0.51,0.97,10.1,6
0.545,0.06,0.67,10.7,6
0.18,0.51,0.97,10.1,6
0.37,0.58,0.78,10.1,5
0.715,0.2,0.64,9.4,5
0.65,0.18,0.77,9.4,5
0.545,0.06,0.67,10.7,6
0.54,0.04,0.91,9.4,6
0.18,0.51,0.97,10.1,6
0.32,0.45,0.82,12.6,8
0.4,0.32,0.77,10.5,7
0.26,0.44,0.82,9.3,6
0.27,0.68,1.08,9.9,7
0.52,0.12,0.57,9.1,5
0.4,0.32,0.77,10.5,7
0.59,0.07,0.71,9.8,5
0.59,0.07,0.71,9.8,5
0.45,0.55,0.76,10.3,6
0.4,0.12,0.7,10.3,6
0.52,0.09,0.86,10.6,7
0.42,0.53,0.95,9.2,5
0.52,0.09,0.86,10.6,7
0.2,0.48,0.71,10.5,5
0.55,0.23,0.64,10.3,6
0.36,0.25,0.6,10.1,6
0.34,0.52,0.81,9.5,6
0.5,0.46,0.64,9.5,5
0.83,0.37,0.52,9.9,5
0.63,0.06,0.73,9.6,5
0.65,0.02,0.8,9.7,5
0.67,0.06,0.71,9.6,5
0.53,0.06,0.59,10.7,6
0.18,0.48,0.64,10.1,6
0.705,0.12,0.72,10,5
0.67,0.12,0.54,9.5,5
0.65,0.6,0.52,9.2,5
0.53,0.48,0.59,9.3,6
0.62,0.32,0.52,9.4,5
0.41,0.42,0.62,9.5,6
0.43,0.44,0.63,9.5,6
0.29,0.38,0.53,9.5,6
0.53,0.48,0.59,9.3,6
0.53,0.24,0.54,9.4,6
0.46,0.31,0.63,9.5,6
0.47,0.3,0.53,9.4,5
0.36,0.29,0.68,11,5
0.35,0.29,0.65,11,6
0.56,0.23,0.65,10.1,5
0.77,0.12,0.64,10.4,6
0.66,0.39,0.71,11.5,7
0.77,0.12,0.64,10.4,6
0.66,0.39,0.71,11.5,7
0.61,0.26,0.62,9.7,5
0.62,0.05,0.63,9.3,5
0.59,0.42,0.7,9.5,6
0.49,0.2,0.69,9.2,6
0.49,0.2,0.69,9.2,6
0.53,0.66,0.74,11.5,7
0.44,0.5,0.83,11.5,5
0.27,0.62,0.67,9.7,6
0.46,0.39,0.62,9.5,5
0.36,0.64,0.66,12.5,6
0.36,0.64,0.66,12.5,6
0.58,0.28,0.54,9.4,6
0.56,0.08,0.52,11,5
0.65,0.01,0.74,11.7,7
0.695,0.53,0.84,12.2,7
0.43,0.45,0.7,12.5,6
0.43,0.32,0.64,10.3,5
0.49,0.58,1,11.5,6
0.28,0.54,1.36,9.8,7
0.34,0.5,1.18,9.2,6
0.42,0.48,0.87,11.3,6
0.39,0.47,0.75,9.8,6
0.39,0.47,0.75,9.8,6
0.57,0.5,0.78,10.7,6
0.685,0,0.81,9.9,5
0.815,0.02,0.89,12.3,7
0.49,0.67,0.93,12,6
0.56,0.31,0.92,10,6
0.785,0,0.86,9.4,6
0.67,0.22,0.98,9.9,6
0.795,0,0.83,9.4,6
0.665,0,0.73,9.3,5
0.53,0.79,0.77,13,5
0.21,0.4,0.59,11.9,6
0.75,0.01,0.61,12.8,6
0.41,0.52,0.88,11,5
0.42,0.66,0.75,11.7,7
0.43,0.66,0.85,10.4,7
0.38,0.66,0.68,9.8,6
0.7,0.23,0.7,9.4,5
0.45,0.31,0.91,9.9,6
0.58,0.66,0.56,10,5
0.46,0.63,0.87,10.2,5
0.615,0.66,0.73,10,7
0.42,0.5,0.93,11.8,6
0.615,0.66,0.73,10,7
0.575,0.61,0.69,9,5
0.34,0.52,0.64,9.4,5
0.27,0.53,1.13,12,7
0.765,0.02,0.78,9.9,5
0.24,0.4,0.87,8.7,6
0.28,0.48,1.04,10.6,6
0.55,0.22,0.63,9.2,5
0.41,0.63,0.81,10.8,6
0.54,0.71,0.83,11.8,7
0.45,0.5,1.11,11,6
0.27,0.53,1.13,12,7
0.625,0.66,0.99,13.3,6
0.42,0.38,0.7,10.8,6
0.26,0.42,0.8,9.4,6
0.415,0.68,0.8,10,6
0.26,0.42,0.8,9.4,6
0.26,0.42,0.8,9.4,6
0.51,0.28,0.74,9.2,5
0.63,0.07,0.76,9.7,6
0.54,0.26,0.74,9.2,6
0.66,0.15,0.54,9.6,6
0.46,0.26,0.74,9.2,6
0.38,0.31,0.7,10,7
0.85,0.05,0.82,12.9,8
0.415,0.68,0.8,10,6
0.37,0.52,0.51,9.5,5
0.665,0.61,0.54,9.1,5
0.6,0.65,0.57,9.9,5
0.37,0.76,0.6,13,7
0.735,0.02,0.53,9.9,5
0.59,0.59,0.65,11,6
0.59,0.59,0.65,11,6
0.765,0.22,0.55,9.4,5
0.735,0.02,0.53,9.9,5
0.26,0.3,0.47,10.8,6
0.48,0.54,0.61,10.5,6
0.6,0.49,0.63,10.5,6
0.69,0.05,0.61,9.1,5
0.31,0.46,0.76,10.1,6
0.44,0.47,0.65,10.8,6
0.39,0.66,0.63,10.8,7
0.34,0.58,0.7,11.3,6
0.46,0.49,0.57,9.6,4
0.43,0.34,0.62,9.5,6
0.45,0.35,0.62,9.5,5
0.735,0.16,0.64,9.3,5
0.4,0.53,0.82,11.7,7
0.52,0.34,0.61,9.5,5
0.725,0.24,1.07,9.3,5
0.48,0.64,0.66,11.7,6
0.58,0.12,0.48,10.5,5
0.38,0.51,0.76,10.4,6
0.77,0,0.68,9.9,5
0.56,0.33,0.73,11.8,7
0.84,0.03,0.56,12.3,7
0.96,0.2,0.44,10.9,5
0.24,0.47,0.9,11,7
0.96,0.2,0.44,10.9,5
0.84,0.03,0.56,12.3,7
0.67,0.08,0.49,11.4,6
0.78,0.22,0.56,10.6,6
0.52,0.33,0.6,9.3,5
0.84,0.63,0.6,10.4,6
0.24,0.47,0.9,11,7
0.55,0.35,0.56,9.2,5
0.37,0.69,0.65,12.8,6
0.39,0.63,0.49,9.5,5
0.41,0.55,0.89,9.9,6
0.39,0.63,0.49,9.5,5
0.67,0.3,0.56,10.2,6
0.45,0.73,0.66,11.2,6
0.41,0.55,0.89,9.9,6
0.62,0.18,0.6,9.3,5
0.31,0.72,0.82,9.8,8
0.4,0.65,0.68,11.3,6
0.685,0.76,0.68,11.2,7
0.44,0.49,0.63,11.6,7
0.57,0.01,0.84,12.5,7
0.735,0.1,0.56,10.1,6
0.38,0.6,0.73,10.5,5
0.48,0.29,0.72,11.2,5
0.53,0.22,0.56,10.2,6
0.39,0.69,0.61,10.8,6
0.39,0.69,0.61,10.8,6
0.37,0.53,1.06,9.1,6
0.56,0.03,0.63,10,6
0.33,0.63,0.74,11.2,7
0.23,0.4,0.63,11.1,5
0.62,0.67,0.69,13.4,8
0.59,0.39,0.58,10.3,5
0.63,0.21,0.58,9.6,5
0.33,0.63,0.74,11.2,7
0.58,0.66,0.57,9,3
0.43,0.52,0.61,11.3,6
0.615,0.22,0.61,9.3,5
0.26,0.68,0.61,11.8,5
0.66,0.7,0.53,9,5
0.315,0.54,0.7,9.2,6
0.29,0.4,0.91,9.7,5
0.5,0.42,0.72,11.5,6
0.46,0.45,0.79,14,6
0.36,0.69,0.62,9.2,6
0.82,0.02,0.58,9.8,5
0.32,0.65,0.61,10.6,5
0.54,0.42,0.71,11.4,6
0.37,0.55,0.82,10.4,6
0.35,0.55,0.79,10.6,5
0.28,0.51,0.89,9.4,6
0.68,0.24,0.6,10.2,5
0.27,0.41,0.7,9.7,5
0.24,0.49,1.06,11,6
0.68,0.24,0.6,10.2,5
0.685,0.11,0.7,10.1,6
0.28,0.39,0.66,9.2,5
0.3,0.56,0.92,11.7,8
0.36,0.59,1.05,9.4,5
0.36,0.6,1.06,9.4,5
0.44,0.68,0.66,13.4,6
0.67,0.39,0.47,10,5
0.67,0.39,0.47,10,5
0.645,0.36,0.42,10,6
0.32,0.55,0.92,10.8,7
0.39,0.4,0.75,10.2,6
0.775,0.27,0.67,10.6,6
0.41,0.5,0.79,13.3,7
0.4,0.51,0.9,13.4,7
0.69,0.31,0.74,11.6,6
0.39,0.23,0.55,12.1,6
0.35,0.53,0.65,11,8
0.52,0.25,0.65,9,6
0.34,0.32,0.79,11.1,5
0.35,0.53,0.65,11,8
0.69,0.31,0.74,11.6,6
0.52,0.25,0.65,9,6
0.44,0.73,0.85,12,7
0.44,0.73,0.85,12,7
0.26,0.47,1.04,10.9,7
0.24,0.42,1.05,10.8,7
0.49,0.63,0.78,12.5,7
0.24,0.46,1.02,10.8,7
0.67,0.55,0.71,9.5,6
0.59,0.31,0.63,10.2,6
0.29,0.75,0.68,11.4,7
0.42,0.49,0.61,9.5,5
0.59,0.31,0.63,10.2,6
0.4,0.48,0.81,9.7,6
0.51,0.64,0.66,11.8,7
0.51,0.64,0.66,11.8,7
0.655,0.49,1.14,9.3,5
0.6,0.49,0.74,11.9,6
0.61,0.49,0.63,8.4,3
0.21,0.49,0.68,11.7,6
0.365,0.49,0.78,11,5
0.25,0.49,0.9,10,6
0.41,0.49,0.64,9.1,5
0.39,0.49,0.99,9.8,5
0.4,0.49,0.55,9.4,5
0.43,0.49,0.64,9.5,5
0.64,0.24,0.67,9.9,5
0.365,0.49,0.78,11,5
0.38,0.49,0.77,11.4,6
0.42,0.49,0.75,8.7,6
0.63,0.24,0.57,9.4,5
0.22,0.24,0.87,10.3,6
0.38,0.49,0.61,10.3,5
0.38,0.49,0.61,10.3,5
0.27,0.24,0.66,12.8,6
0.48,0.24,0.56,10,6
0.22,0.24,0.87,10.3,6
0.63,0.24,0.57,9.4,5
0.825,0.24,0.77,10.7,6
0.35,0.49,0.66,12,7
0.5,0.74,0.62,11.2,5
0.59,0.24,0.67,9.6,5
0.46,0.49,0.73,11,6
0.715,0.24,0.59,9.9,5
0.66,0.24,0.72,11,6
0.31,0.74,0.79,8.4,6
0.47,0.49,0.59,9.1,5
0.55,0.24,0.78,9.5,6
0.31,0.49,0.86,10.7,6
0.35,0.49,0.75,10.4,6
0.53,0.49,0.61,9.4,6
0.51,0.01,0.56,9.5,6
0.43,0.24,0.73,10,6
0.46,0.24,0.74,10,6
1.04,0.24,0.62,11.5,5
0.645,0.49,0.74,11.1,5
0.645,0.49,0.74,11.1,5
0.53,0.49,0.56,11.7,6
0.645,0.49,0.74,11.1,5
0.53,0.49,0.56,11.7,6
0.47,0.49,0.68,12.7,6
0.6,0.49,0.57,11.4,5
0.44,0.49,0.58,9.2,5
0.54,0.49,0.61,9.2,5
0.29,0.49,0.61,10.1,6
0.47,0.49,0.68,12.7,6
0.6,0.49,0.57,11.4,5
0.7,0.24,0.6,9,6
0.7,0.24,0.6,9,6
0.5,0.49,0.79,10.7,6
0.36,0.24,0.57,11.7,6
0.35,0.49,0.91,11,6
0.36,0.24,0.57,11.7,6
0.24,0.49,0.61,10.4,5
0.59,0.49,0.56,9.6,4
0.34,0.49,0.7,10,6
0.27,0.49,0.8,10.2,6
0.5,0.24,0.52,10,4
0.44,0.49,0.6,9.5,5
0.47,0.49,0.6,9.8,5
0.31,0.49,0.51,9.8,6
0.5,0.49,0.44,9.6,5
0.5,0.49,0.44,9.6,5
0.49,0.49,0.43,9.2,5
0.28,0.49,0.66,9.9,7
0.33,0.49,0.76,10.7,7
0.51,0.24,0.66,9.6,6
0.31,0.49,1.02,10.6,7
0.73,0.24,0.59,9.3,5
0.42,0.24,0.74,14,8
0.29,0.49,0.74,10.5,7
0.45,0.49,0.57,9.7,5
0.39,0.49,0.5,11.5,6
0.45,0.49,0.57,9.7,5
0.49,0.58,0.58,9,5
0.72,0.17,0.53,9.5,5
0.595,0.41,0.57,9.3,5
0.4,0.51,0.6,9.3,6
0.58,0.58,0.63,10,6
0.585,0.18,0.48,9.8,6
0.59,0.45,0.7,9.3,6
0.915,0.27,0.47,10,4
0.46,0.52,0.56,9,6
0.835,0,0.52,9.3,5
0.46,0.52,0.56,9,6
0.58,0.13,0.62,9.1,6
0.6,0.13,0.59,9.2,6
0.41,0.48,0.79,12.2,7
0.48,0.41,0.53,10.5,6
0.65,0.37,0.64,10.4,6
0.36,0.19,0.52,12.7,6
0.24,0.54,0.54,9.2,5
0.38,0.55,0.54,9.4,5
0.64,0,0.6,10,6
0.39,0.38,0.74,9.8,5
0.755,0.18,1.36,10.2,6
0.6,0.5,0.57,9.7,5
0.6,0.5,0.57,9.7,5
0.31,0.51,0.93,9.8,6
0.46,0.5,0.7,10.2,5
0.37,0.41,0.8,9.3,5
0.54,0.24,0.61,9.4,5
0.56,0.23,0.62,9.4,5
0.58,0.22,0.55,9.5,5
0.51,0.25,0.96,12.1,6
0.69,0,0.72,10.2,5
0.69,0,0.72,10.2,5
0.6,0.29,0.49,9.1,5
0.6,0.29,0.49,9.1,5
0.54,0.26,0.6,9.3,6
0.685,0.23,0.61,9.3,5
0.54,0.26,0.6,9.3,6
0.28,0.54,0.63,9.5,5
0.41,0.14,0.57,10.5,6
0.935,0.22,0.64,11.3,4
0.35,0.21,0.58,9.5,5
0.84,0,0.55,9.7,5
0.88,0.28,0.53,9.4,5
0.885,0.27,0.53,9.4,5
0.915,0.12,0.65,10.2,7
0.29,0.35,1.36,10.3,6
0.54,0.45,0.62,9.4,5
0.59,0.44,0.63,9.5,5
0.54,0.45,0.62,9.4,5
0.59,0.44,0.63,9.5,5
0.54,0.45,0.62,9.4,5
0.64,0.1,0.69,10.1,7
0.67,0.05,0.63,10.1,5
0.845,0.01,0.58,11,4
0.48,0.3,0.67,11.2,7
0.42,0.27,0.57,11.3,6
0.43,0.39,0.5,9.6,5
0.88,0.25,0.67,11.2,5
0.36,0.65,0.84,14.9,5
0.33,0.59,0.54,12,6
0.47,0.47,0.46,9.5,5
0.55,0.17,0.61,9.4,5
0.43,0.39,0.5,9.6,5
0.5,0.59,0.68,10.5,7
0.52,0.07,0.81,9.6,6
0.84,0.02,0.57,11,4
0.52,0.07,0.81,9.6,6
0.42,0.31,0.64,9,5
0.57,0.06,0.7,9.6,6
0.28,0.46,0.79,10.2,6
0.4,0.52,0.66,10.2,5
0.59,0.14,0.56,9.7,5
0.49,0.36,0.6,9.5,6
0.34,0.45,0.66,9.2,6
0.73,0.43,0.57,11,5
0.34,0.45,0.66,9.2,6
0.4,0.24,0.58,10,5
0.73,0.21,0.52,9.5,5
1.24,0.34,0.53,9.5,5
0.73,0.21,0.52,9.5,5
0.4,0.41,0.67,9.3,6
0.41,0.39,0.65,10.2,5
0.4,0.41,0.67,9.3,6
0.8,0.11,0.48,9.9,5
0.78,0.1,0.53,10,5
0.26,0.45,0.54,9.6,5
0.43,0.58,0.49,9,5
0.45,0.23,0.49,10.2,6
0.46,0.31,0.54,9.8,5
0.78,0.23,0.56,11.3,5
0.98,0.32,0.48,9.4,5
0.78,0.23,0.56,11.3,5
0.65,0.18,0.6,9.1,5
0.64,0.23,0.59,9.7,5
0.66,0.04,0.47,9.4,5
0.38,0.48,1.05,9.4,5
1.185,0,0.54,10.7,3
0.92,0.24,0.54,9.8,5
0.49,0.51,1.17,9,5
0.48,0.32,0.62,9.4,5
0.47,0.31,0.61,9.4,5
0.47,0.02,0.62,12.8,6
0.65,0.02,0.67,9.5,6
0.65,0.02,0.67,9.5,6
0.615,0.28,0.53,9.7,5
0.38,0.55,0.62,10.8,6
1.02,0.43,0.57,10.1,6
0.65,0.02,0.67,9.5,6
0.64,0.02,0.67,9.4,6
0.38,0.48,0.7,9.6,4
0.765,0.04,0.54,9.7,4
1.035,0.15,0.49,9.9,5
0.78,0.08,0.47,10,5
0.49,0.19,0.51,10.5,5
0.545,0.12,0.61,11.6,6
0.31,0.47,0.66,10,6
1.025,0.43,0.57,10.1,5
0.565,0.34,0.61,9.5,5
0.69,0,0.45,9.4,5
0.43,0.36,0.46,9.4,5
0.74,0.28,0.51,9.8,5
0.49,0.18,0.48,9.2,6
0.43,0.36,0.46,9.4,5
0.46,0.11,0.57,10,5
0.56,0.04,0.44,9.6,5
0.66,0,0.54,9.5,5
0.56,0.04,0.44,9.6,5
0.48,0.24,0.53,9.2,5
0.42,0.08,0.59,10,5
0.31,0.3,1.62,9.5,5
1.115,0.1,0.6,11.2,4
0.66,0.17,0.55,10.4,5
0.72,0.09,0.72,11.1,6
0.57,0.02,0.68,9.5,5
0.57,0.02,0.68,9.5,5
0.865,0.03,0.49,12.7,6
0.55,0.66,0.67,9.6,5
0.875,0.13,0.52,11.5,5
0.835,0.03,0.47,9.6,5
0.45,0.34,0.6,9.5,5
0.56,0.2,0.62,9.3,5
0.965,0.1,0.5,9.5,5
0.965,0.1,0.5,9.5,5
0.59,0,0.65,9.3,6
0.46,0.23,0.56,9.2,5
0.69,0,0.6,9.3,5
0.76,0.29,0.68,11.5,6
0.53,0.24,0.57,9.5,5
0.615,0,0.65,9.2,5
0.41,0.58,0.53,10,5
0.39,0.54,0.51,9.5,5
0.51,0.18,0.73,9.5,6
0.34,0.38,0.47,9,6
0.33,0.4,0.48,9.4,5
0.5,0.18,0.72,9.6,6
0.51,0.18,0.73,9.5,6
0.65,0.1,0.55,9.5,5
0.65,0.1,0.55,9.5,5
0.54,0.13,0.61,9.4,5
0.65,0.1,0.55,9.5,5
0.48,0.68,1.06,9.1,6
0.91,0.07,0.43,10.7,6
0.98,0.01,0.46,11.2,6
0.87,0,0.5,9.8,5
0.87,0,0.5,9.8,5
0.42,0.21,0.52,9.2,5
0.58,0.25,0.57,9.7,5
0.655,0.26,0.42,9.6,5
0.7,0,0.53,10,6
0.655,0.26,0.42,9.6,5
0.68,0.11,0.55,9.5,6
0.67,0.1,0.54,9.5,6
0.59,0.18,0.54,9.4,5
0.6,0.32,0.62,9.5,5
0.59,0.02,0.53,9.7,6
0.72,0.01,0.54,9.6,5
0.59,0.02,0.53,9.7,6
0.685,0.26,0.55,9.4,5
0.57,0.27,0.55,9.4,5
0.4,0.29,0.92,9.5,6
0.4,0.3,0.91,9.5,6
1,0,0.46,10,5
0.765,0.18,0.6,10.3,6
0.635,0.17,0.59,10.3,6
0.43,0.3,0.61,10.5,5
0.52,0.03,0.6,9.8,5
0.57,0,0.6,9.4,6
0.46,0.14,0.65,9.8,5
0.82,0.05,0.53,10,5
0.46,0.14,0.65,9.8,5
