@relation 'agua-original-with-cat-weka.filters.unsupervised.attribute.Remove-R2-4,6-7,9-12,14,16-17,19-20-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-L1,3'

@attribute TRANS numeric
@attribute DQO numeric
@attribute FeTotal numeric
@attribute NH4 numeric
@attribute PO4 numeric
@attribute CHLOROPHYLL numeric
@attribute CYCLE {filling,full,emptying,dry}

@data
0.6,6.91,2.75,53.18,31.3,3.57,full
1.5,8.32,1.44,19.16,12.36,8.55,full
1.8,4.81,0.28,62,2,5.95,dry
1.8,3.76,0.77,222.59,7.48,5.47,dry
2.2,6.89,0.41,14.02,4.41,2.14,full
1,5.92,0.6,69.95,20.68,18.8,dry
2.2,1.66,0.42,42.88,5.11,7.14,full
0.7,6.99,1.97,36.4,20.68,5,full
1.5,5.74,0.41,36.22,0.59,9.76,dry
1.8,4.96,0.58,299.75,26.62,13.57,dry
2.2,4.81,0.12,10.7,1.63,10.23,dry
2.2,4.81,0.08,6.26,1.28,8.09,dry
1.6,4.39,1.1,23.96,30.01,2.62,full
1.8,5.68,1.81,26.23,1.97,13.33,dry
1.8,4.81,0.27,77.34,2.33,8.57,dry
2.1,5.52,0.24,1.87,12.95,16.66,dry
2,6.61,0.72,29.5,10.05,7.85,dry
1.5,3.28,0.37,44.3,7.15,6.9,dry
2.5,6.89,0.68,8.04,15.56,2.62,full
2.8,3.72,0.45,65.31,1.96,5.47,dry
2.5,8.65,0.27,31.78,3.72,5.47,dry
0.4,4.04,1.03,61.84,25.76,5.24,full
1.6,9.2,1.54,15.7,2.24,7.85,dry
0.6,6.72,0.66,12.91,4.76,6.9,dry
0.7,6.99,1.94,27.52,31.3,3.81,full
1.7,3.67,0.66,7.37,2.32,16.42,dry
2.5,2.28,8.83,9.59,0.59,11.9,dry
0.8,8.65,0.83,281.78,10.7,15.95,dry
2.3,4.81,0.28,10.71,2.58,7.62,dry
2.3,4.81,0.41,14.01,23.53,7.5,dry
0.8,5.88,1.16,17.35,12.71,6.8,full
3,6.77,0.39,24.01,6.82,8.09,full
3,6.77,0.44,18.46,11.32,7.85,full
2.2,1.83,0.67,41.77,4.41,6.66,full
1.4,5.88,1.57,31.47,24.86,8.33,full
2.6,2.42,0.27,35.11,0.59,3.45,dry
0.8,5.88,1.07,22.9,11.67,6.8,full
1.2,5.88,1.31,20.62,33.56,5.24,full
1.2,8.65,0.58,28.45,3.01,4.4,dry
3.3,6.77,1.09,18.97,16.49,3.33,full
0.7,6.99,1.88,29.5,25.18,4.52,full
1,9.7,0.91,149.57,15.85,11.56,dry
2.2,8.8,1.1,32.44,15.85,7.14,full
1,9.21,1.14,142.59,17.46,8.77,dry
1.7,3.67,0.61,10.7,1.28,16.66,dry
1.5,4.39,0.9,21.69,20.78,1.43,full
2,6.89,0.66,12.9,0.18,6.25,dry
1.5,7.28,1.07,58.41,0.59,8.5,dry
0.7,2.45,1.29,12.91,11.32,6.18,full
4,2.4,0.14,9.59,1.28,4.52,dry
3.5,6.89,0.21,11.81,1.63,4.41,dry
1.2,8.65,0.68,59.52,5.09,2.38,dry
0.9,6,1.19,18.05,10.98,4.72,full
2.8,5.17,0.57,40.77,2.72,6.66,dry
1,5.88,0.82,14.02,10.63,8.33,full
3,6.89,0.08,8.48,1.97,2.14,dry
1.1,5.66,1.04,10.69,9.24,6.66,full
3,5.41,1.17,19.57,9.59,5,full
1.7,9.33,1.14,31.47,15.2,8.57,full
2.6,5.2,0.36,32.46,11.98,6.43,dry
3.1,6.89,0.1,5.21,14.94,4.76,dry
2.3,4.81,0.25,5.21,1.89,7.14,dry
2.5,8.65,0.22,14.02,3.37,6.9,dry
2.6,4.81,0.77,56.86,9.73,7.5,dry
0.9,6.56,1.19,22.52,10.98,4.72,full
1.5,9.2,1.13,14.7,7.17,8.55,full
0.8,5.88,1.11,27.34,11.67,6.8,full
2.3,4.51,0.09,29.56,5.8,7.38,dry
1,7.8,0.82,9.58,6.82,7.31,full
2.5,3.24,0.23,12.91,6.45,6.66,dry
1,6.8,0.88,92.65,25.51,18.8,dry
1.7,4.08,0.62,46.27,5.22,5.95,dry
1.8,7.2,0.66,10.75,11.34,12.38,dry
1.3,6,0.8,48.42,4.05,5.09,full
2.4,6.72,0.49,138.67,5.22,8.57,dry
2.4,9.04,0.76,49.75,4.98,9.52,full
0.9,11.2,0.41,38.38,14.88,16.66,dry
1.5,8,1.07,57.3,0.93,8.5,dry
2.2,1.83,0.31,50.64,4.41,7.62,full
3.2,7.19,0.75,15.98,17.46,3.81,full
2.7,7.92,1.09,93.74,35.76,1.67,full
1.2,3.88,0.96,17.35,6.47,5.95,full
2,5.44,1.56,26.23,0.93,10,dry
3,5.92,0.94,0,4.98,6.19,full
0.8,8.65,0.59,338,8.76,16.18,dry
2.6,6.89,0.28,31.47,9.73,3.57,dry
1.4,5.88,1.48,46.27,25.18,8.57,full
1,5.88,0.94,27.34,13.04,17.85,full
1.2,3.23,0.85,10.7,3.36,15.95,full
2.6,4.81,0.42,5.02,9.4,4.76,dry
3.2,6.77,0.32,9.59,0.93,4.69,full
2.2,4.39,0.61,17.35,1.97,6.43,full
1.5,7.68,0.94,11.35,5.44,8.55,full
0.97,6.4,1.22,297.11,24.86,4.28,dry
2.1,4.32,0.35,32.46,11.34,14.04,dry
2.1,8.45,0.1,27.34,1.28,10.47,dry
0.7,2.6,0.76,20.68,4.05,6.42,full
1.9,5.2,0.41,8.51,2.92,11.67,dry
1,7.92,1.08,47.88,14.56,5.71,dry
1,7,1.12,57.85,15.83,6.66,dry
1.2,3.88,1.02,14.02,7.51,4.76,full
2.5,6.89,0.29,21.79,1.97,4.41,dry
2,7.92,0.84,74.44,24.56,6.19,full
1.2,8.65,1.57,51.75,6.13,8.14,dry
1.5,4.81,0.46,32.95,3.89,10.71,dry
2.4,8.16,0.59,0,7.39,12.14,full
1,7.8,0.6,10.69,7.16,5.23,full
2.6,2.34,0.2,25.12,5.45,4.4,dry
1.4,3.65,0.65,6.31,13.76,10.47,full
3.5,6.89,0.09,8.48,5.68,6.66,dry
3,4.36,1.12,17.35,9.24,7.14,full
0.9,6,1.09,18.05,10.63,4.72,full
3.2,6.77,0.33,5.15,0.24,4.69,full
1.8,6.48,0.31,34.89,12.54,15.71,dry
3,4.61,1.18,17.35,9.59,5.24,full
0.5,5.44,1.49,149.89,12.63,4.76,dry
1.4,3.8,0.69,15.1,15.75,6.66,full
1,8,1.06,74.8,15.53,7.14,dry
1.3,6.24,0.91,37.33,3.7,5.09,full
0.8,8.65,1.08,74.45,2.58,9.41,dry
3.5,6.89,0.1,8.48,0.24,4.05,dry
2,6.4,0.7,17.35,2.67,9.52,dry
2.5,8,0.24,45.88,0.18,2.39,dry
0.5,4.96,1.85,36.22,4.4,13.33,dry
1.8,5.76,0.27,32.69,10.48,5.47,dry
0.6,5.1,1.65,94.62,19.07,5.47,full
1.4,3.3,0.6,19.49,15.29,12.14,full
3.1,6.89,0.13,3.02,11.97,4.28,dry
1.8,4.24,0.23,31.59,14.26,6.9,dry
2.6,4.81,0.41,12,8.76,4.76,dry
2.6,4.81,0.21,12,8.76,4.52,dry
1.9,7.97,0.11,29.56,1.28,13.8,dry
1.1,5.38,0.78,11.8,6.82,12.61,full
2.2,4.39,0.54,9.59,2.32,7.62,full
2.5,2.43,0.18,15.13,6.45,17.14,dry
3.9,6.89,0.37,12.99,10.7,4.28,dry
3.9,6.89,0.34,10,9.41,4.76,dry
5,5.01,1.31,36.22,7.51,6.55,dry
1.4,6.56,0.93,37.33,6.13,4.81,full
2.5,6.89,0.65,10.77,14.43,3.81,full
0.5,6.99,1,29.56,4.74,7.14,full
2.2,6.89,0.62,31.78,1.28,2.69,full
1.2,3.88,0.87,24.01,6.47,0.24,full
2.2,6.89,0.63,48.42,0.93,2.69,full
1.3,6.4,0.86,43.99,4.05,5.09,full
1.5,4.39,0.85,28.29,20.44,4.28,full
1.6,6.63,0.37,28.94,14.23,16.18,dry
3.5,2.99,0.39,8.48,0.24,5.47,full
1.4,6.4,1.1,41.77,5.44,4.81,full
1,4.39,1.48,12,32.27,5.47,full
2.6,6.3,0.76,17.98,22.61,4.05,full
0.8,6.14,2.04,12,39.35,6.9,full
1,4.39,1.17,13.99,28.73,5.71,full
2,5.68,0.7,9.59,2.32,10.47,dry
1,9.13,0.98,56.86,14.56,7.14,dry
3.9,6.89,0.3,19.97,9.09,4.28,dry
1.2,4.39,0.94,9.59,0.24,7.66,full
1,4.39,1.49,12.99,31.62,7.14,full
2.7,3.6,0.88,12.91,3.7,8.57,full
2,4.7,0.16,89.48,7.91,19.75,dry
3.5,6.89,0.09,14.02,5.68,3.81,dry
2.5,6.89,0.19,10.7,1.63,4.05,dry
1.2,4.39,0.86,14.02,1.63,14.28,full
0.5,8.63,0.92,184.67,11.34,3.09,dry
0.8,8.65,0.57,55.77,2.58,2.62,dry
0.5,6.99,1,43.99,5.09,5.71,full
1.2,4.39,0.59,12.91,0.93,2.38,full
0.8,5.98,1.57,9.01,34.2,8.57,full
2.7,7.6,0.92,12,29.53,2.86,full
0.5,6.99,1.41,26.23,4.05,5,full
0.5,6.99,1.19,30.67,4.05,5.47,full
1,3.23,0.64,11.81,0.24,10.23,full
3.2,7.92,0.6,18.97,14.24,3.57,full
0.9,5.9,0.79,12.99,25.18,6.9,full
1.4,6.4,0.94,36.22,5.44,4.81,full
2.2,8.65,0.18,18.46,1.63,12.85,dry
1.2,4.39,0.57,9.59,0.93,15.71,full
2.5,8.65,0.12,14.02,2.32,8.33,dry
2.5,6.48,0.54,34,0.93,39.33,dry
1.9,8.16,0.11,45.1,0.93,4.76,dry
1.2,8.65,0.51,22.9,2.67,4.88,dry
2.7,7.76,0.95,13.9,27.64,6.43,full
1.6,9.2,1.37,1.91,2.24,13.09,dry
1.1,5.57,1.18,19.57,6.82,17.66,full
0.5,8.63,1.33,194.89,17.46,2.86,dry
2.2,8.65,0.27,15.13,1.97,14.76,dry
2.2,4.39,0.4,12.91,1.63,6.66,full
3,6.89,0.1,17.35,22.06,4.52,dry
1.1,3.31,0.72,10.7,4.05,9.76,full
0.8,14.64,0.59,189.71,2.33,12.79,dry
1.6,4.39,0.94,12.99,29.37,5.95,full
1.5,4.32,0.29,44.47,0.24,18.83,dry
1.5,4.81,0.47,32.95,0.59,11.19,dry
2.5,6.56,0.47,27.34,0.59,39.33,dry
2.5,6.89,0.21,15.13,2.32,6.43,dry
1.5,4.81,0.38,32.95,0.59,12.61,dry
1.6,4.39,1.24,12.99,27.76,5.71,full
2,6.89,0.6,23.89,7.19,3.17,dry
2.5,7.68,0.26,50.27,0.18,11.51,dry
1.5,3.52,0.31,44.47,4.7,20.47,dry
2.2,8.65,0.32,21.79,1.97,15.47,dry
2.5,6.89,0.33,14.02,2.67,6.43,dry
2.6,2.42,0.27,24.01,0.24,3.57,dry
2,8.24,1,21.7,23.87,2.86,full
1.6,6.22,0.35,23.96,13.59,14.78,dry
