Attribute1,Attribute2,Cluster
0.844056,0.287597,C4
0.79243,0.251062,C4
0.956529,0.362328,C4
0.973124,0.601469,C4
0.939935,0.334096,C4
0.934403,0.168027,C4
0.88462,0,C4
0.810868,0.261026,C4
0.775835,0.118206,C4
0.880933,0.083331,C4
0.825618,0.098277,C4
0.877245,0.020225,C4
0.847744,0.164705,C4
0.79243,0.601469,C4
0.923341,0.134813,C4
0.984187,0.171348,C4
0.855119,0.335757,C4
0.915965,0.613093,C4
