1,92.56705853752834,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 4.666667,DESCRY_DENSITY - 3.0],}
13,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
14,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
15,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
16,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
17,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
18,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
19,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
20,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
21,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
22,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
23,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
24,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
25,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
26,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
27,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
28,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
29,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
30,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
31,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
32,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
33,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
34,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
35,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
36,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
37,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
38,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
39,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
40,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
41,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
42,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
43,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
44,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
45,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
46,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
47,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
48,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
49,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
50,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
51,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
52,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
53,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
54,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
55,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
56,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
57,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
58,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
59,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
60,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
61,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
62,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
63,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
64,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
65,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
66,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
67,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
68,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
69,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
70,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
71,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
72,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
73,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
74,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
75,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
76,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
77,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
78,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
79,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
