Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Cluster
52.777778,28.09071,2.285714,2.872315,4.480578,19.374523,C1
52.777778,25.896123,0.114286,7.927696,10.298103,18.764302,C1
33.333333,89.465984,57.942857,27.331241,3.866305,26.392067,C1
100,15.727871,3.771429,16.855741,4.01084,16.399695,C1
44.444444,41.25823,5.257143,6.586746,17.976513,9.94152,C1
22.222222,34.016094,15.542857,6.852254,41.824752,11.492499,C1
22.222222,56.181419,4.914286,6.141551,4.64318,12.407831,C1
58.333333,28.017557,4,18.199372,5.094851,7.271803,C1
30.555556,53.767374,15.542857,5.739266,22.782294,21.73913,C1
72.222222,36.430139,1.028571,6.439242,4.01084,9.07704,C1
72.222222,23.774689,1.6,5.248478,5.907859,16.933638,C1
75,46.159473,7.657143,13.911015,22.63776,2.72057,C1
58.333333,57.937089,4.914286,11.086974,34.850949,23.59522,C1
75,43.306511,8.114286,2.577306,13.170732,11.212815,C1
72.222222,46.159473,10.857143,10.531821,21.228546,5.441139,C1
16.666667,51.426481,11.2,20.060611,27.877145,18.154081,C1
11.111111,38.844184,12.228571,10.534503,15.64589,16.348843,C1
2.777778,56.035113,9.6,49.526645,20.307136,7.856598,C1
33.611111,20.409656,7.085714,9.762115,19.150858,13.450292,C1
50,52.596928,58.057143,22.635235,59.31346,12.865497,C1
8.333333,44.03804,20.571429,7.911605,45.311653,11.492499,C1
11.111111,41.25823,10.857143,12.009548,15.031617,15.738622,C1
66.666667,23.920995,6.171429,1.381178,4.01084,18.154081,C1
38.888889,51.426481,6.4,3.676885,19.728997,39.333842,C1
100,9.87564,1.257143,2.571942,2.131888,19.374523,C1
86.111111,14.776884,3.542857,2.274251,0.252936,13.907958,C1
86.111111,22.457937,36,31.139539,59.692864,11.79761,C1
58.333333,35.332846,2.628571,1.080806,0,13.297737,C1
2.777778,44.03804,10.514286,7.927696,8.383017,18.154081,C1
52.777778,28.09071,3.771429,3.757342,42.330623,19.069413,C1
44.444444,43.306511,5.942857,6.407059,12.809395,8.060005,C1
41.666667,51.426481,42.971429,20.554081,8.202349,16.781083,C1
11.111111,56.181419,7.314286,94.759568,27.280939,20.696669,C1
11.111111,56.181419,8.571429,75.570574,19.150858,40.554284,C1
80.555556,42.428676,20.914286,65.778958,100,11.924739,C1
61.111111,29.188003,3.771429,15.056186,24.372177,20.56954,C1
33.333333,41.477688,5.028571,1.823692,27.280939,14.51818,C1
27.777778,68.397952,19.542857,12.985759,3.3785,32.519705,C1
61.111111,30.943672,3.2,8.705447,21.463415,16.348843,C1
27.777778,20.702268,6.971429,4.049669,28.274616,16.933638,C1
11.111111,56.181419,8.457143,24.389197,5.094851,25.095347,C1
13.888889,36.795903,11.542857,4.840829,19.02439,12.001017,C1
50,5.047549,3.885714,11.499987,9.051491,18.154081,C1
11.111111,56.181419,5.828571,90.648215,15.64589,41.13908,C1
50,43.306511,6.285714,12.985759,1.499548,6.839563,C1
47.222222,52.596928,1.6,7.332314,2.764228,28.527841,C1
38.888889,59.619605,9.142857,5.264569,20.885276,36.308162,C1
58.333333,35.332846,2.171429,0.783115,0.867209,17.137046,C1
72.222222,37.820044,13.828571,12.985759,1.499548,14.51818,C1
11.111111,56.181419,5.6,14.956956,4.480578,6.661581,C1
16.666667,54.93782,2.285714,15.386059,2.619693,32.519705,C1
58.333333,47.622531,3.085714,12.937485,23.215899,15.128401,C1
72.222222,32.479883,12.457143,5.248478,17.145438,12.712942,C1
33.333333,25.018288,9.828571,3.483788,52.881662,15.128401,C1
44.444444,21.50695,20.8,20.13034,84.534779,12.941775,C1
44.444444,43.306511,5.485714,10.024942,1.37308,1.017035,C1
16.666667,35.918069,8.457143,4.057714,17.759711,32.67226,C1
58.333333,16.605706,1.714286,3.462333,11.472448,16.933638,C1
25,86.539868,69.6,52.270228,60.939476,12.941775,C1
41.666667,51.207023,0.342857,7.927696,2.131888,35.087719,C1
97.222222,43.306511,9.142857,11.77354,12.158988,11.212815,C1
11.111111,37.088515,10.857143,9.357149,15.031617,16.348843,C1
2.777778,44.03804,15.2,7.034623,7.136405,12.712942,C1
41.666667,52.596928,0.342857,12.095368,1.499548,12.102721,C1
38.888889,20.409656,7.885714,59.696409,13.333333,13.907958,C1
50,37.96635,21.6,12.688068,6.504065,20.56954,C1
58.333333,47.622531,2.514286,10.821466,23.794038,19.374523,C1
77.777778,53.767374,6.057143,13.05817,29.611563,14.51818,C1
30.555556,25.018288,9.371429,5.817041,37.36224,3.635901,C1
66.666667,30.724214,5.6,10.934106,4.733514,16.933638,C1
25,36.795903,8.228571,12.985759,7.136405,12.941775,C1
27.777778,58.449159,10.971429,10.534503,3.866305,48.410882,C1
13.888889,74.250183,4.571429,8.174431,31.942186,55.987796,C1
72.222222,40.307242,16.457143,1.102261,26.196929,2.415459,C1
50,25.018288,5.257143,2.571942,4.01084,19.374523,C1
61.111111,10.607169,2.171429,6.439242,0.252936,9.07704,C1
22.222222,25.018288,9.828571,2.571942,0.252936,19.476227,C1
58.333333,40.307242,5.257143,9.11846,1.499548,100,C1
61.111111,10.021946,1.371429,6.736932,9.665763,11.187389,C1
58.333333,47.622531,4.228571,15.850028,31.942186,11.645055,C1
5.555556,79.517191,29.828571,7.292086,31.165312,16.348843,C1
55.555556,78.931968,36.114286,16.426637,64.046974,8.466819,C1
86.111111,43.306511,1.485714,3.167324,2.764228,11.212815,C1
50,53.182151,20.685714,16.855741,33.423668,18.611747,C1
44.444444,74.6891,13.942857,14.176523,0.885276,45.995423,C1
97.222222,43.306511,2.514286,5.355754,16.242096,10.882278,C1
63.888889,19.23921,9.142857,3.462333,6.504065,21.789982,C1
72.222222,38.551573,8.685714,13.05817,8.816621,7.271803,C1
47.222222,54.718361,0.228571,7.332314,2.131888,26.6209,C1
27.777778,57.278713,10.285714,4.639687,3.866305,43.579964,C1
58.333333,56.181419,0.457143,3.760024,4.01084,21.179761,C1
63.888889,49.670812,9.942857,3.727841,49.756098,16.348843,C1
61.111111,43.306511,2.171429,0.767023,24.372177,3.635901,C1
33.333333,39.648866,14.742857,8.439939,38.915989,16.348843,C1
11.111111,37.820044,22.4,3.21828,70.912376,17.54386,C1
50,43.306511,5.142857,8.523078,4.01084,6.839563,C1
33.333333,41.404535,3.314286,7.761418,25.528455,41.13908,C1
58.333333,43.306511,2.857143,3.760024,4.64318,16.348843,C1
11.111111,22.457937,17.028571,15.678387,47.714544,3.02568,C1
55.555556,43.306511,5.485714,2.869633,24.028907,1.805238,C1
44.444444,38.551573,7.085714,37.688739,5.275519,16.399695,C1
16.666667,35.918069,9.828571,7.332314,23.3785,45.385202,C1
58.333333,52.011704,5.142857,17.022018,0.758808,16.399695,C1
27.777778,17.044623,5.942857,5.227023,27.443541,30.867023,C1
72.222222,42.428676,2.857143,4.639687,31.779584,7.856598,C1
66.666667,46.744696,35.428571,1.987288,33.026197,0,C1
13.888889,39.722019,12.342857,5.13852,19.02439,12.001017,C1
16.666667,49.963424,34.285714,44.530265,28.401084,12.001017,C1
16.666667,49.963424,9.371429,2.271569,12.140921,21.764556,C1
66.666667,20.117045,4.228571,17.515488,3.360434,13.907958,C1
72.222222,74.250183,11.428571,49.730469,92.574526,11.390796,C1
44.444444,27.286028,0.914286,23.99764,14.110208,50.21612,C1
44.444444,36.795903,7.085714,7.927696,5.907859,28.451564,C1
75,48.500366,4,4.653096,0.885276,11.390796,C1
58.333333,43.306511,9.485714,1.426771,38.157182,3.635901,C1
27.777778,35.918069,17.028571,8.439939,44.733514,21.179761,C1
36.111111,25.164594,35.2,21.020731,1.499548,29.392321,C1
30.555556,16.532553,19.885714,37.391048,5.257453,29.392321,C1
100,9.87564,1.714286,2.274251,3.3785,19.374523,C1
8.333333,44.03804,22.971429,6.852254,40.090334,11.492499,C1
44.444444,43.306511,3.085714,1.692279,0.758808,8.136283,C1
58.333333,47.622531,2.857143,6.32392,24.968383,15.738622,C1
86.111111,43.306511,0.228571,2.274251,0.252936,10.297483,C1
13.888889,40.892465,12.685714,6.039638,19.65673,12.001017,C1
44.444444,43.306511,6.628571,3.459651,0.144535,15.891177,C1
19.444444,17.117776,7.314286,2.869633,7.136405,24.815662,C1
44.444444,34.455011,7.085714,2.571942,4.01084,26.6209,C1
63.888889,50.841258,11.542857,25.140129,64.426378,4.246123,C1
8.333333,49.817118,31.657143,14.52517,79.638663,7.271803,C1
30.555556,16.898317,3.314286,11.880816,12.737127,17.54386,C1
22.222222,56.181419,5.714286,7.630005,5.257453,11.187389,C1
47.222222,35.040234,2.628571,15.251964,14.110208,23.59522,C1
38.888889,28.09071,2.285714,16.627779,3.432701,15.128401,C1
75,44.915874,3.885714,16.048489,30.189702,7.271803,C1
2.777778,32.699342,16.114286,40.198997,22.63776,12.102721,C1
50,28.09071,0,1.678869,2.131888,20.56954,C1
77.777778,42.428676,2.857143,1.381178,0.252936,11.924739,C1
30.555556,16.532553,5.942857,35.307212,0.885276,13.907958,C1
33.333333,38.405267,16.342857,6.586746,42.420958,21.179761,C1
16.666667,44.111192,11.885714,15.514791,28.419151,16.933638,C1
55.555556,28.017557,6.514286,46.785743,9.250226,10.882278,C1
30.555556,0,5.028571,35.604903,1.499548,10.882278,C1
27.777778,39.722019,11.657143,11.202296,9.647696,12.22985,C1
72.222222,36.795903,5.142857,2.574624,30.532972,14.51818,C1
58.333333,35.332846,1.485714,1.080806,0.252936,7.246377,C1
30.555556,40.746159,15.2,11.797677,0.885276,32.519705,C1
5.555556,30.212143,17.942857,25.376136,34.272809,13.907958,C1
41.666667,30.943672,3.771429,2.282297,5.094851,29.672006,C1
25,39.722019,8.914286,11.797677,7.136405,12.941775,C1
50,65.618142,37.714286,40.188269,72.95393,18.611747,C1
77.777778,52.011704,5.257143,13.05817,29.033424,12.102721,C1
66.666667,21.580102,10.4,1.381178,6.504065,9.687262,C1
47.222222,36.21068,1.942857,16.13431,1.37308,23.59522,C1
50,6.291149,6.742857,11.202296,7.786811,16.933638,C1
30.555556,28.09071,3.428571,8.83686,0.885276,32.062039,C1
30.555556,34.308705,3.771429,10.309223,0.885276,23.59522,C1
5.555556,43.672275,14.057143,4.052351,16.260163,5.441139,C1
16.666667,60.277981,12.114286,38.24121,31.364047,22.2985,C1
11.111111,67.812729,6.057143,19.371363,3.432701,32.519705,C1
44.444444,50.841258,8.685714,19.964063,44.191509,15.738622,C1
72.222222,36.21068,9.828571,0,8.816621,15.738622,C1
38.888889,28.09071,2.628571,19.371363,3.432701,18.154081,C1
75,36.942209,2.4,2.574624,26.6486,11.390796,C1
2.777778,56.035113,11.542857,48.156194,16.242096,9.687262,C1
63.888889,23.335772,4.914286,4.653096,5.257453,23.59522,C1
8.333333,44.03804,21.6,9.762115,37.181572,12.712942,C1
16.666667,42.648135,9.142857,24.847802,45.907859,47.800661,C1
55.555556,30.358449,3.085714,31.708102,9.250226,26.010679,C1
38.888889,39.136796,18.857143,8.820769,2.764228,35.087719,C1
27.777778,35.918069,16,12.409151,45.311653,21.789982,C1
77.777778,42.428676,2.742857,2.571942,1.499548,11.924739,C1
75,46.08632,4.342857,16.048489,32.66486,6.661581,C1
5.555556,41.843453,13.142857,13.481911,16.892502,3.635901,C1
16.666667,25.018288,16.114286,3.483788,56.946703,18.154081,C1
5.555556,46.598391,15.542857,9.947167,18.121048,1.220442,C1
77.777778,63.862473,9.371429,5.792904,26.124661,12.102721,C1
36.111111,99.780541,95.314286,80.682275,98.247516,12.941775,C1
38.888889,49.670812,3.771429,14.956956,22.475158,22.2985,C1
27.777778,42.648135,12.228571,11.797677,11.508582,12.22985,C1
30.555556,25.018288,8.8,7.587095,36.747967,10.882278,C1
8.333333,11.923921,7.771429,5.546169,7.136405,16.323417,C1
61.111111,43.306511,1.714286,6.59211,17.398374,12.102721,C1
11.111111,56.181419,8.914286,29.693995,6.341463,20.696669,C1
30.555556,28.09071,4.457143,8.83686,0.885276,28.451564,C1
13.888889,36.064375,8.114286,3.483788,45.311653,17.54386,C1
50,25.018288,6.057143,4.653096,3.3785,16.348843,C1
63.888889,43.306511,6.857143,0.501515,33.875339,3.635901,C1
50,56.181419,2.171429,4.057714,3.3785,37.528604,C1
61.111111,10.607169,2.171429,9.41615,0.885276,8.77193,C1
33.333333,38.405267,3.085714,6.425832,24.372177,37.579456,C1
30.555556,46.159473,11.314286,15.664977,0.885276,21.612001,C1
55.555556,52.596928,5.828571,0,13.170732,30.867023,C1
22.222222,56.181419,6.857143,15.962668,9.015357,6.05136,C1
61.111111,43.306511,2.285714,8.439939,17.398374,9.07704,C1
72.222222,24.79883,11.885714,4.653096,16.513098,18.154081,C1
33.333333,60.204828,14.742857,0.512243,3.866305,33.282482,C1
22.222222,21.287491,9.028571,6.439242,11.508582,0.610221,C1
86.111111,15.362107,5.371429,3.167324,3.3785,6.05136,C1
58.333333,56.181419,1.6,3.760024,5.907859,17.54386,C1
11.111111,20.117045,14.971429,15.678387,60,2.974828,C1
13.888889,71.324067,4.571429,34.902245,37.759711,52.962115,C1
44.444444,63.716167,9.371429,78.611849,65.275519,16.933638,C1
100,10.460863,0.685714,2.571942,2.131888,11.492499,C1
55.555556,100,32.228571,24.383834,64.046974,18.611747,C1
72.222222,42.648135,5.142857,1.39727,42.330623,14.51818,C1
61.111111,28.09071,3.771429,3.21828,15.64589,12.102721,C1
19.444444,34.308705,10.971429,2.866951,16.513098,16.933638,C1
50,36.795903,4.685714,2.869633,0.885276,35.697941,C1
58.333333,60.277981,7.428571,8.968273,38.915989,6.05136,C1
36.111111,58.595465,9.485714,17.703221,24.968383,14.51818,C1
33.333333,40.965618,13.942857,10.555958,59.277326,20.56954,C1
22.222222,33.357718,14.285714,5.792904,35.429088,14.51818,C1
75,43.233358,7.085714,11.50535,27.877145,2.110348,C1
16.666667,49.963424,5.942857,2.866951,12.755194,13.297737,C1
22.222222,16.532553,8.8,2.869633,5.889792,40.554284,C1
44.444444,41.25823,3.428571,8.705447,19.150858,14.51818,C1
30.555556,53.767374,15.542857,5.13852,22.149955,21.73913,C1
16.666667,25.018288,12.457143,3.751978,51.725384,14.51818,C1
33.333333,60.204828,20.114286,3.164642,7.588076,16.933638,C1
63.888889,57.863936,28.8,23.402258,47.804878,14.441902,C1
47.222222,33.284565,1.828571,0.501515,23.215899,42.359522,C1
55.555556,43.306511,5.028571,2.571942,11.508582,7.271803,C1
33.333333,25.018288,13.257143,3.483788,49.9729,14.51818,C1
36.111111,19.75128,6.057143,2.869633,2.131888,42.359522,C1
27.777778,40.892465,9.714286,10.011532,10.894309,12.22985,C1
47.222222,53.328456,1.142857,5.84386,2.131888,27.841342,C1
38.888889,64.30139,13.257143,4.642369,23.215899,28.273583,C1
38.888889,45.57425,6.628571,2.883042,20.307136,31.477244,C1
72.222222,53.182151,3.657143,1.102261,14.399277,6.05136,C1
97.222222,43.306511,2.971429,2.6819,16.820235,12.102721,C1
19.444444,33.650329,12.571429,5.248478,12.140921,44.90211,C1
30.555556,34.893928,3.771429,9.713841,0.885276,24.815662,C1
11.111111,36.649598,17.028571,2.416392,61.607949,21.789982,C1
72.222222,42.428676,3.542857,6.439242,12.140921,20.56954,C1
50,6.291149,2.628571,13.581141,7.786811,19.374523,C1
50,70.811997,23.428571,16.378362,35.429088,12.22985,C1
41.666667,36.21068,3.542857,1.987288,5.094851,16.348843,C1
30.555556,18.653987,2.628571,11.926409,8.31075,52.046784,C1
86.111111,43.306511,0.114286,2.274251,10.081301,16.933638,C1
33.333333,47.32992,6.171429,11.086974,28.455285,28.527841,C1
22.222222,56.181419,17.028571,13.878832,10.894309,20.696669,C1
38.888889,10.607169,0.571429,43.639874,0.252936,16.933638,C1
36.111111,19.75128,6.171429,1.97656,4.01084,38.113399,C1
44.444444,32.699342,16.914286,7.034623,1.499548,25.425884,C1
66.666667,36.21068,6.171429,16.048489,16.892502,9.07704,C1
58.333333,26.700805,30.4,64.472873,0.252936,16.501398,C1
50,28.09071,0.342857,1.678869,4.01084,22.400203,C1
61.111111,43.306511,6.057143,9.233781,17.976513,11.212815,C1
58.333333,9.583029,100,2.571942,0.885276,30.256801,C2
58.333333,10.826628,100,2.571942,0.252936,29.64658,C2
77.777778,87.490856,94.285714,43.586236,86.612466,11.390796,C3
