@relation master
@attribute RMSVA real
@attribute RMSVB real
@attribute RMSVC real
@attribute RMSIA real
@attribute RMSIB real
@attribute RMSIC real
@attribute class {AT,BT,CT,AB,AC,BC,ABC,ABT,ACT,BCT,ABCT}
@data
0.430,0.434,0.441,0.025,0.025,0.025,ABC
0.595,0.598,0.601,0.007,0.007,0.007,ABC
0.607,0.605,0.607,0.007,0.007,0.007,ABC
0.616,0.618,0.613,0.006,0.006,0.006,ABC
0.495,0.502,0.502,0.017,0.015,0.017,ABC
0.560,0.558,0.560,0.011,0.011,0.011,ABC
0.590,0.589,0.588,0.008,0.008,0.007,ABC
0.565,0.565,0.565,0.009,0.009,0.009,ABC
0.456,0.464,0.468,0.024,0.023,0.023,ABC
0.563,0.564,0.562,0.010,0.010,0.010,ABC
0.594,0.597,0.600,0.009,0.009,0.008,ABC
0.606,0.606,0.604,0.007,0.007,0.007,ABC
0.520,0.521,0.518,0.014,0.014,0.013,ABC
0.446,0.447,0.446,0.021,0.021,0.021,ABC
0.610,0.609,0.610,0.007,0.007,0.007,ABCT
0.424,0.425,0.424,0.021,0.021,0.021,ABCT
0.519,0.516,0.518,0.013,0.013,0.013,ABCT
0.334,0.342,0.344,0.031,0.031,0.031,ABCT
0.455,0.456,0.457,0.018,0.018,0.018,ABCT
0.591,0.588,0.591,0.007,0.007,0.008,ABCT
0.620,0.620,0.626,0.006,0.006,0.006,ABCT
0.394,0.400,0.400,0.024,0.024,0.024,ABCT
0.559,0.559,0.558,0.010,0.010,0.010,ABCT
0.608,0.605,0.603,0.007,0.006,0.007,ABCT
0.420,0.399,0.412,0.033,0.032,0.032,ABCT
0.575,0.575,0.574,0.009,0.009,0.009,ABCT
0.367,0.367,0.364,0.023,0.024,0.024,ABCT
0.519,0.522,0.516,0.015,0.015,0.015,ABCT
0.627,0.625,0.625,0.006,0.006,0.006,ABCT
0.489,0.496,0.497,0.016,0.016,0.016,ABCT
0.595,0.591,0.591,0.008,0.007,0.007,ABCT
0.554,0.556,0.554,0.010,0.010,0.010,ABCT
0.624,0.620,0.616,0.006,0.006,0.006,ABCT
0.580,0.581,0.581,0.008,0.008,0.008,ABCT
0.471,0.466,0.471,0.018,0.018,0.017,ABCT
0.555,0.556,0.557,0.010,0.011,0.010,ABCT
0.588,0.592,0.592,0.010,0.009,0.010,ABCT
0.329,0.308,0.331,0.041,0.039,0.034,ABCT
0.602,0.600,0.606,0.007,0.007,0.007,ABCT
0.236,0.234,0.237,0.036,0.036,0.034,ABCT
0.553,0.556,0.553,0.010,0.011,0.010,ABCT
0.554,0.554,0.559,0.011,0.011,0.011,ABCT
0.585,0.584,0.585,0.008,0.008,0.008,ABCT
0.571,0.569,0.570,0.010,0.010,0.010,ABCT
0.376,0.360,0.371,0.042,0.039,0.032,ABCT
0.392,0.395,0.393,0.023,0.023,0.022,ABCT
0.267,0.259,0.265,0.034,0.034,0.034,ABCT
0.609,0.609,0.703,0.007,0.006,9.59E-4,ABT
0.616,0.613,0.705,0.007,0.006,9.72E-4,ABT
0.541,0.513,0.700,0.014,0.013,0.001,ABT
0.624,0.621,0.704,0.006,0.005,9.64E-4,ABT
0.523,0.468,0.703,0.017,0.016,0.001,ABT
0.464,0.461,0.706,0.022,0.021,0.001,ABT
0.492,0.464,0.705,0.019,0.017,0.001,ABT
0.437,0.453,0.704,0.022,0.019,0.001,ABT
0.572,0.542,0.703,0.012,0.011,0.001,ABT
0.610,0.600,0.701,0.008,0.007,9.88E-4,ABT
0.502,0.497,0.703,0.016,0.014,0.001,ABT
0.603,0.593,0.700,0.009,0.008,9.96E-4,ABT
0.602,0.591,0.705,0.008,0.008,9.69E-4,ABT
0.327,0.279,0.697,0.036,0.032,9.41E-4,ABT
0.610,0.614,0.702,0.008,0.008,9.93E-4,ABT
0.547,0.548,0.700,0.013,0.012,0.001,ABT
0.609,0.609,0.703,0.008,0.007,9.88E-4,ABT
0.621,0.614,0.699,0.007,0.006,9.91E-4,ABT
0.442,0.396,0.701,0.027,0.024,0.001,ABT
0.612,0.604,0.704,0.007,0.007,9.83E-4,ABT
0.603,0.592,0.703,0.009,0.008,0.001,ABT
0.571,0.537,0.702,0.014,0.013,0.001,ABT
0.515,0.510,0.706,0.016,0.015,0.001,ABT
0.625,0.627,0.701,0.006,0.005,9.39E-4,ABT
0.542,0.495,0.702,0.015,0.014,0.001,ABT
0.614,0.601,0.701,0.008,0.008,0.001,ABT
0.610,0.610,0.702,0.007,0.006,9.57E-4,ABT
0.589,0.580,0.698,0.011,0.010,0.001,ABT
0.638,0.635,0.709,0.006,0.005,9.84E-4,ABT
0.572,0.577,0.705,0.010,0.009,9.87E-4,ABT
0.624,0.620,0.702,0.006,0.005,9.4E-4,ABT
0.626,0.623,0.703,0.006,0.005,9.43E-4,ABT
0.492,0.705,0.535,0.016,0.001,0.017,AC
0.640,0.707,0.651,0.005,0.001,0.006,AC
0.635,0.707,0.642,0.005,0.001,0.005,AC
0.560,0.703,0.587,0.011,0.001,0.012,AC
0.599,0.704,0.615,0.008,0.001,0.008,AC
0.574,0.706,0.603,0.010,0.001,0.010,AC
0.555,0.700,0.573,0.013,0.001,0.014,AC
0.600,0.706,0.626,0.007,0.001,0.008,AC
0.430,0.705,0.569,0.021,0.001,0.022,AC
0.603,0.706,0.609,0.008,0.001,0.008,AC
0.566,0.706,0.576,0.011,0.001,0.011,AC
0.568,0.708,0.578,0.011,0.001,0.011,AC
0.626,0.705,0.627,0.006,0.001,0.007,AC
0.462,0.703,0.520,0.020,0.001,0.021,AC
0.592,0.703,0.601,0.009,0.001,0.010,AC
0.558,0.708,0.599,0.011,0.001,0.011,AC
0.446,0.700,0.581,0.022,0.001,0.023,AC
0.640,0.703,0.641,0.005,0.001,0.006,AC
0.567,0.706,0.579,0.011,0.001,0.011,AC
0.564,0.705,0.579,0.012,0.001,0.012,AC
0.629,0.707,0.634,0.006,0.001,0.006,AC
0.631,0.707,0.639,0.005,0.001,0.006,AC
0.633,0.707,0.640,0.005,0.001,0.005,AC
0.452,0.705,0.532,0.020,0.001,0.021,AC
0.396,0.706,0.431,0.032,0.001,0.032,AC
0.610,0.707,0.619,0.007,0.001,0.008,AC
0.539,0.707,0.578,0.013,0.001,0.013,AC
0.404,0.709,0.565,0.026,0.001,0.027,AC
0.564,0.705,0.583,0.011,0.001,0.012,AC
0.580,0.706,0.596,0.009,0.001,0.010,AC
0.649,0.706,0.655,0.004,0.001,0.005,AC
0.637,0.706,0.638,0.006,0.001,0.006,AC
0.595,0.709,0.629,0.009,0.001,0.010,AC
0.459,0.704,0.540,0.019,0.001,0.020,AC
0.433,0.704,0.508,0.022,0.001,0.022,AC
0.457,0.705,0.524,0.022,0.001,0.022,AC
0.472,0.704,0.568,0.016,0.001,0.017,AC
0.492,0.708,0.570,0.015,0.001,0.016,AC
0.376,0.705,0.581,0.023,0.001,0.024,AC
0.599,0.706,0.617,0.007,0.001,0.008,AC
0.625,0.703,0.626,0.005,9.26E-4,0.006,ACT
0.437,0.695,0.506,0.022,0.001,0.023,ACT
0.418,0.699,0.480,0.021,0.001,0.023,ACT
0.435,0.703,0.508,0.019,0.001,0.020,ACT
0.407,0.701,0.466,0.022,9.98E-4,0.023,ACT
0.564,0.697,0.565,0.012,0.001,0.013,ACT
0.630,0.703,0.629,0.005,9.69E-4,0.006,ACT
0.586,0.703,0.600,0.008,9.96E-4,0.009,ACT
0.629,0.703,0.636,0.006,0.001,0.006,ACT
0.626,0.706,0.633,0.005,9.84E-4,0.006,ACT
0.505,0.694,0.529,0.018,0.001,0.020,ACT
0.605,0.702,0.611,0.007,9.92E-4,0.008,ACT
0.635,0.704,0.641,0.005,9.79E-4,0.005,ACT
0.479,0.702,0.480,0.018,9.89E-4,0.019,ACT
0.593,0.705,0.600,0.007,9.77E-4,0.008,ACT
0.565,0.705,0.558,0.012,0.001,0.013,ACT
0.608,0.706,0.604,0.008,9.86E-4,0.008,ACT
0.621,0.704,0.627,0.005,9.56E-4,0.006,ACT
0.628,0.704,0.628,0.006,9.84E-4,0.006,ACT
0.580,0.703,0.581,0.009,9.91E-4,0.010,ACT
0.605,0.704,0.614,0.007,9.94E-4,0.008,ACT
0.619,0.705,0.624,0.006,9.61E-4,0.006,ACT
0.623,0.703,0.627,0.005,9.5E-4,0.006,ACT
0.528,0.701,0.528,0.012,9.89E-4,0.014,ACT
0.399,0.702,0.457,0.021,0.001,0.024,ACT
0.626,0.702,0.629,0.005,9.33E-4,0.006,ACT
0.609,0.704,0.617,0.006,9.79E-4,0.007,ACT
0.663,0.704,0.704,0.003,8.5E-4,0.001,AT
0.324,0.701,0.703,0.032,8.66E-4,0.001,AT
0.639,0.706,0.705,0.004,8.46E-4,0.001,AT
0.609,0.702,0.705,0.007,8.86E-4,0.001,AT
0.655,0.702,0.707,0.003,8.22E-4,0.001,AT
0.619,0.703,0.706,0.006,8.64E-4,0.001,AT
0.619,0.704,0.707,0.006,8.75E-4,0.001,AT
0.477,0.701,0.706,0.016,9.08E-4,0.001,AT
0.530,0.704,0.704,0.013,9.07E-4,0.001,AT
0.581,0.701,0.707,0.009,8.85E-4,0.001,AT
0.622,0.702,0.705,0.006,8.6E-4,0.001,AT
0.616,0.700,0.709,0.006,8.99E-4,0.001,AT
0.663,0.701,0.711,0.003,9.06E-4,0.001,AT
0.635,0.701,0.706,0.005,8.44E-4,0.001,AT
0.656,0.701,0.708,0.003,8.07E-4,0.001,AT
0.484,0.703,0.707,0.020,9.42E-4,0.001,AT
0.593,0.703,0.704,0.008,8.69E-4,0.001,AT
0.654,0.700,0.707,0.003,8.28E-4,0.001,AT
0.666,0.699,0.704,0.003,8.31E-4,0.001,AT
0.576,0.704,0.705,0.009,8.87E-4,0.001,AT
0.656,0.701,0.707,0.003,7.93E-4,0.001,AT
0.604,0.703,0.705,0.007,8.6E-4,0.001,AT
0.603,0.701,0.706,0.007,8.76E-4,0.001,AT
0.656,0.710,0.700,0.003,8.62E-4,0.001,AT
0.638,0.706,0.704,0.004,8.46E-4,0.001,AT
0.505,0.703,0.705,0.014,8.78E-4,0.001,AT
0.579,0.705,0.705,0.009,9E-4,0.001,AT
0.429,0.701,0.703,0.021,8.8E-4,0.001,AT
0.619,0.705,0.706,0.006,8.79E-4,0.001,AT
0.707,0.528,0.506,0.001,0.017,0.016,BC
0.709,0.489,0.470,0.001,0.023,0.022,BC
0.701,0.545,0.392,0.001,0.026,0.025,BC
0.703,0.513,0.395,0.001,0.026,0.025,BC
0.706,0.592,0.576,0.001,0.010,0.009,BC
0.705,0.629,0.625,0.001,0.006,0.006,BC
0.710,0.612,0.598,0.001,0.009,0.009,BC
0.707,0.575,0.557,0.001,0.012,0.011,BC
0.707,0.601,0.588,0.001,0.009,0.009,BC
0.703,0.458,0.364,0.001,0.031,0.031,BC
0.706,0.579,0.509,0.001,0.015,0.014,BC
0.708,0.630,0.625,0.001,0.006,0.006,BC
0.707,0.624,0.615,0.001,0.007,0.007,BC
0.705,0.518,0.423,0.001,0.024,0.024,BC
0.709,0.599,0.573,0.001,0.011,0.011,BC
0.706,0.612,0.587,0.001,0.009,0.008,BC
0.700,0.594,0.539,0.001,0.014,0.013,BC
0.711,0.583,0.557,0.001,0.015,0.014,BC
0.703,0.615,0.598,0.001,0.009,0.009,BC
0.705,0.635,0.619,0.001,0.007,0.007,BC
0.709,0.557,0.548,0.001,0.015,0.014,BC
0.706,0.516,0.445,0.001,0.022,0.021,BC
0.708,0.637,0.611,0.001,0.007,0.006,BC
0.701,0.635,0.627,9.95E-4,0.006,0.006,BCT
0.702,0.628,0.631,9.65E-4,0.006,0.006,BCT
0.703,0.632,0.623,9.63E-4,0.006,0.005,BCT
0.699,0.345,0.347,9.78E-4,0.031,0.026,BCT
0.701,0.492,0.484,0.001,0.018,0.016,BCT
0.702,0.614,0.613,9.55E-4,0.007,0.006,BCT
0.703,0.623,0.624,9.36E-4,0.006,0.005,BCT
0.709,0.560,0.514,0.001,0.015,0.015,BCT
0.707,0.625,0.617,9.88E-4,0.006,0.006,BCT
0.705,0.631,0.631,9.49E-4,0.005,0.005,BCT
0.706,0.601,0.593,0.001,0.009,0.008,BCT
0.704,0.625,0.623,9.68E-4,0.006,0.006,BCT
0.702,0.608,0.600,9.85E-4,0.008,0.007,BCT
0.702,0.530,0.511,0.001,0.015,0.013,BCT
0.701,0.544,0.536,0.001,0.013,0.012,BCT
0.704,0.617,0.618,9.75E-4,0.007,0.006,BCT
0.702,0.513,0.481,0.001,0.018,0.016,BCT
0.707,0.612,0.593,0.001,0.008,0.008,BCT
0.701,0.507,0.503,9.86E-4,0.016,0.015,BCT
0.703,0.547,0.518,9.9E-4,0.013,0.013,BCT
0.704,0.554,0.548,9.84E-4,0.012,0.011,BCT
0.702,0.586,0.573,0.001,0.010,0.009,BCT
0.703,0.609,0.599,9.89E-4,0.008,0.007,BCT
0.699,0.586,0.571,0.001,0.011,0.010,BCT
0.705,0.612,0.610,9.71E-4,0.007,0.006,BCT
0.702,0.623,0.630,9.8E-4,0.007,0.006,BCT
0.701,0.534,0.443,0.001,0.024,0.022,BCT
0.701,0.566,0.537,0.001,0.012,0.011,BCT
0.703,0.615,0.613,9.64E-4,0.007,0.006,BCT
0.700,0.594,0.588,0.001,0.010,0.009,BCT
0.703,0.607,0.612,9.89E-4,0.008,0.007,BCT
0.705,0.601,0.589,9.9E-4,0.008,0.008,BCT
0.703,0.507,0.478,0.001,0.017,0.016,BCT
0.702,0.596,0.590,9.72E-4,0.009,0.008,BCT
0.707,0.583,0.702,0.001,0.008,8.89E-4,BT
0.698,0.646,0.707,0.001,0.005,8.87E-4,BT
0.703,0.586,0.702,0.001,0.009,8.77E-4,BT
0.704,0.661,0.708,0.001,0.003,8.35E-4,BT
0.705,0.654,0.704,0.001,0.003,8.15E-4,BT
0.708,0.655,0.698,0.001,0.004,8.84E-4,BT
0.702,0.585,0.704,0.001,0.010,9.04E-4,BT
0.703,0.535,0.699,0.001,0.021,9.3E-4,BT
0.704,0.653,0.705,0.001,0.003,8.1E-4,BT
0.705,0.568,0.706,0.001,0.010,8.91E-4,BT
0.702,0.577,0.708,0.001,0.010,8.91E-4,BT
0.707,0.620,0.703,0.001,0.005,8.62E-4,BT
0.706,0.633,0.705,0.001,0.005,8.53E-4,BT
0.705,0.659,0.702,0.001,0.003,7.96E-4,BT
0.703,0.662,0.704,0.001,0.003,8.27E-4,BT
0.705,0.454,0.702,0.001,0.020,8.95E-4,BT
0.708,0.553,0.702,0.001,0.011,8.94E-4,BT
0.700,0.605,0.701,0.001,0.009,9.31E-4,BT
0.702,0.436,0.704,0.001,0.021,8.7E-4,BT
0.710,0.648,0.703,0.001,0.004,8.62E-4,BT
0.705,0.432,0.701,0.001,0.024,8.82E-4,BT
0.701,0.707,0.614,8.86E-4,0.001,0.006,CT
0.702,0.707,0.635,8.46E-4,0.001,0.004,CT
0.703,0.706,0.591,8.72E-4,0.001,0.008,CT
0.703,0.706,0.632,8.51E-4,0.001,0.005,CT
0.701,0.706,0.618,8.8E-4,0.001,0.006,CT
0.706,0.706,0.658,8.22E-4,0.001,0.003,CT
0.702,0.707,0.660,8.07E-4,0.001,0.003,CT
0.706,0.704,0.637,8.69E-4,0.001,0.005,CT
0.705,0.705,0.650,8.05E-4,0.001,0.003,CT
0.705,0.709,0.597,9.29E-4,0.001,0.008,CT
0.704,0.703,0.644,8.38E-4,0.001,0.004,CT
0.707,0.708,0.659,8.81E-4,0.001,0.003,CT
0.705,0.703,0.655,8.05E-4,0.001,0.003,CT
0.704,0.706,0.655,7.92E-4,0.001,0.003,CT
0.702,0.700,0.670,8.57E-4,0.001,0.003,CT
0.703,0.706,0.583,8.76E-4,0.001,0.008,CT
0.700,0.703,0.660,8.42E-4,0.001,0.003,CT
0.702,0.707,0.604,8.83E-4,0.001,0.007,CT
0.699,0.712,0.660,8.91E-4,0.001,0.003,CT
0.701,0.706,0.663,8.15E-4,0.001,0.003,CT
0.703,0.698,0.540,9.14E-4,0.001,0.014,CT
0.698,0.703,0.664,8.91E-4,0.001,0.003,CT
0.702,0.706,0.634,8.72E-4,0.001,0.005,CT
0.703,0.705,0.657,9.15E-4,0.001,0.004,CT
0.702,0.709,0.596,9.14E-4,0.001,0.008,CT
0.704,0.707,0.659,8.16E-4,0.001,0.003,CT
0.703,0.706,0.651,8.18E-4,0.001,0.003,CT
0.458,0.411,0.704,0.004,0.004,2.99E-4,AB
0.447,0.373,0.706,0.005,0.005,2.96E-4,AB
0.445,0.396,0.704,0.005,0.004,2.98E-4,AB
0.440,0.414,0.706,0.004,0.004,2.97E-4,AB
0.433,0.430,0.707,0.004,0.004,2.98E-4,AB
0.483,0.464,0.709,0.004,0.004,2.96E-4,AB
0.449,0.436,0.706,0.004,0.004,2.97E-4,AB
0.466,0.453,0.706,0.004,0.003,2.97E-4,AB
0.427,0.392,0.705,0.005,0.004,2.98E-4,AB
0.469,0.430,0.704,0.005,0.005,2.95E-4,AB
0.487,0.476,0.707,0.004,0.004,2.99E-4,AB
0.442,0.360,0.706,0.005,0.005,2.97E-4,AB
0.398,0.391,0.708,0.005,0.005,2.98E-4,AB
0.500,0.475,0.706,0.004,0.003,2.96E-4,AB
0.484,0.484,0.707,0.004,0.004,2.98E-4,AB
0.486,0.408,0.707,0.005,0.005,3E-4,AB
0.456,0.421,0.706,0.004,0.004,2.98E-4,AB
0.426,0.408,0.705,0.005,0.005,2.99E-4,AB
0.527,0.494,0.703,0.004,0.003,3E-4,AB
0.441,0.437,0.707,0.004,0.004,3E-4,AB
0.428,0.410,0.707,0.004,0.004,2.99E-4,AB
0.461,0.430,0.708,0.004,0.004,2.97E-4,AB
0.448,0.386,0.705,0.005,0.005,2.97E-4,AB
0.408,0.377,0.707,0.005,0.005,2.97E-4,AB
0.484,0.470,0.707,0.004,0.003,2.98E-4,AB
0.415,0.389,0.707,0.005,0.005,2.98E-4,AB
0.489,0.479,0.707,0.005,0.004,2.95E-4,AB
0.512,0.478,0.703,0.004,0.003,2.98E-4,AB
0.405,0.379,0.706,0.005,0.005,2.99E-4,AB
0.474,0.478,0.709,0.004,0.004,2.97E-4,AB
0.407,0.373,0.378,0.004,0.004,0.004,ABC
0.363,0.392,0.397,0.004,0.004,0.004,ABC
0.333,0.333,0.313,0.004,0.004,0.004,ABC
0.288,0.300,0.265,0.005,0.005,0.005,ABC
0.316,0.276,0.301,0.005,0.005,0.005,ABC
0.275,0.289,0.257,0.005,0.005,0.005,ABC
0.247,0.260,0.233,0.005,0.005,0.005,ABC
0.268,0.248,0.265,0.004,0.004,0.004,ABC
0.295,0.298,0.271,0.004,0.005,0.005,ABC
0.291,0.321,0.341,0.005,0.005,0.005,ABC
0.299,0.254,0.281,0.006,0.006,0.006,ABC
0.314,0.327,0.283,0.006,0.006,0.005,ABC
0.412,0.436,0.364,0.005,0.005,0.005,ABC
0.414,0.424,0.446,0.004,0.004,0.004,ABC
0.226,0.192,0.214,0.006,0.006,0.006,ABC
0.327,0.330,0.309,0.004,0.004,0.004,ABC
0.339,0.346,0.357,0.004,0.004,0.004,ABC
0.235,0.213,0.226,0.005,0.005,0.005,ABC
0.296,0.270,0.282,0.005,0.005,0.005,ABC
0.216,0.241,0.256,0.006,0.006,0.006,ABC
0.268,0.281,0.286,0.005,0.005,0.005,ABC
0.251,0.262,0.227,0.005,0.005,0.005,ABC
0.308,0.278,0.292,0.004,0.004,0.004,ABC
0.362,0.377,0.400,0.004,0.004,0.004,ABC
0.452,0.399,0.441,0.005,0.004,0.004,ABC
0.325,0.281,0.310,0.006,0.005,0.006,ABC
0.353,0.374,0.315,0.006,0.006,0.006,ABCT
0.244,0.258,0.220,0.006,0.006,0.005,ABCT
0.272,0.281,0.293,0.004,0.004,0.004,ABCT
0.414,0.440,0.373,0.005,0.005,0.005,ABCT
0.408,0.406,0.373,0.004,0.004,0.004,ABCT
0.328,0.307,0.317,0.004,0.004,0.004,ABCT
0.266,0.272,0.245,0.005,0.005,0.005,ABCT
0.399,0.371,0.385,0.004,0.004,0.004,ABCT
0.219,0.236,0.246,0.005,0.005,0.005,ABCT
0.330,0.348,0.354,0.004,0.004,0.004,ABCT
0.242,0.266,0.283,0.005,0.005,0.005,ABCT
0.229,0.253,0.266,0.006,0.005,0.006,ABCT
0.275,0.295,0.295,0.004,0.004,0.004,ABCT
0.244,0.267,0.282,0.005,0.005,0.005,ABCT
0.274,0.241,0.265,0.005,0.005,0.005,ABCT
0.352,0.319,0.349,0.005,0.005,0.004,ABCT
0.392,0.420,0.379,0.004,0.004,0.004,ABCT
0.258,0.263,0.240,0.005,0.005,0.005,ABCT
0.245,0.254,0.227,0.005,0.005,0.005,ABCT
0.352,0.397,0.412,0.005,0.005,0.005,ABCT
0.325,0.304,0.312,0.004,0.004,0.004,ABCT
0.280,0.255,0.278,0.005,0.005,0.004,ABCT
0.234,0.206,0.222,0.005,0.005,0.005,ABCT
0.352,0.366,0.320,0.005,0.005,0.005,ABCT
0.242,0.212,0.232,0.005,0.006,0.005,ABCT
0.272,0.285,0.255,0.005,0.005,0.005,ABCT
0.382,0.343,0.383,0.004,0.005,0.004,ABCT
0.270,0.238,0.258,0.005,0.005,0.005,ABCT
0.236,0.203,0.224,0.005,0.005,0.005,ABCT
0.313,0.346,0.347,0.005,0.004,0.004,ABCT
0.241,0.209,0.229,0.005,0.006,0.005,ABCT
0.260,0.265,0.250,0.005,0.005,0.005,ABCT
0.276,0.292,0.301,0.005,0.005,0.005,ABCT
0.281,0.293,0.256,0.005,0.005,0.005,ABCT
0.331,0.332,0.311,0.004,0.004,0.004,ABCT
0.218,0.228,0.198,0.005,0.005,0.005,ABCT
0.294,0.312,0.846,0.005,0.004,2.93E-4,ABT
0.224,0.197,0.865,0.005,0.004,2.82E-4,ABT
0.246,0.258,0.843,0.004,0.004,2.81E-4,ABT
0.354,0.314,0.861,0.005,0.005,2.89E-4,ABT
0.300,0.292,0.821,0.004,0.004,2.95E-4,ABT
0.304,0.337,0.848,0.004,0.004,2.99E-4,ABT
0.388,0.353,0.851,0.005,0.005,2.88E-4,ABT
0.314,0.294,0.824,0.004,0.004,2.91E-4,ABT
0.386,0.349,0.832,0.004,0.004,3E-4,ABT
0.189,0.204,0.877,0.005,0.005,2.84E-4,ABT
0.277,0.272,0.825,0.004,0.004,2.9E-4,ABT
0.215,0.239,0.887,0.005,0.005,2.86E-4,ABT
0.301,0.285,0.819,0.004,0.004,2.84E-4,ABT
0.352,0.321,0.814,0.004,0.003,2.96E-4,ABT
0.327,0.297,0.841,0.004,0.004,2.91E-4,ABT
0.215,0.236,0.863,0.005,0.004,2.86E-4,ABT
0.326,0.348,0.820,0.004,0.004,2.94E-4,ABT
0.283,0.261,0.862,0.005,0.005,2.87E-4,ABT
0.347,0.359,0.818,0.004,0.004,3.01E-4,ABT
0.201,0.180,0.894,0.005,0.005,2.85E-4,ABT
0.289,0.311,0.842,0.004,0.004,2.91E-4,ABT
0.249,0.218,0.868,0.005,0.005,2.84E-4,ABT
0.359,0.397,0.837,0.004,0.004,3.06E-4,ABT
0.302,0.304,0.822,0.004,0.004,2.92E-4,ABT
0.331,0.354,0.869,0.005,0.005,2.99E-4,ABT
0.229,0.223,0.854,0.005,0.004,2.84E-4,ABT
0.271,0.252,0.831,0.004,0.004,2.83E-4,ABT
0.266,0.283,0.833,0.004,0.004,2.88E-4,ABT
0.340,0.339,0.820,0.004,0.003,3.03E-4,ABT
0.337,0.350,0.818,0.004,0.003,2.96E-4,ABT
0.216,0.227,0.878,0.005,0.005,2.91E-4,ABT
0.358,0.325,0.836,0.004,0.004,2.96E-4,ABT
0.226,0.250,0.849,0.005,0.004,2.88E-4,ABT
0.350,0.373,0.856,0.005,0.005,3.02E-4,ABT
0.235,0.210,0.856,0.005,0.004,2.83E-4,ABT
0.318,0.311,0.812,0.004,0.003,2.96E-4,ABT
0.295,0.265,0.848,0.004,0.004,2.84E-4,ABT
0.456,0.707,0.473,0.003,2.97E-4,0.004,AC
0.425,0.707,0.458,0.005,2.98E-4,0.005,AC
0.438,0.705,0.462,0.004,2.99E-4,0.004,AC
0.445,0.701,0.466,0.004,2.97E-4,0.004,AC
0.418,0.706,0.424,0.004,2.97E-4,0.004,AC
0.464,0.706,0.491,0.003,2.97E-4,0.004,AC
0.429,0.710,0.467,0.004,2.97E-4,0.004,AC
0.408,0.707,0.452,0.004,3E-4,0.004,AC
0.447,0.707,0.454,0.005,2.96E-4,0.005,AC
0.499,0.713,0.503,0.004,2.97E-4,0.004,AC
0.383,0.706,0.411,0.004,2.99E-4,0.005,AC
0.451,0.704,0.451,0.004,2.97E-4,0.004,AC
0.394,0.706,0.416,0.004,2.99E-4,0.005,AC
0.387,0.707,0.417,0.005,2.97E-4,0.005,AC
0.398,0.704,0.433,0.004,2.99E-4,0.005,AC
0.412,0.706,0.435,0.004,2.98E-4,0.004,AC
0.486,0.706,0.527,0.003,2.98E-4,0.004,AC
0.441,0.707,0.474,0.004,2.98E-4,0.004,AC
